alg,threads,read_ratio,record_size,req_per_query,total_count,zipf_theta,tput_1,tput_2,tput_3
TicToc,1,1.0,128.0,10.0,128000.0,0.4,405911.0,426824.0,404042.0
TicToc,28,1.0,128.0,10.0,128000.0,0.8,12251665.0,7284596.0,7182553.0
Silo,28,0.2,32.0,1.0,2048000.0,0.4,30257701.0,30447944.0,30343526.0
MOCC,16,0.2,100.0,1.0,8192000.0,0.4,15102846.692727484,15144269.616701191,15098958.866700802
MOCC,4,0.2,100.0,10.0,512000.0,0.8,500304.02935101924,503961.1181751877,424119.5810375299
2PL,16,1.0,32.0,10.0,32768000.0,0.0,1886275.0,1864465.0,1884778.0
TicToc,1,0.0,8.0,1.0,512000.0,0.0,1726683.0,1724657.0,1714407.0
Silo,1,1.0,1000.0,100.0,32768000.0,0.8,15731.0,15782.0,15795.0
2PL,16,1.0,32.0,10.0,128000.0,0.8,2947466.0,2890014.0,2863433.0
Cicada,1,0.6,128.0,10.0,512000.0,0.4,299206.0,296677.0,299235.0
Hekaton,28,0.6,1000.0,100.0,512000.0,0.99,16788.0,16949.0,16968.0
Cicada,4,0.0,8.0,1.0,8192000.0,0.4,6223195.0,6083132.0,6244794.0
TicToc,1,0.6,1000.0,1.0,32768000.0,0.99,1392465.0,1384748.0,1388919.0
TicToc,4,0.6,32.0,1.0,8192000.0,0.4,5401487.0,4631013.0,5276139.0
TicToc,1,1.0,32.0,1.0,32768000.0,0.4,1283904.0,1277600.0,1268044.0
TicToc,1,0.0,128.0,10.0,512000.0,0.8,290833.0,275484.0,275180.0
2PL,1,0.6,32.0,1.0,128000.0,0.0,1364927.0,1402132.0,1406223.0
2PL,28,0.2,1000.0,1.0,128000.0,0.4,21236105.0,21526435.0,22035595.0
TicToc,28,0.2,8.0,10.0,8192000.0,0.8,4416505.0,4443947.0,4434950.0
2PL,16,0.2,32.0,100.0,32768000.0,0.99,20747.0,20767.0,20716.0
2PL,16,0.0,32.0,1.0,2048000.0,0.8,16591520.0,16562982.0,16385955.0
2PL,28,0.2,32.0,100.0,128000.0,0.8,25060.0,25136.0,25027.0
Hekaton,28,0.6,1000.0,10.0,32768000.0,0.0,1978838.0,1990086.0,1989102.0
Cicada,1,0.0,1000.0,10.0,2048000.0,0.99,232125.0,231328.0,218997.0
TicToc,1,0.0,32.0,1.0,512000.0,0.8,1751598.0,1755558.0,2519375.0
Silo,16,1.0,8.0,10.0,8192000.0,0.0,2860678.0,2877105.0,2864527.0
2PL,28,0.6,32.0,100.0,32768000.0,0.99,21067.0,21101.0,21177.0
Silo,28,0.2,128.0,1.0,8192000.0,0.99,3616096.0,4541224.0,4625661.0
Silo,16,1.0,8.0,100.0,2048000.0,0.8,444767.0,442500.0,447763.0
ERMIA,1,0.2,100.0,10.0,32768000.0,0.8,76397.8,79314.9,79489.5
TicToc,16,0.2,32.0,1.0,8192000.0,0.8,19726953.0,19835267.0,20210581.0
ERMIA,8,0.6,100.0,10.0,32768000.0,0.99,679364.0,550204.0,557286.0
2PL,1,0.0,1000.0,1.0,32768000.0,0.0,897302.0,895031.0,896763.0
TicToc,4,0.2,8.0,1.0,8192000.0,0.4,5443268.0,5492507.0,5887797.0
FOEDUS,8,0.6,100.0,100.0,512000.0,0.8,37796.97154294665,34316.15945544043,32472.21989808318
Hekaton,28,0.6,1000.0,1.0,32768000.0,0.0,3504053.0,3903047.0,3917855.0
2PL,16,0.2,1000.0,100.0,128000.0,0.0,138015.0,137414.0,137485.0
Cicada,1,1.0,8.0,10.0,512000.0,0.99,722641.0,726993.0,735271.0
2PL,16,0.2,8.0,100.0,8192000.0,0.4,206810.0,207533.0,207529.0
Hekaton,4,1.0,8.0,100.0,128000.0,0.8,135018.0,138057.0,135648.0
Cicada,4,1.0,32.0,100.0,512000.0,0.99,259341.0,251236.0,254590.0
Cicada,1,0.2,32.0,1.0,512000.0,0.0,1595170.0,1559803.0,1566603.0
2PL,1,0.6,8.0,100.0,2048000.0,0.8,21678.0,21199.0,21245.0
2PL,28,0.2,1000.0,10.0,512000.0,0.8,1088251.0,1086666.0,1085035.0
Hekaton,1,0.0,128.0,1.0,512000.0,0.99,1581496.0,1587810.0,1590207.0
Cicada,4,0.2,32.0,10.0,32768000.0,0.0,784089.0,772672.0,780450.0
2PL,1,0.0,1000.0,1.0,8192000.0,0.99,1253889.0,1250345.0,1255537.0
TicToc,16,0.2,128.0,1.0,32768000.0,0.99,18169118.0,18321621.0,17908583.0
MOCC,4,0.2,100.0,10.0,2048000.0,0.8,485667.84702102543,478862.1600928647,488426.6829773689
TicToc,1,0.6,1000.0,100.0,512000.0,0.99,24799.0,24848.0,24826.0
Hekaton,16,0.6,32.0,100.0,8192000.0,0.8,59666.0,59972.0,60101.0
2PL,28,1.0,8.0,10.0,512000.0,0.0,3723453.0,3767339.0,3693406.0
TicToc,16,0.6,128.0,100.0,2048000.0,0.0,231391.0,230773.0,230663.0
Hekaton,1,0.2,32.0,1.0,512000.0,0.4,1166015.0,1047676.0,1073267.0
TicToc,28,0.0,128.0,1.0,2048000.0,0.0,28898174.0,28823386.0,28836367.0
Hekaton,16,0.2,8.0,10.0,32768000.0,0.99,344730.0,345139.0,344592.0
Cicada,4,0.2,128.0,1.0,32768000.0,0.99,5453438.0,5535026.0,5379824.0
Silo,4,0.6,128.0,1.0,2048000.0,0.0,4505861.0,4537876.0,4992286.0
TicToc,28,1.0,1000.0,10.0,8192000.0,0.4,2742834.0,2755757.0,2733788.0
TicToc,16,0.0,128.0,10.0,128000.0,0.99,572604.0,572451.0,570283.0
Silo,16,0.0,8.0,1.0,512000.0,0.0,23378017.0,19481107.0,19123896.0
2PL,16,0.0,128.0,1.0,128000.0,0.8,19644397.0,19480823.0,19533085.0
FOEDUS,4,0.2,100.0,10.0,512000.0,0.99,329684.53311430814,314103.22675921145,310238.16825929756
ERMIA,1,0.0,100.0,10.0,128000.0,0.4,107114.0,110223.0,111305.0
Cicada,28,1.0,128.0,10.0,2048000.0,0.99,8856993.0,8829957.0,8677871.0
Cicada,1,0.2,128.0,100.0,512000.0,0.99,47136.0,49000.0,49551.0
TicToc,28,0.2,128.0,100.0,128000.0,0.99,38637.0,25024.0,24641.0
TicToc,28,0.6,1000.0,10.0,512000.0,0.0,2618041.0,2580804.0,2590880.0
TicToc,4,1.0,32.0,10.0,512000.0,0.0,884736.0,821509.0,860254.0
Hekaton,16,0.6,1000.0,100.0,2048000.0,0.99,17368.0,17451.0,17417.0
Hekaton,16,0.6,32.0,1.0,512000.0,0.8,3553318.0,3229390.0,3023056.0
Silo,1,1.0,32.0,1.0,128000.0,0.0,2272038.0,2267713.0,1780227.0
TicToc,28,0.2,8.0,10.0,2048000.0,0.4,4992385.0,3189463.0,3196802.0
Hekaton,28,0.2,1000.0,10.0,2048000.0,0.8,123101.0,118496.0,212765.0
Hekaton,16,0.6,8.0,100.0,2048000.0,0.99,28682.0,29013.0,28752.0
2PL,1,1.0,32.0,1.0,32768000.0,0.4,1093721.0,1084217.0,1090358.0
Hekaton,16,0.6,1000.0,10.0,8192000.0,0.99,489069.0,485796.0,489415.0
Hekaton,1,0.0,1000.0,100.0,2048000.0,0.0,8283.0,8272.0,8275.0
2PL,4,0.2,32.0,100.0,8192000.0,0.8,28557.0,28512.0,28601.0
Hekaton,1,0.2,32.0,10.0,512000.0,0.4,145893.0,146188.0,148187.0
2PL,1,1.0,8.0,10.0,8192000.0,0.99,263662.0,255944.0,264663.0
TicToc,16,0.0,128.0,1.0,32768000.0,0.4,16327845.0,14114922.0,14326812.0
TicToc,28,0.0,8.0,100.0,512000.0,0.8,37055.0,37340.0,37129.0
TicToc,1,0.2,32.0,100.0,512000.0,0.4,21061.0,20033.0,20521.0
Silo,4,0.6,8.0,1.0,512000.0,0.4,6353769.0,6227433.0,6321344.0
2PL,1,0.6,32.0,1.0,512000.0,0.99,1836509.0,1823741.0,1822192.0
Cicada,28,0.0,1000.0,1.0,2048000.0,0.4,20333798.0,20902814.0,20406382.0
TicToc,16,0.0,8.0,1.0,8192000.0,0.99,20693499.0,20434757.0,20806414.0
Cicada,4,0.6,128.0,10.0,512000.0,0.4,1007515.0,970238.0,955717.0
2PL,28,0.6,8.0,1.0,32768000.0,0.4,26988887.0,18255215.0,17897575.0
Silo,16,0.0,1000.0,100.0,2048000.0,0.8,28364.0,28463.0,28554.0
Silo,1,0.0,128.0,10.0,8192000.0,0.99,292543.0,314182.0,296070.0
Hekaton,16,0.6,8.0,100.0,128000.0,0.4,249832.0,254194.0,253178.0
2PL,16,0.0,8.0,10.0,128000.0,0.99,354317.0,354805.0,353960.0
Cicada,16,0.0,32.0,1.0,2048000.0,0.4,20215204.0,19461751.0,19670377.0
2PL,1,0.2,8.0,10.0,2048000.0,0.99,296045.0,300009.0,290089.0
TicToc,1,0.6,8.0,10.0,128000.0,0.4,445744.0,446460.0,445442.0
Silo,4,0.6,1000.0,100.0,32768000.0,0.8,40572.0,39531.0,38456.0
2PL,4,0.0,8.0,1.0,2048000.0,0.4,4179729.0,4312774.0,4205934.0
2PL,28,0.0,128.0,1.0,2048000.0,0.8,27753062.0,27209567.0,26297588.0
TicToc,1,1.0,1000.0,1.0,2048000.0,0.4,1121062.0,1120590.0,1122002.0
2PL,4,0.2,128.0,1.0,8192000.0,0.99,5061608.0,4925815.0,5002323.0
Hekaton,4,1.0,1000.0,100.0,8192000.0,0.99,77086.0,76414.0,76797.0
TicToc,4,0.2,1000.0,1.0,8192000.0,0.4,3494927.0,3561800.0,3641499.0
TicToc,16,0.2,32.0,10.0,2048000.0,0.0,2713754.0,2629354.0,2506258.0
Silo,28,0.6,8.0,1.0,512000.0,0.0,39858768.0,39971555.0,39651962.0
Cicada,16,0.6,32.0,10.0,2048000.0,0.8,3747295.0,3757084.0,3738760.0
2PL,28,0.0,1000.0,100.0,128000.0,0.99,21300.0,21684.0,21571.0
FOEDUS,28,0.0,100.0,100.0,8192000.0,0.0,257051.5912445375,246063.1978976368,257904.12659013344
Hekaton,16,0.0,1000.0,10.0,512000.0,0.99,162311.0,163010.0,162880.0
Silo,1,1.0,128.0,1.0,2048000.0,0.99,2051014.0,2133679.0,2130578.0
Cicada,1,0.6,8.0,1.0,512000.0,0.0,1837310.0,1935528.0,2352638.0
ERMIA,4,0.0,100.0,1.0,32768000.0,0.8,1573830.0,1538650.0,1530820.0
Cicada,1,1.0,128.0,100.0,8192000.0,0.0,39828.0,39009.0,39312.0
Hekaton,28,0.2,32.0,100.0,512000.0,0.0,292680.0,294725.0,293968.0
Silo,1,1.0,1000.0,1.0,2048000.0,0.0,1032383.0,1119735.0,1119544.0
2PL,16,0.2,1000.0,1.0,128000.0,0.0,14056957.0,13640089.0,12547552.0
ERMIA,2,0.0,100.0,100.0,512000.0,0.4,19573.1,19569.3,19064.7
2PL,28,0.2,1000.0,100.0,8192000.0,0.4,201877.0,70731.0,69907.0
Cicada,16,0.0,1000.0,1.0,8192000.0,0.99,12382875.0,12437848.0,12459404.0
Hekaton,28,1.0,32.0,1.0,512000.0,0.4,3195301.0,3019342.0,3173397.0
Cicada,28,1.0,32.0,1.0,512000.0,0.4,52644883.0,28294163.0,29176022.0
TicToc,16,0.0,128.0,100.0,128000.0,0.0,190527.0,193778.0,193235.0
2PL,16,0.6,128.0,10.0,128000.0,0.99,444977.0,448138.0,444657.0
Silo,28,0.6,128.0,100.0,2048000.0,0.99,29529.0,29418.0,29747.0
TicToc,28,1.0,32.0,1.0,32768000.0,0.99,43596081.0,28356991.0,30525972.0
ERMIA,28,0.0,100.0,1.0,512000.0,0.8,4640780.0,5049360.0,4372720.0
2PL,28,0.0,128.0,10.0,2048000.0,0.4,3088875.0,3159939.0,3037715.0
TicToc,28,0.2,32.0,10.0,8192000.0,0.4,4448635.0,2850166.0,2964711.0
2PL,16,1.0,32.0,1.0,2048000.0,0.4,15852590.0,16005586.0,15282271.0
Hekaton,28,0.2,32.0,100.0,32768000.0,0.8,31266.0,31429.0,31489.0
Cicada,1,0.0,1000.0,10.0,512000.0,0.99,257293.0,247965.0,261379.0
Cicada,16,0.2,8.0,1.0,2048000.0,0.8,23621265.0,23785259.0,24210327.0
Silo,16,0.0,8.0,10.0,128000.0,0.0,6102985.0,6187703.0,6075462.0
Cicada,28,0.0,8.0,10.0,2048000.0,0.99,926504.0,930524.0,926832.0
TicToc,16,0.2,1000.0,1.0,2048000.0,0.99,12083340.0,12039469.0,13096482.0
2PL,16,0.6,8.0,10.0,2048000.0,0.0,2021650.0,2070889.0,2081784.0
TicToc,1,1.0,8.0,1.0,32768000.0,0.99,2133886.0,2198696.0,2122544.0
TicToc,4,0.2,8.0,1.0,32768000.0,0.8,5800994.0,6002788.0,5982105.0
Hekaton,1,0.6,8.0,1.0,512000.0,0.8,1331935.0,1338647.0,1550309.0
Cicada,1,0.2,128.0,10.0,512000.0,0.4,253032.0,248043.0,250897.0
Cicada,28,1.0,128.0,10.0,8192000.0,0.99,8702286.0,8805931.0,8814247.0
TicToc,4,0.6,32.0,1.0,2048000.0,0.0,5269641.0,5396791.0,5366829.0
2PL,4,0.6,8.0,100.0,512000.0,0.99,32200.0,32085.0,31121.0
TicToc,4,0.6,8.0,100.0,512000.0,0.8,72361.0,73813.0,73609.0
Hekaton,4,0.2,8.0,1.0,32768000.0,0.99,3307200.0,3437424.0,3456011.0
TicToc,28,1.0,32.0,100.0,8192000.0,0.99,1090575.0,1058627.0,1064372.0
2PL,1,0.0,32.0,1.0,32768000.0,0.99,1432061.0,1443337.0,1694556.0
Hekaton,1,1.0,128.0,100.0,32768000.0,0.4,17918.0,17967.0,18336.0
Silo,4,0.6,1000.0,100.0,2048000.0,0.99,34103.0,34800.0,34695.0
2PL,16,1.0,32.0,10.0,2048000.0,0.0,2011870.0,2042485.0,2063103.0
2PL,1,1.0,128.0,100.0,512000.0,0.99,34982.0,36011.0,35720.0
Cicada,16,1.0,32.0,1.0,512000.0,0.4,28272579.0,27448279.0,30830477.0
2PL,4,0.0,128.0,10.0,128000.0,0.0,739916.0,657588.0,623402.0
Hekaton,4,0.0,32.0,100.0,512000.0,0.99,26866.0,26768.0,26888.0
Cicada,28,0.2,8.0,1.0,2048000.0,0.8,41193518.0,41446869.0,41023313.0
TicToc,1,0.6,1000.0,10.0,2048000.0,0.99,224138.0,224217.0,238299.0
TicToc,4,1.0,32.0,10.0,2048000.0,0.0,731708.0,744123.0,701615.0
TicToc,16,1.0,1000.0,10.0,32768000.0,0.8,1889772.0,1887303.0,1925390.0
Hekaton,1,0.0,128.0,10.0,512000.0,0.4,133481.0,134282.0,134832.0
TicToc,16,0.6,8.0,1.0,512000.0,0.0,23188077.0,19576916.0,18373674.0
TicToc,16,0.6,8.0,1.0,128000.0,0.8,33232702.0,34314381.0,32256844.0
Hekaton,1,0.6,8.0,1.0,128000.0,0.99,1993835.0,2001902.0,2339754.0
Hekaton,1,0.2,8.0,100.0,512000.0,0.4,15591.0,15604.0,15628.0
TicToc,4,0.0,1000.0,1.0,32768000.0,0.8,3673150.0,3617944.0,3905426.0
Hekaton,1,0.6,1000.0,1.0,32768000.0,0.0,960304.0,810326.0,822773.0
FOEDUS,4,1.0,100.0,1.0,128000.0,0.0,9854076.694807112,9796795.978316829,9853265.178019913
Cicada,4,1.0,1000.0,1.0,128000.0,0.4,5715432.0,6011605.0,6409923.0
2PL,4,0.6,32.0,10.0,32768000.0,0.8,562676.0,493693.0,511701.0
Hekaton,4,0.6,8.0,1.0,8192000.0,0.8,3322587.0,3174266.0,3300403.0
Hekaton,16,1.0,128.0,1.0,2048000.0,0.99,3245573.0,2896507.0,3276785.0
Cicada,28,0.6,8.0,10.0,8192000.0,0.0,6199521.0,6241570.0,6218370.0
Hekaton,16,0.2,32.0,1.0,8192000.0,0.8,3560240.0,3986525.0,3544966.0
TicToc,1,0.2,128.0,10.0,128000.0,0.4,352229.0,335659.0,324108.0
Hekaton,16,0.6,8.0,1.0,512000.0,0.8,3561028.0,3027892.0,3083250.0
Hekaton,16,0.0,32.0,1.0,8192000.0,0.99,3161080.0,3893414.0,3920555.0
Hekaton,1,0.2,1000.0,10.0,8192000.0,0.4,99474.0,100255.0,100223.0
TicToc,28,0.6,32.0,10.0,32768000.0,0.0,4188573.0,4414426.0,4311626.0
Silo,1,0.0,128.0,1.0,8192000.0,0.4,1262763.0,1245782.0,1256598.0
TicToc,16,0.2,8.0,1.0,8192000.0,0.4,20786856.0,20603261.0,20719643.0
Cicada,16,0.0,128.0,10.0,8192000.0,0.8,2648913.0,2628186.0,2630050.0
TicToc,4,0.6,1000.0,10.0,8192000.0,0.99,537311.0,530105.0,528653.0
TicToc,4,0.0,8.0,100.0,128000.0,0.99,38459.0,36173.0,35201.0
Hekaton,16,0.2,1000.0,10.0,32768000.0,0.4,1108082.0,1121565.0,1123790.0
TicToc,28,0.2,1000.0,10.0,512000.0,0.99,679297.0,673995.0,663652.0
TicToc,4,0.2,1000.0,100.0,512000.0,0.8,23492.0,23881.0,23469.0
2PL,1,0.6,8.0,10.0,128000.0,0.4,270023.0,269867.0,288044.0
Cicada,1,1.0,128.0,10.0,2048000.0,0.99,583200.0,643027.0,553517.0
TicToc,28,0.2,1000.0,1.0,2048000.0,0.8,22448795.0,12151218.0,11662724.0
Cicada,16,0.2,1000.0,10.0,128000.0,0.4,1985431.0,1973554.0,1974103.0
Hekaton,4,1.0,8.0,10.0,128000.0,0.99,1336273.0,1289360.0,1306436.0
ERMIA,1,0.0,100.0,10.0,32768000.0,0.8,72966.9,74855.1,73140.7
Cicada,4,0.0,1000.0,1.0,8192000.0,0.4,3425366.0,3559293.0,3527947.0
Hekaton,28,0.0,32.0,1.0,32768000.0,0.99,388720.0,313260.0,208892.0
2PL,1,0.6,32.0,1.0,2048000.0,0.8,1309871.0,1306874.0,1290469.0
TicToc,1,1.0,8.0,10.0,8192000.0,0.4,222332.0,222569.0,224634.0
2PL,4,0.0,1000.0,1.0,512000.0,0.4,3553049.0,3361324.0,3350291.0
Cicada,28,0.2,32.0,1.0,512000.0,0.0,36232769.0,22559492.0,20984569.0
TicToc,4,0.6,1000.0,1.0,2048000.0,0.4,3641359.0,3710447.0,3862130.0
2PL,16,0.0,128.0,1.0,128000.0,0.4,18631039.0,19113494.0,18974901.0
Hekaton,1,1.0,32.0,1.0,512000.0,0.99,1947188.0,1956476.0,1953398.0
Cicada,16,0.6,1000.0,1.0,2048000.0,0.0,15762553.0,15003194.0,14931883.0
TicToc,28,0.2,8.0,100.0,32768000.0,0.0,383207.0,382698.0,382848.0
TicToc,28,1.0,1000.0,1.0,2048000.0,0.0,22642418.0,22339943.0,23359770.0
ERMIA,2,0.0,100.0,100.0,128000.0,0.99,10420.1,10284.3,10146.9
Silo,16,0.0,128.0,100.0,2048000.0,0.8,39165.0,39098.0,39201.0
ERMIA,1,0.0,100.0,100.0,512000.0,0.8,10821.0,11391.4,11389.0
ERMIA,28,0.2,100.0,10.0,2048000.0,0.99,325509.0,325246.0,327478.0
TicToc,28,0.0,1000.0,1.0,2048000.0,0.8,22996674.0,23710882.0,22669443.0
Hekaton,4,0.6,8.0,10.0,512000.0,0.8,649010.0,659694.0,660757.0
Hekaton,4,0.2,1000.0,100.0,512000.0,0.99,13924.0,13963.0,13945.0
2PL,1,0.2,32.0,10.0,8192000.0,0.99,243644.0,259392.0,250565.0
Silo,28,0.2,128.0,10.0,2048000.0,0.4,4102326.0,4107302.0,4103021.0
Silo,28,0.2,1000.0,100.0,128000.0,0.4,179374.0,84707.0,
Hekaton,16,0.2,128.0,1.0,32768000.0,0.0,3955706.0,3284989.0,3952667.0
FOEDUS,4,0.6,100.0,100.0,512000.0,0.4,62041.2980285617,60998.88414629388,61800.03363201769
Hekaton,4,0.6,1000.0,10.0,128000.0,0.4,367747.0,360456.0,363323.0
2PL,16,0.2,1000.0,1.0,512000.0,0.99,7815189.0,8065327.0,8142987.0
2PL,28,0.0,8.0,10.0,2048000.0,0.0,3321728.0,3314540.0,3309017.0
2PL,16,0.6,128.0,100.0,32768000.0,0.99,21188.0,21150.0,21181.0
TicToc,28,0.6,32.0,100.0,512000.0,0.4,523471.0,524008.0,523397.0
2PL,4,1.0,8.0,100.0,512000.0,0.0,62513.0,62794.0,63098.0
ERMIA,28,0.2,100.0,10.0,2048000.0,0.4,1533580.0,1548220.0,1519120.0
TicToc,4,0.0,32.0,100.0,512000.0,0.4,64469.0,65555.0,65641.0
Hekaton,16,0.2,128.0,100.0,2048000.0,0.0,160981.0,160978.0,160841.0
Cicada,16,1.0,128.0,10.0,32768000.0,0.0,4102913.0,4141728.0,4120706.0
2PL,1,1.0,8.0,100.0,128000.0,0.0,28405.0,27825.0,28260.0
Hekaton,1,1.0,1000.0,10.0,512000.0,0.4,133754.0,132799.0,137502.0
TicToc,28,0.6,1000.0,100.0,512000.0,0.8,72023.0,71909.0,72297.0
ERMIA,8,0.2,100.0,10.0,128000.0,0.0,814142.0,819019.0,817852.0
Cicada,16,1.0,1000.0,1.0,2048000.0,0.8,19722180.0,21836611.0,20449454.0
Cicada,1,1.0,1000.0,1.0,8192000.0,0.99,2098103.0,1672309.0,1671624.0
Hekaton,16,0.6,32.0,10.0,8192000.0,0.4,1685827.0,1697593.0,1696571.0
Silo,16,1.0,32.0,1.0,512000.0,0.0,20441046.0,20201708.0,21447851.0
TicToc,4,0.6,32.0,10.0,2048000.0,0.4,669915.0,646847.0,696262.0
TicToc,1,0.2,128.0,1.0,128000.0,0.99,2809438.0,2507262.0,2506552.0
FOEDUS,28,0.2,100.0,100.0,512000.0,0.99,10410.36791015391,10325.451299345368,9782.938636660998
2PL,1,1.0,128.0,10.0,128000.0,0.99,385522.0,372820.0,387782.0
Hekaton,4,0.6,128.0,1.0,128000.0,0.99,3654833.0,3691839.0,3362278.0
Silo,16,1.0,128.0,100.0,512000.0,0.8,497544.0,399993.0,396071.0
Silo,16,1.0,32.0,10.0,32768000.0,0.4,2697055.0,2687280.0,2606174.0
Cicada,28,0.2,1000.0,10.0,2048000.0,0.99,938945.0,939060.0,939358.0
Hekaton,16,1.0,32.0,1.0,8192000.0,0.8,3272657.0,2885852.0,3025489.0
TicToc,16,1.0,32.0,1.0,32768000.0,0.4,19361749.0,17822615.0,17347650.0
ERMIA,16,0.2,100.0,100.0,2048000.0,0.4,131354.0,131838.0,133248.0
Cicada,1,1.0,32.0,1.0,8192000.0,0.99,2377665.0,2386188.0,2371423.0
2PL,16,0.6,8.0,100.0,2048000.0,0.4,215488.0,214452.0,213953.0
TicToc,4,1.0,8.0,10.0,128000.0,0.0,2006367.0,1980646.0,2000116.0
Hekaton,16,0.6,8.0,10.0,32768000.0,0.0,1726900.0,1739434.0,1740846.0
2PL,1,0.0,128.0,100.0,128000.0,0.99,44594.0,41691.0,41655.0
2PL,16,1.0,128.0,10.0,32768000.0,0.99,1416039.0,1409544.0,1431855.0
Cicada,16,0.6,8.0,100.0,128000.0,0.99,61517.0,48754.0,46901.0
ERMIA,1,0.6,100.0,100.0,512000.0,0.99,17628.4,17494.8,17480.2
2PL,28,0.2,8.0,1.0,512000.0,0.0,29072084.0,29034431.0,29258996.0
TicToc,28,0.0,128.0,100.0,512000.0,0.99,28849.0,28788.0,29132.0
Cicada,16,1.0,1000.0,1.0,2048000.0,0.0,16942105.0,16966586.0,17389986.0
Cicada,16,0.2,1000.0,100.0,128000.0,0.99,41749.0,41739.0,41572.0
FOEDUS,28,0.0,100.0,1.0,8192000.0,0.4,23028938.52435549,22488176.27540621,23015075.7467517
TicToc,1,0.0,32.0,1.0,2048000.0,0.0,1306885.0,1315704.0,1312637.0
2PL,28,1.0,8.0,100.0,2048000.0,0.0,355162.0,355392.0,354370.0
Hekaton,28,0.6,1000.0,10.0,128000.0,0.0,1888707.0,1912991.0,1910324.0
Hekaton,16,0.0,1000.0,10.0,32768000.0,0.99,199252.0,200510.0,200565.0
Cicada,4,1.0,128.0,1.0,8192000.0,0.0,6530291.0,6020614.0,6479800.0
TicToc,28,0.6,1000.0,100.0,128000.0,0.0,247716.0,101674.0,102544.0
TicToc,16,0.2,128.0,1.0,512000.0,0.8,22463854.0,22012186.0,21989716.0
2PL,4,0.0,1000.0,100.0,512000.0,0.8,14590.0,14640.0,14451.0
Cicada,4,1.0,128.0,10.0,32768000.0,0.99,1398990.0,1414181.0,1460327.0
Cicada,16,0.2,128.0,1.0,512000.0,0.8,21573323.0,20642313.0,22194866.0
Hekaton,16,0.6,128.0,100.0,2048000.0,0.4,189053.0,190050.0,189606.0
Hekaton,1,0.6,128.0,1.0,128000.0,0.8,1520262.0,1526964.0,1524541.0
2PL,1,0.6,1000.0,10.0,2048000.0,0.99,200085.0,204113.0,207946.0
Cicada,1,0.6,8.0,1.0,8192000.0,0.99,2286032.0,2286177.0,2263076.0
Hekaton,4,0.6,32.0,10.0,128000.0,0.4,758519.0,759119.0,760532.0
Silo,28,0.2,32.0,100.0,2048000.0,0.0,389840.0,394731.0,396870.0
ERMIA,2,1.0,100.0,10.0,32768000.0,0.8,240816.0,237011.0,236831.0
Hekaton,1,0.2,32.0,1.0,32768000.0,0.99,1363122.0,1364868.0,1521541.0
Hekaton,28,0.0,8.0,100.0,128000.0,0.0,283242.0,284658.0,283883.0
MOCC,4,0.2,100.0,10.0,128000.0,0.4,573102.6038102783,565373.1214309889,563233.6006065505
Cicada,16,0.6,1000.0,100.0,2048000.0,0.8,129880.0,131045.0,130271.0
2PL,16,0.2,8.0,100.0,2048000.0,0.0,211852.0,211878.0,211166.0
ERMIA,8,0.0,100.0,10.0,2048000.0,0.99,196175.0,195082.0,166971.0
2PL,28,1.0,8.0,1.0,512000.0,0.8,34187178.0,33299880.0,33886704.0
Hekaton,1,0.6,128.0,100.0,512000.0,0.4,17478.0,17512.0,17577.0
Cicada,4,0.2,8.0,100.0,512000.0,0.4,102995.0,104166.0,101302.0
TicToc,16,0.0,1000.0,1.0,8192000.0,0.4,12456984.0,12960140.0,12612283.0
Hekaton,16,1.0,8.0,100.0,2048000.0,0.8,286161.0,287351.0,286643.0
Silo,4,0.2,8.0,10.0,32768000.0,0.0,691468.0,705081.0,711623.0
ERMIA,4,0.6,100.0,1.0,32768000.0,0.0,1753640.0,1765430.0,1757060.0
Cicada,4,0.2,8.0,1.0,128000.0,0.99,6707184.0,7024315.0,6636671.0
Cicada,16,0.6,32.0,1.0,128000.0,0.4,26040713.0,26676828.0,26929367.0
2PL,4,0.0,128.0,1.0,128000.0,0.0,4912629.0,4890942.0,5011081.0
Hekaton,16,1.0,8.0,100.0,512000.0,0.4,263324.0,263815.0,264269.0
TicToc,28,0.6,1000.0,100.0,128000.0,0.4,245570.0,244207.0,244700.0
Hekaton,1,0.6,1000.0,10.0,2048000.0,0.4,114114.0,107421.0,107373.0
Hekaton,1,0.6,128.0,100.0,8192000.0,0.0,15281.0,15433.0,15557.0
Hekaton,16,1.0,32.0,100.0,32768000.0,0.4,207302.0,176132.0,175473.0
Silo,4,0.2,1000.0,100.0,2048000.0,0.0,38307.0,38684.0,38536.0
Cicada,16,0.2,1000.0,1.0,2048000.0,0.99,13591467.0,13635844.0,13917533.0
Cicada,28,0.0,1000.0,1.0,8192000.0,0.8,20694045.0,20653740.0,21247314.0
MOCC,4,1.0,100.0,10.0,8192000.0,0.99,921565.0229380481,938167.8152373871,928170.036630382
MOCC,8,0.6,100.0,10.0,2048000.0,0.8,1077342.4591240624,929481.3412975338,924006.359300477
2PL,1,0.2,8.0,100.0,512000.0,0.8,25611.0,26427.0,26702.0
ERMIA,4,0.0,100.0,1.0,128000.0,0.4,1525760.0,1932040.0,1926620.0
Cicada,4,1.0,128.0,100.0,2048000.0,0.0,132481.0,140303.0,137949.0
Cicada,4,0.6,8.0,1.0,512000.0,0.0,7215226.0,7133709.0,6898696.0
