alg,threads,read_ratio,record_size,req_per_query,total_count,zipf_theta,tput_1,tput_2,tput_3
Cicada,4,0.0,128.0,1.0,8192000.0,0.99,5332153.0,5459799.0,5461908.0
Hekaton,1,0.2,8.0,1.0,8192000.0,0.4,999131.0,1007988.0,991064.0
Cicada,16,0.0,32.0,1.0,8192000.0,0.4,21056883.0,19609394.0,19711701.0
TicToc,1,0.2,1000.0,10.0,2048000.0,0.0,133773.0,137906.0,138127.0
Silo,16,0.0,8.0,1.0,32768000.0,0.8,21852061.0,21800914.0,21797343.0
ERMIA,28,0.0,100.0,10.0,2048000.0,0.8,426206.0,474424.0,427537.0
Hekaton,4,1.0,8.0,100.0,8192000.0,0.8,66628.0,65024.0,65919.0
TicToc,4,1.0,1000.0,1.0,2048000.0,0.0,3983004.0,3910544.0,4121161.0
TicToc,28,0.2,8.0,1.0,2048000.0,0.99,29708092.0,30144823.0,29380211.0
Cicada,4,0.0,32.0,10.0,128000.0,0.0,1206929.0,1230510.0,1166020.0
ERMIA,2,0.0,100.0,10.0,2048000.0,0.8,171102.0,170630.0,168426.0
TicToc,4,0.0,8.0,10.0,32768000.0,0.4,690007.0,688620.0,693060.0
Silo,4,0.2,128.0,100.0,512000.0,0.4,60398.0,60571.0,60517.0
ERMIA,1,0.6,100.0,1.0,512000.0,0.8,770716.0,732893.0,744726.0
2PL,4,0.2,8.0,10.0,32768000.0,0.4,514049.0,498319.0,512661.0
Cicada,16,0.0,32.0,10.0,2048000.0,0.4,3038955.0,3128360.0,3150307.0
Hekaton,16,1.0,32.0,1.0,32768000.0,0.99,2722367.0,2808326.0,2977005.0
Hekaton,28,0.6,32.0,10.0,8192000.0,0.99,40351.0,24586.0,30159.0
ERMIA,28,0.2,100.0,10.0,8192000.0,0.0,1372210.0,1357720.0,1378840.0
Hekaton,28,0.6,128.0,10.0,8192000.0,0.0,2757846.0,2752974.0,2736118.0
Hekaton,28,0.2,32.0,10.0,8192000.0,0.99,335763.0,336801.0,336857.0
TicToc,16,0.6,32.0,100.0,512000.0,0.4,311637.0,311144.0,311652.0
FOEDUS,16,0.6,100.0,10.0,512000.0,0.0,2314585.1560762217,2284908.3440978825,2256853.835572336
Silo,28,0.6,32.0,1.0,32768000.0,0.4,29289863.0,30290130.0,29151549.0
MOCC,8,0.6,100.0,1.0,128000.0,0.8,12359796.465937415,12557701.840510419,12485247.650050541
TicToc,4,1.0,128.0,100.0,2048000.0,0.0,68962.0,68779.0,68895.0
Cicada,16,0.2,128.0,10.0,2048000.0,0.0,2921824.0,2915570.0,2895117.0
FOEDUS,16,0.0,100.0,10.0,8192000.0,0.8,1479308.8651772176,1463839.8364031198,1397846.5955701394
Cicada,28,0.2,32.0,1.0,128000.0,0.99,18559325.0,18505069.0,18170643.0
MOCC,8,0.0,100.0,10.0,8192000.0,0.4,744343.1810410039,805917.9855387572,735457.1243767411
TicToc,28,1.0,128.0,10.0,8192000.0,0.0,4191508.0,2993894.0,3020795.0
Hekaton,16,0.6,128.0,10.0,128000.0,0.0,2390262.0,2455461.0,2405392.0
