warehouses,threads,cross,servers,tput_1,tput_2,tput_3
8,1,20,4,29.7229,26.6763,30.6931
8,1,20,8,47.9772,43.6112,45.5455
8,1,40,2,14.0825,15.0047,15.0517
8,1,40,4,24.0173,20.5602,22.7133
8,1,40,8,36.8899,35.3297,35.0572
8,1,60,2,13.9632,14.0679,13.1281
8,1,60,4,19.7486,18.8431,19.8054
8,1,60,8,28.8665,29.2193,29.2691
8,1,80,2,11.3423,13.0809,12.7598
8,1,80,4,17.7378,16.3635,17.824
8,1,80,8,25.2385,24.633,25.3338
8,1,100,2,12.5717,12.8176,11.9396
8,1,100,4,16.9051,15.8599,16.4888
8,1,100,8,22.4172,23.1667,23.5535
8,2,0,2,40.0856,45.8161,38.4188
8,2,0,4,90.0685,84.2782,87.051
8,2,0,8,158.939,148.693,152.652
8,2,20,2,28.0337,27.7797,26.4343
8,2,20,4,40.7068,46.3763,40.933
8,2,20,8,53.8888,51.4715,50.9728
8,2,40,2,20.4372,22.1863,22.1025
8,2,40,4,29.3891,29.5144,31.135
8,2,40,8,40.2388,39.75,39.2356
8,2,60,2,16.705,21.5629,20.4945
8,2,60,4,24.0271,24.5645,25.3072
8,2,60,8,33.3144,31.1883,32.4347
8,2,80,2,19.5856,21.9837,20.3868
8,2,80,4,21.168,24.1519,22.8233
8,2,80,8,28.9885,26.2023,25.8959
8,2,100,2,18.2746,19.9356,20.0605
8,2,100,4,18.6487,21.0293,19.8898
8,2,100,8,25.0218,22.9754,22.0808
8,4,0,2,42.9986,46.3358,40.2939
8,4,0,4,106.122,87.9783,94.8271
8,4,0,8,151.638,165.182,165.222
8,4,20,2,32.8797,26.9413,29.8286
8,4,20,4,53.5571,45.89,47.3019
8,4,20,8,50.3485,57.817,59.5149
8,4,40,2,28.7476,26.1014,28.6185
8,4,40,4,40.9374,40.4579,36.0202
8,4,40,8,40.8842,47.8778,46.5517
8,4,60,2,26.7595,25.5424,26.6116
8,4,60,4,32.8691,27.8177,28.0695
8,4,60,8,34.8665,37.7136,37.1939
8,4,80,2,24.8529,24.0221,24.9469
8,4,80,4,27.071,26.5283,25.6239
8,4,80,8,29.5691,30.3237,30.7768
8,4,100,2,24.9631,25.9428,24.6669
8,4,100,4,24.3824,22.0569,23.9999
8,4,100,8,25.7198,26.6303,28.5456
8,8,0,2,43.49,41.2357,38.5284
8,8,0,4,96.4566,90.9049,84.218
8,8,0,8,140.015,155.227,161.054
8,8,20,2,29.442,33.2665,36.044
8,8,20,4,54.9507,46.5109,43.7027
8,8,20,8,45.8469,55.9903,55.7868
8,8,40,2,26.8966,29.4994,28.2191
8,8,40,4,41.2727,33.6994,38.2641
8,8,40,8,38.1119,46.0752,46.5996
8,8,60,2,27.0061,24.6772,25.6976
8,8,60,4,34.2592,28.4912,27.4548
8,8,60,8,32.9271,37.2289,36.8914
8,8,80,2,23.4283,25.2179,26.5145
8,8,80,4,27.3657,25.4169,25.0117
8,8,80,8,26.6134,30.427,30.7041
8,8,100,2,25.4396,24.3476,25.3912
8,8,100,4,26.0849,22.4755,22.3089
8,8,100,8,23.3872,25.8554,26.149
8,16,0,2,34.7683,41.9757,35.0393
8,16,0,4,88.7355,72.0718,74.4054
8,16,0,8,135.969,154.037,151.128
8,16,20,2,23.4209,22.9597,24.4764
8,16,20,4,50.2048,42.6645,41.2921
8,16,20,8,40.6908,52.6566,54.5758
8,16,40,2,22.5806,23.1016,25.0651
8,16,40,4,41.1029,29.4007,32.3618
8,16,40,8,34.0394,42.8538,41.5489
8,16,60,2,23.3662,23.6997,23.498
8,16,60,4,30.3428,27.0031,28.5264
8,16,60,8,28.6128,33.1549,31.4954
8,16,80,2,21.4273,21.2688,22.9263
8,16,80,4,26.0308,22.7508,23.3405
8,16,80,8,22.1195,26.4592,26.3939
8,16,100,2,21.3631,21.1401,22.2783
8,16,100,4,22.1686,19.8364,22.2705
8,16,100,8,20.3233,22.4923,22.7503
16,1,0,2,24.3239,20.664,20.3372
16,1,0,4,36.8995,48.5038,37.4562
16,1,0,8,93.837,96.6045,104.167
16,1,20,2,16.125,16.3189,15.0547
16,1,20,4,24.7428,27.1653,26.8754
16,1,20,8,41.8694,34.7782,36.7968
16,1,40,2,12.4593,12.7177,12.0949
16,1,40,4,19.1734,17.7519,20.2814
16,1,40,8,30.6445,29.7065,30.32
16,1,60,2,11.4134,11.0896,12.0589
16,1,60,4,16.3005,14.0973,17.6153
16,1,60,8,24.9652,26.1476,24.4692
16,1,80,2,11.3609,10.0277,10.4737
16,1,80,4,15.1898,16.0752,15.7797
16,1,80,8,22.588,22.8951,22.848
16,1,100,2,10.8926,10.41,9.92537
16,1,100,4,14.2413,15.5448,14.9799
16,1,100,8,19.8822,20.0218,19.4442
16,2,0,2,40.4002,37.1889,42.2871
16,2,0,4,61.1264,79.3671,85.9198
16,2,0,8,156.593,175.721,159.314
16,2,20,2,25.4575,24.2671,20.877
16,2,20,4,39.3064,31.9197,38.7837
16,2,20,8,50.7583,48.742,50.0507
16,2,40,2,18.393,20.0502,20.632
16,2,40,4,30.0207,27.8564,30.5416
16,2,40,8,37.9034,37.2431,35.5993
16,2,60,2,16.0208,19.0577,19.3448
16,2,60,4,23.2602,23.1396,22.4569
16,2,60,8,28.1487,27.4606,31.1406
16,2,80,2,17.8424,17.9306,17.5275
16,2,80,4,19.7991,18.4051,22.3727
16,2,80,8,25.1685,23.4193,23.6888
16,2,100,2,16.4755,16.7281,16.8807
16,2,100,4,17.9475,19.6961,19.5259
16,2,100,8,21.9026,21.2303,21.3301
16,4,0,2,44.448,40.8396,45.8062
16,4,0,4,82.8277,81.2758,79.4934
16,4,0,8,169.671,165.586,173.78
16,4,20,2,33.1911,22.7007,22.7381
16,4,20,4,44.0416,43.3578,42.5911
16,4,20,8,54.3363,53.2569,54.7212
16,4,40,2,27.1388,19.6853,25.2779
16,4,40,4,32.6581,32.9958,33.0935
16,4,40,8,40.5085,36.5303,39.2104
16,4,60,2,19.65,18.7502,22.1803
16,4,60,4,26.653,28.9361,27.6816
16,4,60,8,28.0885,29.5026,29.3643
16,4,80,2,19.2466,18.7165,24.5389
16,4,80,4,23.5598,23.9497,24.1157
16,4,80,8,24.8768,24.832,26.4425
16,4,100,2,21.8129,19.2268,18.43
16,4,100,4,20.6525,21.9471,22.219
16,4,100,8,21.5168,22.717,22.5461
16,8,0,2,45.2309,44.299,44.3786
16,8,0,4,80.368,82.2428,102.566
16,8,0,8,148.987,151.85,156.611
16,8,20,2,30.9129,34.6607,28.4383
16,8,20,4,44.6306,42.7191,58.3193
16,8,20,8,55.1335,47.8367,52.3765
16,8,40,2,26.9948,28.0545,29.4448
16,8,40,4,37.568,33.2393,44.3088
16,8,40,8,41.2482,38.7834,38.7435
16,8,60,2,21.9947,19.4231,22.0938
16,8,60,4,26.5675,26.6011,35.0162
16,8,60,8,28.2257,27.4451,28.131
16,8,80,2,20.1523,25.3763,18.7513
16,8,80,4,22.6754,23.1314,28.5015
16,8,80,8,26.892,24.3736,24.1786
16,8,100,2,18.5535,23.7008,19.7649
16,8,100,4,21.3191,20.7507,25.7425
16,8,100,8,21.5027,21.8781,20.6402
16,16,0,2,45.8593,36.1903,41.407
16,16,0,4,75.3318,74.0904,94.2326
16,16,0,8,138.23,133.3,132.989
16,16,20,2,17.7841,26.9996,27.7036
16,16,20,4,38.6835,38.4074,54.8636
16,16,20,8,51.4953,49.4397,49.2831
16,16,40,2,25.8527,26.2162,19.5305
16,16,40,4,30.5691,33.5777,42.0439
16,16,40,8,38.1284,37.2299,36.569
16,16,60,2,21.9549,23.7484,23.5727
16,16,60,4,27.1655,25.0149,32.6548
16,16,60,8,28.255,29.7483,28.6016
16,16,80,2,17.3297,23.4889,17.9153
16,16,80,4,22.7042,24.0485,27.7752
16,16,80,8,24.7072,23.0053,22.0705
16,16,100,2,21.8044,16.1895,22.5309
16,16,100,4,21.3053,19.0162,24.4785
16,16,100,8,20.8616,20.3755,22.2721
32,1,0,2,16.6826,15.6192,15.8076
32,1,0,4,35.0772,37.2294,30.3924
32,1,0,8,63.8821,59.2289,63.8754
32,1,20,2,12.2444,12.2331,12.2226
32,1,20,4,20.271,20.4521,20.8749
32,1,20,8,30.7875,34.9948,35.8054
