alg,nnodes,WH,dist,tput_1,tput_2,tput_3
Calvin,16,16,0,306795.76005412475,307467.5927343506,304631.3203924825
Calvin,16,16,10,281698.4046338531,293297.19592227146,293280.8642241158
Calvin,16,16,20,233082.33382840376,280184.0668068299,295993.5462629337
Calvin,16,16,30,277032.9805172003,289077.8381935436,276992.52571613854
Calvin,16,16,40,275634.42523043696,275908.37775405764,276245.980477856
Calvin,16,16,50,267900.2843499563,256797.9878390297,257954.77693930417
Calvin,16,16,60,248354.35398297413,244521.00323822844,241356.88759755532
Calvin,16,16,70,230880.71488451253,238687.42240195617,228556.17522220616
Calvin,16,16,80,219345.64598826447,213481.52552294757,215059.6573860242
Calvin,16,16,90,215430.51542891414,208764.6753488626,204669.03171420709
