keys,ReadRatio,nShard,nrep,nclients,tput_1,tput_2,tput_3
2.048,0.6,2,3,15,29083.849576825756,34816.1687904742,33431.06445573683
2.048,0.6,2,3,20,33987.01695952146,38856.07709045695,30661.679033543878
2.048,0.6,2,3,25,31851.19123455217,40472.72138578598,34071.550255536626
2.048,0.6,2,3,5,10521.442700223055,10912.384465129475,11347.13144517066
2.048,0.6,2,5,10,17412.50217656277,16206.142127866462,16609.640235192506
2.048,0.6,2,5,15,25747.058369165014,28383.809713036815,28047.850110790117
2.048,0.6,2,5,20,32210.268633640404,34956.479183416646,26362.965306337657
2.048,0.6,2,5,25,29104.455892197097,31200.27456241615,38644.355991807395
2.048,0.6,2,5,5,10735.142562693232,11843.289592117106,9376.904683763889
2.048,0.6,3,3,10,25652.86542506798,26580.19244059327,26257.74603508035
2.048,0.6,3,3,15,33878.44293119219,35603.304019653224,34908.53871395657
2.048,0.6,3,3,20,39963.23382488111,43308.791684712,43138.77744704715
2.048,0.6,3,3,25,45545.63672800146,49895.220037920364,49490.25042066713
2.048,0.6,3,3,5,45545.63672800146,11070.151550374725,10987.56207972575
2.048,0.0,1,3,10,13427.68520134814,13151.837969356218,12814.92682676782
2.048,0.0,1,3,15,19146.992934688955,18509.078793936365,17753.61289635337
2.048,0.0,1,3,20,19592.09263141396,19494.317406476013,11053.75440768457
2.048,0.0,1,3,25,20093.63634536942,19071.231047964146,18440.317911080787
2.048,0.0,1,3,5,9003.898688131962,9414.068383792739,9357.425585073035
2.048,0.0,1,5,10,12616.86370002145,9994.003597841294,12017.786323759163
2.048,0.0,1,5,15,17180.18760952479,16452.615992102666,44718.272068687955
2.048,0.0,1,5,20,19889.41485341501,11058.032554847841,18771.93970452967
2.048,0.0,1,5,25,20031.650007011078,19272.278754239902,19126.310152245427
2.048,0.0,1,5,5,10836.232025400128,8265.077567752973,8928.730870194111
2.048,0.0,1,7,10,12317.091195743213,10981.287885443206,11505.096757863734
2.048,0.0,1,7,15,17175.466318573734,16262.11539712483,11084.028863099791
2.048,0.0,1,7,20,19767.14305481429,19552.25339720403,19516.003122560498
2.048,0.0,1,7,25,18049.889895671637,18698.578908002994,18653.236336504382
2.048,0.0,1,7,5,8135.438784890863,8879.338666856092,9531.434671546762
2.048,0.0,2,3,10,22087.732473384283,20040.481773181826,22522.015269926353
2.048,0.0,2,3,15,27334.080472337635,30961.359836522384,31318.196053867836
2.048,0.0,2,3,20,31960.11377800505,34657.23989741457,28230.24588544166
2.048,0.0,2,3,25,30275.50711474417,31493.087267344818,30882.307526018343
2.048,0.0,2,3,5,9584.695158770475,9511.670820096258,9559.68108903887
2.048,0.0,2,5,10,18300.940668350355,19018.63826550019,17325.61765826952
2.048,0.0,2,5,15,23449.17340837144,26670.667306769083,26033.94860847153
2.048,0.0,2,5,20,24273.61215622497,32383.41968911917,32366.649404453652
2.048,0.0,2,5,25,26824.753882883124,35132.09668353007,27767.750534529197
2.048,0.0,2,5,5,8823.399655887413,9088.182636118256,10474.165470866108
2.048,0.0,3,3,10,23983.115886415962,25102.921980118484,24837.93249049949
2.048,0.0,3,3,15,31598.2557588397,32925.81739159066,32667.668485185066
2.048,0.0,3,3,20,37644.932992019276,39767.75630318937,39286.55614048873
2.048,0.0,3,3,25,42470.05860868088,45562.2380171314,44810.89801039613
2.048,0.0,3,3,5,10333.674344586705,10258.619805291397,10794.240193432785
2.048,1.0,1,3,10,14674.806292556937,14187.617047840644,14600.671630895022
2.048,1.0,1,3,15,16014.445173998687,18298.74835309618,19031.47838002436
2.048,1.0,1,3,20,22302.01387185263,26310.250473584507,26457.826224997356
2.048,1.0,1,3,25,22257.834757834757,25722.149342799083,15670.051397768584
2.048,1.0,1,3,5,11365.186161749329,10653.598252809887,11900.653345868688
2.048,1.0,1,5,10,14103.178856514258,13640.517794055462,13966.870582977179
2.048,1.0,1,5,15,19901.882736934283,18096.091205211727,18308.464087588567
2.048,1.0,1,5,20,20332.642023504533,25477.05790935263,24965.672200724006
2.048,1.0,1,5,25,27242.76023646716,23747.328425552125,24870.672502984482
2.048,1.0,1,5,5,11177.180667948316,9927.134830345265,10238.453583970677
2.048,1.0,1,7,10,14378.145219266715,12999.168053244592,13126.28801701167
2.048,1.0,1,7,15,15684.395438932195,17179.007043463323,17489.069222428207
2.048,1.0,1,7,20,24200.183921397802,24529.644074864475,23849.8413985547
2.048,1.0,1,7,25,22901.112994091513,26219.192448872574,26112.387716732817
2.048,1.0,1,7,5,9730.560772217303,10359.151792651217,9968.49954144902
2.048,1.0,2,3,10,26300.562832044605,26651.741691319527,25839.793281653747
2.048,1.0,2,3,15,33376.389306097924,36564.04256097115,36864.63171864632
2.048,1.0,2,3,20,36435.18181155724,38339.148104129126,33530.042918454936
2.048,1.0,2,3,25,41914.66174867969,40548.21182385857,38092.335822032604
2.048,1.0,2,3,5,12476.295039425093,11447.017479595692,12493.44094350466
2.048,1.0,2,5,10,18186.44745935329,18906.80834168384,18198.69333381863
2.048,1.0,2,5,15,26895.911780527164,29916.532040926224,27394.734679341425
2.048,1.0,2,5,20,34693.31112961421,37854.41193171064,37067.23997331159
2.048,1.0,2,5,25,31526.84510860998,33647.37550471063,43474.48047995826
2.048,1.0,2,5,5,10243.69756507309,11560.559993526087,10002.200484106503
2.048,1.0,3,3,10,27307.482250136538,27547.450483457756,27940.76557697681
2.048,1.0,3,3,15,37614.82038743652,37464.034167540834,37765.39899543034
2.048,1.0,3,3,20,44531.528322052014,46279.15586819696,45846.323124885384
2.048,1.0,3,3,25,50334.72592741733,55453.89009038984,54016.09679684546
2.048,1.0,3,3,5,12513.765141655822,12709.387153351465,12650.06135279756
