threads,keys,ReadRatio,tput_1,tput_2,tput_3
16,32768,20,6485410.0,10104500.0,10155700.0
16,32768,60,7677170.0,11858500.0,11574900.0
16,32768,100,9662350.0,8054430.0,14484200.0
28,32768,0,5257150.0,5849780.0,16375500.0
28,32768,20,5775380.0,17437800.0,17482400.0
28,32768,60,7438070.0,20141500.0,19561100.0
28,32768,100,9864290.0,10330000.0,24482900.0
1,131072,0,513777.0,596815.0,604323.0
1,131072,20,554991.0,649386.0,647257.0
1,131072,60,729650.0,757039.0,755450.0
1,131072,100,915187.0,915758.0,914510.0
2,131072,0,1041020.0,1049430.0,1137800.0
2,131072,20,1109130.0,1207260.0,1207490.0
2,131072,60,1268310.0,1387310.0,1386470.0
2,131072,100,1526470.0,1553040.0,1659860.0
4,131072,0,1933140.0,1980760.0,2225940.0
4,131072,20,2109230.0,2394860.0,2386920.0
4,131072,60,2398350.0,2734640.0,2728400.0
4,131072,100,2885650.0,2978680.0,3218760.0
8,131072,0,3165130.0,3389210.0,4221800.0
8,131072,20,3455800.0,4556500.0,4578580.0
8,131072,60,4425120.0,5283490.0,5255050.0
8,131072,100,5615330.0,5219300.0,6213020.0
16,131072,0,4956090.0,4546360.0,8062640.0
16,131072,20,5452130.0,8748960.0,8805420.0
16,131072,60,6493240.0,10166600.0,9850930.0
16,131072,100,7971470.0,7552220.0,12163900.0
28,131072,0,4978640.0,4433210.0,13486500.0
28,131072,20,4895450.0,14486100.0,14851600.0
28,131072,60,6229030.0,16913200.0,16605000.0
28,131072,100,7882440.0,8058400.0,19795300.0
