partition_num,threads,servers,cross,tput_1,tput_2,tput_3
128,2,2,40,163502.0,132124.0,145419.0
128,2,2,60,127499.0,122041.0,122093.0
128,2,2,80,106860.0,110597.0,119569.0
128,2,2,100,102740.0,102939.0,88082.1
128,2,4,0,440947.0,395147.0,398021.0
128,2,4,20,220347.0,209272.0,215038.0
128,2,4,40,171015.0,159218.0,159877.0
128,2,4,60,149969.0,126529.0,123051.0
128,2,4,80,117763.0,113404.0,124010.0
128,2,4,100,103610.0,94789.4,109472.0
128,2,8,0,508735.0,470692.0,459699.0
128,2,8,20,229310.0,233044.0,237646.0
128,2,8,40,181678.0,157625.0,171064.0
128,2,8,60,142731.0,138805.0,135544.0
128,2,8,80,115305.0,114325.0,102330.0
128,2,8,100,105358.0,102356.0,91915.1
128,4,2,0,472851.0,484980.0,490914.0
128,4,2,20,333769.0,351956.0,364776.0
128,4,2,40,292036.0,310410.0,295966.0
128,4,2,60,275231.0,298563.0,277833.0
128,4,2,80,246538.0,268546.0,241809.0
128,4,2,100,242662.0,250457.0,235184.0
128,4,4,0,634480.0,626609.0,638378.0
128,4,4,20,438708.0,398440.0,429349.0
128,4,4,40,327458.0,367066.0,325192.0
128,4,4,60,295500.0,301911.0,289457.0
128,4,4,80,269642.0,264324.0,243049.0
128,4,4,100,230850.0,235580.0,239382.0
128,4,8,0,690002.0,686877.0,680958.0
128,4,8,20,426660.0,446459.0,431616.0
128,4,8,40,324993.0,346683.0,356246.0
128,4,8,60,288256.0,301707.0,273626.0
128,4,8,80,250210.0,247903.0,252598.0
128,4,8,100,216111.0,228913.0,220390.0
128,8,2,0,937026.0,815504.0,845080.0
128,8,2,20,672307.0,613992.0,611694.0
128,8,2,40,574609.0,554044.0,562269.0
128,8,2,60,542824.0,501574.0,519581.0
128,8,2,80,489097.0,437643.0,499340.0
128,8,2,100,448099.0,431147.0,410615.0
128,8,4,0,1206870.0,1127590.0,1121700.0
128,8,4,20,790638.0,750119.0,741071.0
128,8,4,40,667524.0,614704.0,603534.0
128,8,4,60,643423.0,543134.0,526657.0
128,8,4,80,490303.0,433343.0,437851.0
128,8,4,100,469534.0,397720.0,415890.0
128,8,8,0,1157220.0,1169650.0,1158200.0
128,8,8,20,768598.0,798026.0,811179.0
128,8,8,40,646371.0,597130.0,622466.0
128,8,8,60,521710.0,487593.0,510568.0
128,8,8,80,425423.0,418446.0,430853.0
128,8,8,100,392146.0,377221.0,379221.0
128,16,2,0,1226350.0,893082.0,870784.0
128,16,2,20,856312.0,673270.0,669282.0
128,16,2,40,754838.0,628409.0,625514.0
128,16,2,60,689502.0,565448.0,569841.0
128,16,2,80,629900.0,522872.0,515538.0
128,16,2,100,623738.0,507789.0,510075.0
128,16,4,0,0.0,1360510.0,1400250.0
128,16,4,20,0.0,940650.0,924633.0
128,16,4,40,0.0,713858.0,732990.0
128,16,4,60,0.0,603165.0,581106.0
128,16,4,80,646959.0,508050.0,516176.0
128,16,4,100,0.0,465168.0,473404.0
128,16,8,0,0.0,1502600.0,1560380.0
128,16,8,20,0.0,866051.0,870216.0
128,16,8,40,0.0,671614.0,663211.0
128,16,8,60,0.0,0.0,551550.0
128,16,8,80,0.0,429847.0,421357.0
128,16,8,100,0.0,0.0,399625.0
256,1,2,0,161817.0,163152.0,159941.0
256,1,2,20,50987.3,60101.9,100695.0
256,1,2,40,44329.6,43302.7,37991.2
256,1,2,60,72033.2,25814.3,28696.7
256,1,2,80,37336.3,26602.6,20715.2
256,1,2,100,13912.6,38238.3,17466.8
256,1,4,0,215790.0,219899.0,218865.0
256,1,4,20,56307.7,119512.0,95540.1
256,1,4,40,34447.1,39860.5,91040.1
256,1,4,60,71310.2,26215.2,52767.8
256,1,4,80,21029.7,63585.4,60003.7
256,1,4,100,21355.9,18181.4,23377.9
256,1,8,0,258938.0,261982.0,260173.0
256,1,8,20,129319.0,120680.0,97728.8
256,1,8,40,90844.9,89434.9,86739.4
256,1,8,60,71182.4,73853.0,32189.2
256,1,8,80,63894.3,59548.0,62207.4
256,1,8,100,54076.7,51980.2,54335.3
256,2,2,0,332352.0,283788.0,284446.0
256,2,2,20,135845.0,147838.0,141035.0
256,2,2,40,103947.0,112758.0,109543.0
256,2,2,60,75363.4,86880.3,98432.1
256,2,2,80,71112.5,71894.7,81349.6
256,2,2,100,57451.3,67611.3,67787.1
256,2,4,0,446400.0,393550.0,389132.0
256,2,4,20,168409.0,161542.0,171254.0
256,2,4,40,106742.0,126272.0,138946.0
256,2,4,60,101120.0,105255.0,101993.0
256,2,4,80,68445.3,81580.9,88749.7
256,2,4,100,58885.4,72243.2,73725.4
256,2,8,0,481329.0,458531.0,441125.0
256,2,8,20,154432.0,170106.0,178320.0
256,2,8,40,124575.0,123415.0,123370.0
256,2,8,60,98987.0,91001.0,82400.0
256,2,8,80,83907.7,82347.6,87688.9
256,2,8,100,58515.2,72359.8,66590.8
256,4,2,0,474259.0,463448.0,484417.0
256,4,2,20,278555.0,341164.0,345570.0
256,4,2,40,224108.0,248267.0,304764.0
256,4,2,60,190338.0,247515.0,256472.0
256,4,2,80,200399.0,179303.0,226573.0
256,4,2,100,180235.0,220295.0,194244.0
256,4,4,0,613444.0,612096.0,608904.0
256,4,4,20,345930.0,320682.0,331520.0
256,4,4,40,252226.0,296306.0,260634.0
256,4,4,60,230948.0,202306.0,231168.0
256,4,4,80,188062.0,211230.0,202385.0
256,4,4,100,200656.0,168736.0,177025.0
256,4,8,0,667437.0,671998.0,663848.0
256,4,8,20,365325.0,382043.0,352296.0
256,4,8,40,252751.0,258569.0,296056.0
256,4,8,60,222208.0,233233.0,251498.0
256,4,8,80,211292.0,166117.0,206909.0
256,4,8,100,178826.0,182285.0,170661.0
256,8,2,0,934023.0,839574.0,811980.0
256,8,2,20,503461.0,484679.0,496360.0
256,8,2,40,400209.0,459044.0,393025.0
256,8,2,60,396637.0,353276.0,383109.0
256,8,2,80,323706.0,364413.0,333473.0
256,8,2,100,319456.0,293365.0,304556.0
256,8,4,0,1212700.0,1102730.0,1106630.0
256,8,4,20,594683.0,637494.0,639107.0
256,8,4,40,499144.0,457419.0,445553.0
256,8,4,60,386654.0,441099.0,425018.0
256,8,4,80,356962.0,359037.0,409306.0
256,8,4,100,369070.0,315111.0,345053.0
256,8,8,0,1245540.0,1174170.0,1188740.0
256,8,8,20,663812.0,630824.0,649555.0
256,8,8,40,504568.0,468982.0,526504.0
256,8,8,60,402916.0,382680.0,412348.0
256,8,8,80,327960.0,311622.0,328397.0
256,8,8,100,262322.0,299650.0,279974.0
256,16,2,0,1184400.0,883319.0,876219.0
256,16,2,20,526483.0,555462.0,520261.0
256,16,2,40,533863.0,492798.0,476481.0
256,16,2,60,452101.0,444783.0,419978.0
256,16,2,80,436200.0,427519.0,339458.0
256,16,2,100,327224.0,342326.0,393499.0
256,16,4,0,1584900.0,1365760.0,1346970.0
256,16,4,20,796117.0,803446.0,717281.0
256,16,4,40,586413.0,509894.0,600287.0
256,16,4,60,523879.0,438102.0,505401.0
256,16,4,80,435044.0,440275.0,419801.0
256,16,4,100,395903.0,345570.0,317637.0
256,16,8,0,0.0,1514860.0,1536440.0
256,16,8,20,0.0,741396.0,736963.0
256,16,8,40,0.0,538969.0,535348.0
256,16,8,60,0.0,437898.0,452885.0
256,16,8,80,0.0,353379.0,338052.0
256,16,8,100,0.0,312796.0,323734.0
