partition_num,threads,servers,cross,tput_1,tput_2,tput_3
16,1,2,0,163277.0,165248.0,161147.0
16,1,2,20,126710.0,133524.0,128929.0
16,1,2,40,112300.0,117339.0,115211.0
16,1,2,60,103468.0,102074.0,95241.4
16,1,2,80,92066.4,98285.1,92499.7
16,1,2,100,85147.1,88296.0,83825.4
16,1,4,0,214213.0,216792.0,218916.0
16,1,4,20,161716.0,160515.0,165781.0
16,1,4,40,130565.0,128221.0,129800.0
16,1,4,60,107968.0,106401.0,115851.0
16,1,4,80,94093.3,94452.8,96123.9
16,1,4,100,83479.4,79668.4,82064.7
16,1,8,0,263976.0,250711.0,258969.0
16,1,8,20,181128.0,186823.0,173880.0
16,1,8,40,126960.0,124532.0,134494.0
16,1,8,60,106896.0,113846.0,108994.0
16,1,8,80,94062.6,86742.1,83601.8
16,1,8,100,77180.6,80459.0,84559.7
16,2,2,0,341142.0,294824.0,287509.0
16,2,2,20,269032.0,239503.0,240710.0
16,2,2,40,226712.0,215198.0,218691.0
16,2,2,60,224355.0,198927.0,198826.0
16,2,2,80,195071.0,180571.0,180956.0
16,2,2,100,192148.0,168967.0,166768.0
16,2,4,0,451746.0,404010.0,394959.0
16,2,4,20,356134.0,318658.0,316373.0
16,2,4,40,275575.0,259399.0,259767.0
16,2,4,60,236991.0,213503.0,211848.0
16,2,4,80,208943.0,182718.0,181929.0
16,2,4,100,185421.0,162827.0,159326.0
16,2,8,0,510278.0,474940.0,473382.0
16,2,8,20,385702.0,347624.0,349607.0
16,2,8,40,302287.0,252748.0,263543.0
16,2,8,60,223531.0,206889.0,208571.0
16,2,8,80,202349.0,173319.0,174612.0
16,2,8,100,176925.0,146099.0,146448.0
16,4,2,0,492407.0,495109.0,519296.0
16,4,2,20,430744.0,433792.0,438458.0
16,4,2,40,398965.0,403212.0,407056.0
16,4,2,60,369950.0,367528.0,361595.0
16,4,2,80,350097.0,349936.0,330875.0
16,4,2,100,326418.0,326524.0,323105.0
16,4,4,0,625790.0,629249.0,637584.0
16,4,4,20,528085.0,534889.0,532482.0
16,4,4,40,433441.0,437669.0,439709.0
16,4,4,60,366641.0,372663.0,367096.0
16,4,4,80,321518.0,319575.0,323863.0
16,4,4,100,294352.0,293187.0,292074.0
16,8,2,0,965409.0,878997.0,878902.0
16,8,2,20,880828.0,770911.0,768143.0
16,8,2,40,800482.0,706436.0,707236.0
16,8,2,60,758983.0,642618.0,640280.0
16,8,2,80,727583.0,602524.0,605172.0
16,8,2,100,687116.0,560906.0,565122.0
32,1,2,0,165145.0,166010.0,161283.0
32,1,2,20,115934.0,127334.0,114566.0
32,1,2,40,111974.0,102219.0,101722.0
32,1,2,60,87321.3,97191.8,93413.2
32,1,2,80,86531.7,79075.2,85224.6
32,1,2,100,78404.0,72374.7,78974.3
32,1,4,0,220594.0,218664.0,212691.0
32,1,4,20,148592.0,139221.0,160502.0
32,1,4,40,97106.9,117134.0,121036.0
32,1,4,60,99619.4,97787.8,105606.0
32,1,4,80,85398.1,87500.3,83702.0
32,1,4,100,76173.0,75583.2,83864.0
32,1,8,0,243443.0,241765.0,241638.0
32,1,8,20,138590.0,129326.0,140346.0
32,1,8,40,101963.0,100110.0,99906.2
32,1,8,60,80853.2,83326.6,68893.1
32,1,8,80,61460.4,64933.2,68018.4
32,1,8,100,50597.7,54472.0,54252.6
32,2,2,0,340296.0,290904.0,288199.0
32,2,2,20,259876.0,225192.0,226130.0
32,2,2,40,223791.0,203120.0,196792.0
32,2,2,60,202340.0,178937.0,175594.0
32,2,2,80,188367.0,158674.0,165434.0
32,2,2,100,175721.0,154226.0,149657.0
32,2,4,0,383591.0,373351.0,379395.0
32,2,4,20,282817.0,286063.0,280776.0
32,2,4,40,228742.0,226823.0,237160.0
32,2,4,60,193582.0,193062.0,191324.0
32,2,4,80,167203.0,167929.0,167505.0
32,2,4,100,145386.0,145479.0,152599.0
32,2,8,0,508824.0,484074.0,450247.0
32,2,8,20,344540.0,307848.0,320761.0
32,2,8,40,268932.0,228656.0,232733.0
32,2,8,60,215637.0,191274.0,195168.0
32,2,8,80,187639.0,158247.0,158804.0
32,2,8,100,165088.0,130604.0,136093.0
32,4,2,0,478388.0,494022.0,504302.0
32,4,2,20,408591.0,407989.0,393526.0
32,4,2,40,364057.0,374734.0,372320.0
32,4,2,60,321719.0,352765.0,337059.0
32,4,2,80,325964.0,325104.0,323571.0
32,4,2,100,290186.0,302658.0,287531.0
32,4,4,0,634097.0,646323.0,643987.0
32,4,4,20,523573.0,523925.0,527217.0
32,4,4,40,431219.0,440188.0,431448.0
32,4,4,60,368437.0,364549.0,0.0
32,4,4,80,318005.0,0.0,0.0
32,4,4,100,279545.0,293256.0,0.0
32,4,8,0,677911.0,686738.0,689829.0
32,4,8,20,533816.0,549987.0,550466.0
32,4,8,40,432877.0,424065.0,440870.0
32,4,8,60,359015.0,342040.0,328928.0
32,4,8,80,289757.0,304460.0,309826.0
32,4,8,100,265238.0,256552.0,253309.0
32,8,2,0,955905.0,878766.0,878833.0
32,8,2,20,807799.0,746296.0,732785.0
32,8,2,40,752272.0,656569.0,667958.0
32,8,2,60,675007.0,612234.0,610087.0
32,8,2,80,650462.0,564801.0,565180.0
32,8,2,100,632514.0,527917.0,522564.0
32,8,4,0,1071700.0,1086780.0,1065190.0
32,8,4,20,910623.0,904044.0,909308.0
32,8,4,40,748793.0,742622.0,741787.0
32,8,4,60,638456.0,646919.0,644735.0
32,8,4,80,554111.0,560304.0,556189.0
32,8,4,100,507467.0,507710.0,510324.0
32,16,2,0,1248700.0,902855.0,912589.0
32,16,2,20,1098020.0,807794.0,811830.0
32,16,2,40,987615.0,717373.0,729194.0
32,16,2,60,890848.0,666326.0,693055.0
32,16,2,80,838126.0,645084.0,645968.0
32,16,2,100,742836.0,604680.0,603256.0
128,1,2,0,164064.0,163192.0,161121.0
128,1,2,20,87654.9,74606.3,72738.1
128,1,2,40,74375.7,61189.4,53361.6
128,1,2,60,83292.2,41477.7,74023.5
128,1,2,80,71449.5,36229.8,32464.5
128,1,2,100,57758.8,27507.2,33252.5
128,1,4,0,218753.0,221477.0,216358.0
128,1,4,20,79367.4,133344.0,130848.0
128,1,4,40,82525.2,96292.2,101264.0
128,1,4,60,82057.9,84229.1,62197.9
128,1,4,80,59633.2,53617.3,73493.1
128,1,4,100,62059.3,61377.2,60732.2
128,1,8,0,259285.0,256891.0,253273.0
128,1,8,20,146574.0,98316.5,141786.0
128,1,8,40,68941.2,102993.0,106018.0
128,1,8,60,75680.3,39540.9,84909.6
128,1,8,80,33539.2,46190.5,68480.4
128,1,8,100,56942.4,27631.6,38850.0
128,2,2,0,335513.0,279670.0,292259.0
128,2,2,20,179654.0,178914.0,170520.0
