partition_num,threads,zipf,rw,servers,cross,tput_1,tput_2,tput_3
16,2,0.0,0,2,0,92802.4,89590.6,84098.8
16,2,0.0,0,2,20,70146.3,70232.0,68750.0
16,2,0.0,0,2,40,74499.6,72053.7,62552.9
16,2,0.0,0,2,60,60575.4,59858.3,59792.8
16,2,0.0,0,2,80,52973.1,56650.1,54725.8
16,2,0.0,0,2,100,51904.0,52586.2,52733.4
16,2,0.0,0,4,0,109361.0,111124.0,108259.0
16,2,0.0,0,4,20,90618.3,94543.1,91273.1
16,2,0.0,0,4,40,85674.9,84826.5,84566.4
16,2,0.0,0,4,60,81016.6,80772.9,78794.9
16,2,0.0,0,4,80,69941.3,69778.3,69328.5
16,2,0.0,0,4,100,60978.9,61192.6,59776.0
16,2,0.0,0,8,0,106116.0,107715.0,107116.0
16,2,0.0,0,8,20,100948.0,99200.1,98336.2
16,2,0.0,0,8,40,89655.1,90461.5,89881.2
16,2,0.0,0,8,60,76084.4,76913.5,74853.4
16,2,0.0,0,8,80,62982.1,63156.5,62675.8
16,2,0.0,0,8,100,54018.1,54417.7,53881.7
16,2,0.0,20,2,0,106196.0,105892.0,105272.0
16,2,0.0,20,2,20,83708.6,85716.0,85051.6
16,2,0.0,20,2,40,88062.5,87676.2,85900.3
16,2,0.0,20,2,60,87439.6,84252.7,83102.3
16,2,0.0,20,2,80,75905.6,77259.5,75112.6
16,2,0.0,20,2,100,66540.2,65698.1,66192.1
16,2,0.0,20,4,0,135551.0,134429.0,131941.0
16,2,0.0,20,4,20,111598.0,113289.0,112776.0
16,2,0.0,20,4,40,111122.0,109679.0,110606.0
16,2,0.0,20,4,60,95465.0,96289.8,96394.6
16,2,0.0,20,4,80,82154.5,82535.4,82445.2
16,2,0.0,20,4,100,70508.2,71551.0,71089.6
16,2,0.0,20,8,0,125154.0,132271.0,130132.0
16,2,0.0,20,8,20,121552.0,122991.0,123723.0
16,2,0.0,20,8,40,112295.0,111305.0,111168.0
16,2,0.0,20,8,60,91209.7,89778.9,89806.9
16,2,0.0,20,8,80,75407.8,70408.4,72747.7
16,2,0.0,20,8,100,63262.4,64840.6,63768.3
16,2,0.0,60,2,0,187547.0,188411.0,188802.0
16,2,0.0,60,2,20,161117.0,161869.0,160991.0
16,2,0.0,60,2,40,146234.0,153700.0,146187.0
