partition_num,threads,zipf,rw,servers,cross,tput_1,tput_2,tput_3
16,2,0.0,60,2,60,143404.0,143773.0,143256.0
16,2,0.0,60,2,80,125340.0,131389.0,131326.0
16,2,0.0,60,2,100,113180.0,113161.0,112440.0
16,2,0.0,60,4,0,243572.0,240460.0,245265.0
16,2,0.0,60,4,20,205451.0,201181.0,199361.0
16,2,0.0,60,4,40,183959.0,185134.0,183810.0
16,2,0.0,60,4,60,160739.0,159732.0,157539.0
16,2,0.0,60,4,80,136162.0,135487.0,130869.0
16,2,0.0,60,4,100,121186.0,120443.0,117461.0
16,2,0.0,60,8,0,245265.0,245787.0,246810.0
16,2,0.0,60,8,20,219979.0,221344.0,218306.0
16,2,0.0,60,8,40,183174.0,185571.0,186257.0
16,2,0.0,60,8,60,148562.0,148768.0,149157.0
16,2,0.0,60,8,80,123269.0,122864.0,123234.0
16,2,0.0,60,8,100,102559.0,104310.0,105059.0
16,2,0.0,100,2,0,948037.0,968415.0,991441.0
16,2,0.0,100,2,20,711750.0,703073.0,699006.0
16,2,0.0,100,2,40,560075.0,561050.0,565179.0
16,2,0.0,100,2,60,459004.0,472686.0,466374.0
16,2,0.0,100,2,80,404983.0,406986.0,405190.0
16,2,0.0,100,2,100,361535.0,351556.0,359302.0
16,2,0.0,100,4,0,1895030.0,1889050.0,1889690.0
16,2,0.0,100,4,20,1011370.0,1004690.0,981506.0
16,2,0.0,100,4,40,660879.0,669666.0,669407.0
16,2,0.0,100,4,60,515032.0,514510.0,514488.0
16,2,0.0,100,4,80,423239.0,426158.0,420861.0
16,2,0.0,100,4,100,355926.0,355871.0,356791.0
16,2,0.0,100,8,0,3600700.0,3589330.0,3581940.0
16,2,0.0,100,8,20,1139260.0,1139730.0,1150000.0
16,2,0.0,100,8,40,694154.0,685625.0,708464.0
16,2,0.0,100,8,60,503715.0,508061.0,503817.0
16,2,0.0,100,8,80,396679.0,395309.0,399548.0
16,2,0.0,100,8,100,327689.0,330356.0,325669.0
16,2,0.4,0,2,0,86345.0,85963.2,86876.6
16,2,0.4,0,2,20,67179.1,67909.3,66833.4
16,2,0.4,0,2,40,59504.0,66945.8,66484.1
16,2,0.4,0,2,60,57888.2,59337.2,56963.4
16,2,0.4,0,2,80,51108.0,49715.4,50425.2
16,2,0.4,0,2,100,48443.7,49594.8,47896.8
16,2,0.4,0,4,0,102184.0,104008.0,103974.0
16,2,0.4,0,4,20,88052.1,91162.8,91482.3
16,2,0.4,0,4,40,82040.9,79700.4,82028.9
16,2,0.4,0,4,60,77658.7,77816.2,76276.2
16,2,0.4,0,4,80,66480.6,65767.3,66232.7
16,2,0.4,0,4,100,57865.3,57809.5,57645.5
16,2,0.4,0,8,0,105392.0,106075.0,105568.0
16,2,0.4,0,8,20,100323.0,99547.8,100892.0
16,2,0.4,0,8,40,85905.1,85378.8,86269.7
16,2,0.4,0,8,60,73339.9,73327.4,73358.2
16,2,0.4,0,8,80,60493.8,60471.1,60047.6
16,2,0.4,0,8,100,50489.8,50785.1,51316.2
16,2,0.4,20,2,0,100554.0,102700.0,101240.0
16,2,0.4,20,2,20,81770.7,82556.3,82107.7
16,2,0.4,20,2,40,84211.9,81504.0,80689.1
16,2,0.4,20,2,60,80045.1,82073.6,80925.1
16,2,0.4,20,2,80,73489.6,73580.5,74266.5
16,2,0.4,20,2,100,63637.4,62369.8,63095.9
16,2,0.4,20,4,0,132566.0,132827.0,130394.0
16,2,0.4,20,4,20,110638.0,110862.0,111790.0
16,2,0.4,20,4,40,101822.0,102523.0,103475.0
16,2,0.4,20,4,60,90350.4,91585.7,91817.5
16,2,0.4,20,4,80,78350.5,78986.3,78239.0
16,2,0.4,20,4,100,68284.9,67183.2,68189.0
16,2,0.4,20,8,0,130056.0,130207.0,130287.0
16,2,0.4,20,8,20,121925.0,122121.0,123045.0
16,2,0.4,20,8,40,106259.0,106557.0,103291.0
16,2,0.4,20,8,60,86657.0,85895.1,85525.0
16,2,0.4,20,8,80,69777.9,71419.8,70822.8
16,2,0.4,20,8,100,61009.1,60660.4,58661.8
16,2,0.4,60,2,0,175267.0,174565.0,172608.0
16,2,0.4,60,2,20,148222.0,154780.0,149636.0
16,2,0.4,60,2,40,129377.0,137388.0,131976.0
16,2,0.4,60,2,60,129477.0,126191.0,130879.0
16,2,0.4,60,2,80,121023.0,121583.0,118690.0
16,2,0.4,60,2,100,106528.0,104865.0,102563.0
16,2,0.4,60,4,0,235553.0,232721.0,234459.0
16,2,0.4,60,4,20,189911.0,191089.0,189408.0
16,2,0.4,60,4,40,169279.0,169799.0,170349.0
16,2,0.4,60,4,60,147406.0,147175.0,148829.0
16,2,0.4,60,4,80,124970.0,125736.0,123603.0
16,2,0.4,60,4,100,107224.0,107541.0,109101.0
16,2,0.4,60,8,0,240518.0,240256.0,239067.0
16,2,0.4,60,8,20,210936.0,210411.0,209780.0
16,2,0.4,60,8,40,170114.0,169551.0,170015.0
16,2,0.4,60,8,60,136815.0,135952.0,133388.0
16,2,0.4,60,8,80,111449.0,110532.0,111134.0
16,2,0.4,60,8,100,94627.5,94875.7,95409.6
16,2,0.4,100,2,0,735156.0,747952.0,739781.0
16,2,0.4,100,2,20,541248.0,536703.0,541766.0
16,2,0.4,100,2,40,440574.0,440332.0,437359.0
16,2,0.4,100,2,60,377343.0,369884.0,372455.0
16,2,0.4,100,2,80,322637.0,318581.0,320490.0
16,2,0.4,100,2,100,287852.0,285583.0,281562.0
16,2,0.4,100,4,0,1449380.0,1445390.0,1445540.0
16,2,0.4,100,4,20,755249.0,764722.0,761711.0
16,2,0.4,100,4,40,538105.0,526163.0,521861.0
16,2,0.4,100,4,60,409196.0,407936.0,403454.0
16,2,0.4,100,4,80,329552.0,330836.0,323847.0
16,2,0.4,100,4,100,284468.0,281520.0,283480.0
16,2,0.4,100,8,0,2646030.0,2630090.0,2647890.0
16,2,0.4,100,8,20,894715.0,891684.0,893308.0
16,2,0.4,100,8,40,544210.0,542688.0,537262.0
16,2,0.4,100,8,60,386398.0,387833.0,392974.0
16,2,0.4,100,8,80,306998.0,310470.0,308775.0
16,2,0.4,100,8,100,254375.0,254966.0,252731.0
16,2,0.8,0,2,0,92966.2,90140.7,90492.1
16,2,0.8,0,2,20,70227.9,70320.1,69739.4
16,2,0.8,0,2,40,69881.8,70409.3,68119.8
16,2,0.8,0,2,60,60639.7,59953.4,58658.0
16,2,0.8,0,2,80,53878.0,55638.7,53423.1
16,2,0.8,0,2,100,52522.4,52543.1,51647.6
16,2,0.8,0,4,0,104618.0,111351.0,113746.0
16,2,0.8,0,4,20,103543.0,107845.0,105442.0
16,2,0.8,0,4,40,86062.9,86839.3,85945.6
16,2,0.8,0,4,60,79382.9,77376.4,78714.1
16,2,0.8,0,4,80,67787.9,67885.5,67412.9
16,2,0.8,0,4,100,58636.4,58668.4,58189.4
16,2,0.8,0,8,0,111632.0,111286.0,110960.0
16,2,0.8,0,8,20,116352.0,117056.0,117676.0
16,2,0.8,0,8,40,89645.5,89845.4,88600.5
16,2,0.8,0,8,60,74054.4,73682.4,74463.6
16,2,0.8,0,8,80,60635.7,60602.3,60820.1
16,2,0.8,0,8,100,52375.5,51970.8,51928.8
16,2,0.8,20,2,0,111089.0,107250.0,106183.0
16,2,0.8,20,2,20,85612.3,85413.9,83549.3
16,2,0.8,20,2,40,85050.7,80749.4,82975.8
16,2,0.8,20,2,60,83576.4,80368.8,83634.1
16,2,0.8,20,2,80,73153.0,75061.9,75817.9
16,2,0.8,20,2,100,64752.2,64262.2,64268.0
16,2,0.8,20,4,0,139528.0,137015.0,138701.0
16,2,0.8,20,4,20,129664.0,129661.0,129830.0
16,2,0.8,20,4,40,110838.0,111926.0,112987.0
16,2,0.8,20,4,60,93924.2,94109.1,92513.1
16,2,0.8,20,4,80,78609.0,79607.0,79893.9
16,2,0.8,20,4,100,69292.8,68837.9,68253.7
16,2,0.8,20,8,0,128349.0,135912.0,135180.0
16,2,0.8,20,8,20,141207.0,141550.0,139218.0
16,2,0.8,20,8,40,109812.0,111172.0,106506.0
16,2,0.8,20,8,60,87583.8,87697.6,87397.8
16,2,0.8,20,8,80,71926.4,72492.9,71698.0
16,2,0.8,20,8,100,60980.1,62185.2,61203.1
16,2,0.8,60,2,0,178973.0,188317.0,187934.0
16,2,0.8,60,2,20,161627.0,159540.0,157089.0
16,2,0.8,60,2,40,139116.0,142097.0,139934.0
16,2,0.8,60,2,60,137272.0,134361.0,132987.0
16,2,0.8,60,2,80,124346.0,123376.0,124216.0
16,2,0.8,60,2,100,108990.0,106890.0,107088.0
16,2,0.8,60,4,0,245685.0,248653.0,248348.0
16,2,0.8,60,4,20,230130.0,229097.0,227830.0
16,2,0.8,60,4,40,179807.0,181079.0,179820.0
16,2,0.8,60,4,60,151393.0,151998.0,151886.0
16,2,0.8,60,4,80,127930.0,128303.0,128499.0
16,2,0.8,60,4,100,111188.0,110888.0,111334.0
16,2,0.8,60,8,0,252989.0,252033.0,253168.0
16,2,0.8,60,8,20,241647.0,240475.0,237655.0
16,2,0.8,60,8,40,176540.0,177509.0,178614.0
16,2,0.8,60,8,60,140068.0,140500.0,139963.0
16,2,0.8,60,8,80,116252.0,115071.0,115502.0
16,2,0.8,60,8,100,98233.5,96563.8,97033.5
16,2,0.8,100,2,0,846202.0,853506.0,849914.0
16,2,0.8,100,2,20,604356.0,601833.0,601207.0
16,2,0.8,100,2,40,481378.0,474087.0,482706.0
16,2,0.8,100,2,60,400401.0,398381.0,403680.0
16,2,0.8,100,2,80,355613.0,342874.0,348976.0
16,2,0.8,100,2,100,305181.0,306522.0,313016.0
16,2,0.8,100,4,0,1620100.0,1624790.0,1627900.0
16,2,0.8,100,4,20,839634.0,843225.0,852270.0
16,2,0.8,100,4,40,574704.0,583249.0,586317.0
16,2,0.8,100,4,60,442222.0,443339.0,440151.0
16,2,0.8,100,4,80,362336.0,360992.0,354212.0
16,2,0.8,100,4,100,305442.0,307179.0,307038.0
16,2,0.8,100,8,0,3007850.0,3005150.0,2989580.0
16,2,0.8,100,8,20,976551.0,973081.0,968562.0
16,2,0.8,100,8,40,582355.0,592045.0,578611.0
16,2,0.8,100,8,60,431245.0,417414.0,429843.0
16,2,0.8,100,8,80,333694.0,333136.0,332575.0
16,2,0.8,100,8,100,276735.0,276141.0,277752.0
16,2,0.99,0,2,0,93575.1,94424.6,97669.9
16,2,0.99,0,2,20,74992.9,73803.5,73457.4
16,2,0.99,0,2,40,69623.0,75678.7,71317.2
16,2,0.99,0,2,60,62941.2,64394.1,64202.3
16,2,0.99,0,2,80,60929.8,59242.3,60182.8
16,2,0.99,0,2,100,56123.2,55597.0,55133.0
16,2,0.99,0,4,0,109019.0,116129.0,116238.0
16,2,0.99,0,4,20,115446.0,116920.0,116106.0
16,2,0.99,0,4,40,90818.9,91268.2,90522.0
16,2,0.99,0,4,60,81286.1,80966.8,79262.2
16,2,0.99,0,4,80,68510.2,68829.2,68439.1
16,2,0.99,0,4,100,58697.2,58174.0,59248.4
16,2,0.99,0,8,0,118206.0,121874.0,119537.0
16,2,0.99,0,8,20,130700.0,129832.0,126762.0
16,2,0.99,0,8,40,93088.1,93520.7,93648.6
16,2,0.99,0,8,60,75442.4,74890.9,75938.8
16,2,0.99,0,8,80,61572.9,60930.6,61755.5
16,2,0.99,0,8,100,52099.2,51966.1,51625.7
16,2,0.99,20,2,0,108008.0,111080.0,109087.0
16,2,0.99,20,2,20,96229.2,91306.2,90374.2
16,2,0.99,20,2,40,84709.2,88737.0,85679.0
16,2,0.99,20,2,60,87824.4,85227.3,86129.1
16,2,0.99,20,2,80,77768.7,78121.5,78013.1
16,2,0.99,20,2,100,66589.4,64993.3,65362.0
16,2,0.99,20,4,0,142369.0,146244.0,147913.0
16,2,0.99,20,4,20,141904.0,142350.0,141576.0
16,2,0.99,20,4,40,118384.0,118529.0,118903.0
16,2,0.99,20,4,60,96706.9,96205.1,95531.8
16,2,0.99,20,4,80,81031.2,80608.8,81249.8
16,2,0.99,20,4,100,70706.8,69983.8,70541.6
16,2,0.99,20,8,0,145300.0,145425.0,145586.0
16,2,0.99,20,8,20,157768.0,158060.0,158756.0
16,2,0.99,20,8,40,116467.0,116218.0,117408.0
16,2,0.99,20,8,60,89834.5,89843.2,90818.5
16,2,0.99,20,8,80,72399.5,73561.6,73092.8
16,2,0.99,20,8,100,61788.1,61021.5,61566.9
16,2,0.99,60,2,0,199959.0,199495.0,189276.0
16,2,0.99,60,2,20,173744.0,172263.0,164953.0
16,2,0.99,60,2,40,149477.0,154391.0,148850.0
16,2,0.99,60,2,60,144109.0,144086.0,143520.0
16,2,0.99,60,2,80,132092.0,131820.0,130226.0
16,2,0.99,60,2,100,114079.0,112868.0,112075.0
16,2,0.99,60,4,0,263354.0,262702.0,264675.0
16,2,0.99,60,4,20,258924.0,260508.0,256914.0
16,2,0.99,60,4,40,194785.0,195598.0,195858.0
16,2,0.99,60,4,60,153922.0,161004.0,162310.0
16,2,0.99,60,4,80,135357.0,135298.0,134380.0
16,2,0.99,60,4,100,116687.0,116434.0,115996.0
16,2,0.99,60,8,0,271135.0,261557.0,268479.0
16,2,0.99,60,8,20,274106.0,274776.0,272567.0
16,2,0.99,60,8,40,193401.0,192202.0,193904.0
16,2,0.99,60,8,60,149947.0,148503.0,150179.0
16,2,0.99,60,8,80,120286.0,121360.0,121084.0
16,2,0.99,60,8,100,101963.0,102665.0,102703.0
16,2,0.99,100,2,0,1000860.0,994251.0,994501.0
16,2,0.99,100,2,20,716257.0,712241.0,720384.0
16,2,0.99,100,2,40,577002.0,575036.0,587156.0
16,2,0.99,100,2,60,484314.0,481100.0,488450.0
16,2,0.99,100,2,80,424822.0,424284.0,426703.0
16,2,0.99,100,2,100,374407.0,368875.0,373690.0
16,2,0.99,100,4,0,1873040.0,1875900.0,1871200.0
16,2,0.99,100,4,20,1016960.0,1012360.0,1009030.0
16,2,0.99,100,4,40,700522.0,699911.0,705971.0
16,2,0.99,100,4,60,536666.0,531370.0,536899.0
16,2,0.99,100,4,80,436650.0,436539.0,435044.0
16,2,0.99,100,4,100,365921.0,369052.0,367860.0
16,2,0.99,100,8,0,3473940.0,3455100.0,3496920.0
16,2,0.99,100,8,20,1137830.0,1164290.0,1138860.0
16,2,0.99,100,8,40,686771.0,701559.0,705419.0
16,2,0.99,100,8,60,507236.0,506096.0,512336.0
16,2,0.99,100,8,80,396502.0,398244.0,393898.0
16,2,0.99,100,8,100,327683.0,325732.0,323318.0
16,8,0.0,0,2,0,316695.0,334186.0,261538.0
16,8,0.0,0,2,20,254887.0,256462.0,241189.0
16,8,0.0,0,2,40,219340.0,245604.0,208021.0
16,8,0.0,0,2,60,190936.0,202866.0,186546.0
16,8,0.0,0,2,80,160655.0,184039.0,178357.0
16,8,0.0,0,2,100,151340.0,151422.0,149040.0
16,8,0.0,20,2,0,389437.0,360008.0,380083.0
16,8,0.0,20,2,20,287570.0,305069.0,286963.0
16,8,0.0,20,2,40,267787.0,294643.0,260693.0
16,8,0.0,20,2,60,238130.0,268442.0,255600.0
16,8,0.0,20,2,80,253816.0,252731.0,246771.0
16,8,0.0,20,2,100,238744.0,241764.0,240164.0
16,8,0.0,60,2,0,589715.0,614288.0,643097.0
16,8,0.0,60,2,20,479476.0,534775.0,527108.0
16,8,0.0,60,2,40,491345.0,495360.0,488032.0
16,8,0.0,60,2,60,466381.0,470119.0,473307.0
16,8,0.0,60,2,80,463274.0,452349.0,452607.0
16,8,0.0,60,2,100,407622.0,410059.0,413636.0
16,8,0.0,100,2,0,3024820.0,3058700.0,3002350.0
16,8,0.0,100,2,20,2231960.0,2225040.0,2186840.0
16,8,0.0,100,2,40,1782030.0,1771800.0,1749370.0
16,8,0.0,100,2,60,1484960.0,1472550.0,1484320.0
16,8,0.0,100,2,80,1239740.0,1248000.0,1218790.0
16,8,0.0,100,2,100,1108650.0,1091460.0,1104390.0
16,8,0.4,0,2,0,277987.0,302242.0,231629.0
16,8,0.4,0,2,20,232908.0,247923.0,204556.0
16,8,0.4,0,2,40,244918.0,240077.0,194588.0
16,8,0.4,0,2,60,177798.0,204718.0,193500.0
16,8,0.4,0,2,80,172471.0,177241.0,173276.0
16,8,0.4,0,2,100,152299.0,147989.0,145629.0
16,8,0.4,20,2,0,354997.0,333659.0,306800.0
16,8,0.4,20,2,20,259046.0,295113.0,282952.0
16,8,0.4,20,2,40,268439.0,284873.0,249173.0
16,8,0.4,20,2,60,237652.0,254130.0,236113.0
16,8,0.4,20,2,80,240435.0,244078.0,236068.0
16,8,0.4,20,2,100,223471.0,231856.0,226116.0
16,8,0.4,60,2,0,540920.0,583442.0,544012.0
16,8,0.4,60,2,20,452401.0,500062.0,501071.0
16,8,0.4,60,2,40,447761.0,449055.0,456158.0
16,8,0.4,60,2,60,439468.0,440071.0,449843.0
16,8,0.4,60,2,80,422941.0,409296.0,414367.0
16,8,0.4,60,2,100,389704.0,380674.0,377927.0
16,8,0.4,100,2,0,2204710.0,2366680.0,2392130.0
16,8,0.4,100,2,20,1781810.0,1757200.0,1772620.0
16,8,0.4,100,2,40,1432350.0,1419760.0,1422380.0
16,8,0.4,100,2,60,1189440.0,1221120.0,1193170.0
16,8,0.4,100,2,80,1051690.0,1059760.0,1044190.0
16,8,0.4,100,2,100,938123.0,877662.0,924669.0
16,8,0.8,0,2,0,327219.0,285837.0,248340.0
16,8,0.8,0,2,20,225216.0,256321.0,254943.0
16,8,0.8,0,2,40,221020.0,239894.0,211688.0
16,8,0.8,0,2,60,206394.0,220715.0,199052.0
16,8,0.8,0,2,80,180316.0,180882.0,155646.0
16,8,0.8,0,2,100,152948.0,150054.0,146922.0
16,8,0.8,20,2,0,319867.0,365505.0,357305.0
16,8,0.8,20,2,20,306956.0,304572.0,298450.0
16,8,0.8,20,2,40,260426.0,291756.0,251505.0
16,8,0.8,20,2,60,290192.0,291366.0,270104.0
16,8,0.8,20,2,80,245710.0,258784.0,256775.0
16,8,0.8,20,2,100,234730.0,231872.0,224391.0
16,8,0.8,60,2,0,618165.0,603809.0,601499.0
16,8,0.8,60,2,20,526898.0,525125.0,515596.0
16,8,0.8,60,2,40,468001.0,473654.0,444776.0
16,8,0.8,60,2,60,452100.0,448439.0,448303.0
16,8,0.8,60,2,80,433459.0,420287.0,424718.0
16,8,0.8,60,2,100,403590.0,397540.0,389173.0
16,8,0.8,100,2,0,2674440.0,2706670.0,2699420.0
16,8,0.8,100,2,20,1943610.0,2006910.0,1975330.0
16,8,0.8,100,2,40,1598510.0,1619400.0,1586670.0
16,8,0.8,100,2,60,1351780.0,1338970.0,1362040.0
16,8,0.8,100,2,80,1145930.0,1138480.0,1128790.0
16,8,0.8,100,2,100,1007800.0,1017110.0,1017620.0
16,8,0.99,0,2,0,342391.0,327037.0,295670.0
16,8,0.99,0,2,20,268954.0,266402.0,263651.0
16,8,0.99,0,2,40,224986.0,236424.0,216928.0
16,8,0.99,0,2,60,208490.0,208598.0,184956.0
16,8,0.99,0,2,80,168112.0,172306.0,169100.0
16,8,0.99,0,2,100,142603.0,146009.0,144578.0
16,8,0.99,20,2,0,364898.0,398701.0,388689.0
16,8,0.99,20,2,20,316173.0,318994.0,309726.0
16,8,0.99,20,2,40,275204.0,277551.0,275064.0
16,8,0.99,20,2,60,267938.0,272624.0,275682.0
16,8,0.99,20,2,80,224413.0,231740.0,236013.0
16,8,0.99,20,2,100,215854.0,214876.0,213848.0
16,8,0.99,60,2,0,591519.0,663110.0,657348.0
16,8,0.99,60,2,20,557588.0,563080.0,523707.0
16,8,0.99,60,2,40,515753.0,511477.0,493845.0
16,8,0.99,60,2,60,465124.0,451440.0,464118.0
16,8,0.99,60,2,80,429020.0,420670.0,424193.0
16,8,0.99,60,2,100,392775.0,387442.0,390753.0
16,8,0.99,100,2,0,3166600.0,3385590.0,3219560.0
16,8,0.99,100,2,20,2410130.0,2569080.0,2358410.0
16,8,0.99,100,2,40,1967000.0,2105300.0,1942490.0
16,8,0.99,100,2,60,1617480.0,1714570.0,1604170.0
16,8,0.99,100,2,80,1399650.0,1477270.0,1413360.0
16,8,0.99,100,2,100,1246340.0,1311140.0,1238570.0
32,2,0.0,0,2,0,89712.9,87579.9,89935.0
32,2,0.0,0,2,20,66862.8,67480.7,68571.7
32,2,0.0,0,2,40,72679.7,67920.8,71211.7
32,2,0.0,0,2,60,58854.1,57444.2,58508.1
32,2,0.0,0,2,80,46939.8,47051.9,51911.8
32,2,0.0,0,2,100,49173.8,49525.8,48837.5
32,2,0.0,0,4,0,104519.0,108692.0,105110.0
32,2,0.0,0,4,20,90114.4,87673.3,88643.0
32,2,0.0,0,4,40,77907.2,76624.6,77852.7
32,2,0.0,0,4,60,75137.0,72589.4,76399.9
32,2,0.0,0,4,80,66960.7,68033.9,67650.7
32,2,0.0,0,4,100,58387.6,55966.5,58066.8
32,2,0.0,0,8,0,102896.0,108274.0,108529.0
32,2,0.0,0,8,20,91007.9,92082.0,92903.7
32,2,0.0,0,8,40,80352.8,79398.2,81067.4
32,2,0.0,0,8,60,71111.3,71713.1,71493.5
32,2,0.0,0,8,80,61052.5,59988.8,60093.0
32,2,0.0,0,8,100,53283.4,53028.9,52808.1
32,2,0.0,20,2,0,102636.0,104249.0,108326.0
32,2,0.0,20,2,20,83516.7,80106.8,81354.1
32,2,0.0,20,2,40,85852.4,82979.2,85972.1
32,2,0.0,20,2,60,81918.1,76873.2,80707.4
32,2,0.0,20,2,80,73252.5,73318.8,72986.7
32,2,0.0,20,2,100,62345.9,62803.5,63600.7
32,2,0.0,20,4,0,133250.0,134368.0,135189.0
32,2,0.0,20,4,20,109151.0,108600.0,109158.0
32,2,0.0,20,4,40,93459.7,95315.8,96027.6
32,2,0.0,20,4,60,91808.2,92809.3,90687.0
32,2,0.0,20,4,80,79485.8,80161.9,79316.7
32,2,0.0,20,4,100,68944.6,70444.8,68423.0
32,2,0.0,20,8,0,132254.0,132991.0,130564.0
32,2,0.0,20,8,20,110202.0,110000.0,109621.0
32,2,0.0,20,8,40,101247.0,101649.0,98785.6
32,2,0.0,20,8,60,85636.8,85890.0,85524.6
32,2,0.0,20,8,80,70645.5,72522.8,72286.4
32,2,0.0,20,8,100,62086.3,62735.5,62346.9
32,2,0.0,60,2,0,191251.0,188046.0,190201.0
32,2,0.0,60,2,20,161364.0,155915.0,160336.0
32,2,0.0,60,2,40,142408.0,140932.0,140738.0
32,2,0.0,60,2,60,139732.0,137167.0,137293.0
32,2,0.0,60,2,80,127905.0,129660.0,127367.0
32,2,0.0,60,2,100,110546.0,110622.0,108620.0
32,2,0.0,60,4,0,245533.0,239964.0,240872.0
32,2,0.0,60,4,20,193012.0,185572.0,189984.0
32,2,0.0,60,4,40,169510.0,168766.0,166042.0
32,2,0.0,60,4,60,152203.0,150961.0,151578.0
32,2,0.0,60,4,80,130362.0,130877.0,130908.0
32,2,0.0,60,4,100,111800.0,112637.0,112537.0
32,2,0.0,60,8,0,248650.0,246997.0,249506.0
32,2,0.0,60,8,20,199894.0,197759.0,198098.0
32,2,0.0,60,8,40,167386.0,168648.0,169017.0
32,2,0.0,60,8,60,138250.0,139791.0,140250.0
32,2,0.0,60,8,80,114925.0,118290.0,118227.0
32,2,0.0,60,8,100,101268.0,99807.0,97832.5
32,2,0.0,100,2,0,974184.0,968909.0,962251.0
32,2,0.0,100,2,20,652670.0,655702.0,651239.0
32,2,0.0,100,2,40,513915.0,524472.0,520440.0
32,2,0.0,100,2,60,434497.0,443730.0,428318.0
32,2,0.0,100,2,80,375563.0,372097.0,368853.0
32,2,0.0,100,2,100,330746.0,337652.0,329430.0
32,2,0.0,100,4,0,1891250.0,1898580.0,1883860.0
32,2,0.0,100,4,20,937620.0,929592.0,896975.0
32,2,0.0,100,4,40,620243.0,634952.0,640304.0
32,2,0.0,100,4,60,485249.0,490313.0,476786.0
32,2,0.0,100,4,80,378506.0,390354.0,382105.0
32,2,0.0,100,4,100,328718.0,333975.0,333289.0
32,2,0.0,100,8,0,3563280.0,3558920.0,3582580.0
32,2,0.0,100,8,20,1062440.0,1075490.0,1074570.0
32,2,0.0,100,8,40,639859.0,662494.0,641531.0
32,2,0.0,100,8,60,464648.0,470183.0,460358.0
32,2,0.0,100,8,80,376601.0,374404.0,358891.0
32,2,0.0,100,8,100,299936.0,302797.0,302342.0
32,2,0.4,0,2,0,87147.8,88250.2,89672.3
32,2,0.4,0,2,20,66426.9,65683.0,66640.0
32,2,0.4,0,2,40,70096.5,68677.5,69226.1
32,2,0.4,0,2,60,56829.1,51158.6,56146.7
32,2,0.4,0,2,80,47792.7,47903.5,48439.2
32,2,0.4,0,2,100,45053.1,45243.9,43276.4
32,2,0.4,0,4,0,101391.0,108088.0,104963.0
32,2,0.4,0,4,20,85260.0,85439.4,87085.3
32,2,0.4,0,4,40,75026.2,74906.8,75402.1
32,2,0.4,0,4,60,68013.7,69820.9,71138.9
32,2,0.4,0,4,80,64057.4,64912.7,64937.2
32,2,0.4,0,4,100,57372.4,56932.6,56438.5
32,2,0.4,0,8,0,104557.0,104825.0,106480.0
32,2,0.4,0,8,20,90208.1,90150.4,90315.4
32,2,0.4,0,8,40,78966.4,78637.3,78753.5
32,2,0.4,0,8,60,68147.9,66509.7,67964.0
32,2,0.4,0,8,80,58676.1,57686.6,58692.0
32,2,0.4,0,8,100,49203.2,50346.3,50553.5
32,2,0.4,20,2,0,100987.0,104940.0,103832.0
32,2,0.4,20,2,20,80265.4,80652.8,78835.0
