num_keys,value_size,put_percent,zipf,tput_1,tput_2,tput_3
128,8,0,0.0,21317390.009967,21364861.564006,21355751.951292
128,8,0,0.4,21260251.053238,21223504.667486,21317841.147255
128,8,0,0.8,21338735.697906,21308790.638623003,21293539.97002
128,8,0,0.99,21268958.995350003,21340545.12494,21331813.063461
128,8,20,0.0,20627301.623402,20812061.26375,20775926.321475
128,8,20,0.4,19484192.586089,20738797.441496,20654795.689616
128,8,20,0.8,20816750.709358003,20761977.519634,20753049.430442
128,8,20,0.99,20749881.415771,20728410.067962,20778343.459167
128,8,40,0.0,20751418.299911,20676594.618343,20686221.293798
128,8,40,0.4,20751586.323938,20743703.374675,20733135.300865
128,8,40,0.8,20792351.244674,20769083.873053,20786137.383284003
128,8,40,0.99,20730449.189937003,20722496.444973003,20694495.002984
128,8,60,0.0,21144695.855515,21136704.388555,21138160.737201
128,8,60,0.4,21136654.089156,21182504.816257,21154624.430688
128,8,60,0.8,21098371.978105,21076619.683231,21161784.479639
128,8,60,0.99,20976792.432431,20893342.617271,21122921.982205003
128,8,80,0.0,21858737.486002,21833181.441216,21877987.727860004
128,8,80,0.4,20616462.512585003,21789547.831092,21844595.696732
128,8,80,0.8,21835435.619412,21869393.780924,21884755.282285
128,8,80,0.99,21851462.158173,21905169.049063,21829535.535315
128,8,100,0.0,19909401.315738,22537145.200908,22607250.558787
128,8,100,0.4,21367878.501573,22611803.427573003,22597742.5344
128,8,100,0.8,22615397.561907,22531671.975787,22635312.622422
128,8,100,0.99,22591566.211994004,22497844.206932,22615266.48549
128,32,0,0.0,18871919.557727,18800265.338137,18696869.873078
128,32,0,0.4,18771936.703599,18813260.863465,18833950.464998
128,32,0,0.8,18862735.468491,18844952.886346,18868206.026308
128,32,0,0.99,17137424.677173,18845401.427134,18838691.935526
128,32,20,0.0,17678548.314552,18754307.457805,18833082.019655
128,32,20,0.4,18747451.458627,18774261.392477,18819501.628911
128,32,20,0.8,18772409.897289,18785450.934964,18816941.742498
128,32,20,0.99,18778207.360473,18742531.64853,18786039.19359
128,32,40,0.0,18997037.807365,18995238.391995,19004486.517284
128,32,40,0.4,19013054.263559,18988377.628395,19036176.252348
128,32,40,0.8,18953684.378602,18953546.708658,18800758.131083
128,32,40,0.99,18970305.914947,18966956.333807003,18938026.046739
128,32,60,0.0,19583755.695994,19604808.060618,19601877.919713
128,32,60,0.4,19530942.900086,19574776.857199,19601139.207879
128,32,60,0.8,19522164.601431,19492030.433271,19553616.338969
128,32,60,0.99,19590307.689449,19520860.885654,19576765.343589
128,32,80,0.0,20566212.465552,20543894.584571,20613981.204788
128,32,80,0.4,20557922.400127,20574007.758676,20439374.436577
128,32,80,0.8,20503068.569075003,20520858.101135,20530475.783671
128,32,80,0.99,20604372.240967,19399997.364222,20551747.928789
128,32,100,0.0,21654257.424104,21599403.712685,21528109.489798
128,32,100,0.4,21605244.876571,21617089.486227,21561008.846566
128,32,100,0.8,21571677.88611,21638867.88847,21509390.470823
128,32,100,0.99,21575681.642753,21601572.879352003,21596827.058721
128,128,0,0.0,13157878.604482,13151565.567756,13145960.557766
128,128,0,0.4,13158087.127594,13144287.737480002,13153493.864067
128,128,0,0.8,13153441.115486,13149840.965758,13142625.414056
128,128,0,0.99,13142240.108521,13152928.630294,13152692.163595
128,128,20,0.0,14456751.43615,14451659.762688998,14449365.421842
128,128,20,0.4,14451539.860390002,14448535.954994,14452326.602928
128,128,20,0.8,14462556.138515,14457142.294989,14448338.018358
128,128,20,0.99,14458976.172985,14452271.676271,14458338.825939998
128,128,40,0.0,15552153.52818,15604651.34641,15578183.885295998
128,128,40,0.4,15588557.972907,15581698.768215,15611026.161557
128,128,40,0.8,15558990.65095,15604267.935589,15559533.116470002
128,128,40,0.99,15563741.162293002,15600990.249351,15601716.24215
128,128,60,0.0,16128572.166671,16130974.192056,16097594.173573
128,128,60,0.4,16133890.842222,16142301.529173998,16136951.783179
128,128,60,0.8,16146453.048175,16083164.351230998,16137352.987677
128,128,60,0.99,16085193.239538,16054402.366253,16138585.853673998
128,128,80,0.0,16853441.254684,17014318.668749,17009743.822834
128,128,80,0.4,17015255.652052,17033716.402082,17031452.929546
128,128,80,0.8,17028398.172549,17021175.71181,17031871.912663
128,128,80,0.99,16960719.184357002,17018043.222275,17010049.48635
128,128,100,0.0,18221865.410042,18233294.619387,18195310.30838
128,128,100,0.4,18255409.36046,17623365.636402998,18260736.500521
128,128,100,0.8,18255664.292495,18245050.087051,18237023.069345
128,128,100,0.99,18240774.477252,18267685.604438,18252033.661131
128,512,0,0.0,7896812.280582,6233454.327695999,6224819.953961
128,512,0,0.4,7207416.861839999,6233773.345573001,6232666.475414
128,512,0,0.8,6232412.571565,6226119.453637,6232162.529075
128,512,0,0.99,6230437.449127,6224256.915834,6236232.266538
128,512,20,0.0,8343199.940103,7007247.691945,7007100.733118
128,512,20,0.4,8490315.11046,6986031.769283,6997909.974509001
128,512,20,0.8,6992418.273918,7000213.643763,6985598.234334
128,512,20,0.99,7003327.289171001,6996476.214257,6994724.796936
128,512,40,0.0,11053976.86573,7999607.185196,7985447.722861
128,512,40,0.4,11003821.65789,8039019.196776,8009723.028905999
128,512,40,0.8,8001586.475407,7989235.028797999,7999820.950854
128,512,40,0.99,8072915.318702999,8032990.666889001,7996330.674573
128,512,60,0.0,13197118.863031002,9281410.719269,9267097.267102
128,512,60,0.4,13180363.169239,9260285.900189,9231725.588247
128,512,60,0.8,9306226.248357,9271848.509457,9227195.557277
128,512,60,0.99,9255813.932976,9313360.869179,9271613.908159
128,512,80,0.0,10837436.875884,9818619.161398,9769927.688133
128,512,80,0.4,10865212.034556,9836294.643936,9814639.620447
128,512,80,0.8,9808197.46072,9813969.915076,9815023.792695
128,512,80,0.99,9813804.837867,9810763.188449,9800927.113767
128,512,100,0.0,9566269.96591,9170129.129955,9170408.110361
128,512,100,0.4,9562842.55558,9162324.989664,9164694.945364
128,512,100,0.8,9161787.124361,9164934.758993002,9157295.643405
128,512,100,0.99,9165955.326411,9151284.235156,9174539.169979
128,1024,0,0.0,4647108.955484,4151654.363572,4150606.882859
128,1024,0,0.4,4639876.821624001,4147469.014804,4146733.364603
128,1024,0,0.8,4149642.097165,4148630.656246,4151816.280982
128,1024,0,0.99,4148085.70503,4150396.350206,4146240.970551
128,1024,20,0.0,5405304.389847,4780060.777229,4771806.80194
128,1024,20,0.4,5403970.097915,4778284.388843,4780706.830685
128,1024,20,0.8,4777578.790348999,4771011.401828,4780498.944494001
128,1024,20,0.99,4776118.950308,4775136.265472,4774419.5108940005
128,1024,40,0.0,6515990.123848,5642457.657351,5644194.387828
128,1024,40,0.4,5643459.253153,5645155.08194,5635578.479264
128,1024,40,0.8,5645774.101389,5645495.127738,5643480.509869
128,1024,40,0.99,5659146.624884999,5645627.406617001,5642425.468318
128,1024,60,0.0,8729995.108984,6962019.032077,6967655.964842001
128,1024,60,0.4,6952651.0210690005,6971788.641262,6972552.533597
128,1024,60,0.8,6968411.87079,6967848.982915999,6958170.648697
128,1024,60,0.99,6953935.057892,6962524.334541,6959639.656093
128,1024,80,0.0,7124251.868245,7117639.763662001,7119217.008502999
128,1024,80,0.4,7117869.720171,7119793.729795,7120013.888664
128,1024,80,0.8,7119720.53414,7112563.951510001,7117117.587976
128,1024,80,0.99,7121967.205759,7117906.782622,7116632.479332
128,1024,100,0.0,5918734.569207,5931588.808914,5934784.629631
128,1024,100,0.4,5933254.081610001,5936730.036982,5933874.969343
128,1024,100,0.8,5934978.849591,5935512.1745070005,5933342.611237
128,1024,100,0.99,5934991.176465,5936427.893305,5934229.056624001
512,8,0,0.0,21025060.218296,21040091.339108,21066382.804608
512,8,0,0.4,20747758.727681,21022211.540872,21046006.429240003
512,8,0,0.8,21003837.274197,21065854.303879,21021102.544091
512,8,0,0.99,21057169.569886,21035135.021785,21051655.470866
512,8,20,0.0,21178638.304929,20119708.774964,21238448.163871
