alg,WH,Distributed,threads,tput_1,tput_2,tput_3
Aria,1024,70,1,4968.2,4973.4,4974.9
Aria,1024,80,1,4936.3,4930.9,4976.0
Aria,1024,90,1,4966.2,4927.3,4921.3
Aria,1024,100,1,4937.7,4936.4,4978.4
Aria,1,0,2,121.8,122.9,120.6
Aria,1,10,2,123.0,121.1,121.1
Aria,1,20,2,117.4,123.1,119.2
Aria,1,30,2,126.1,123.3,120.8
Aria,1,40,2,120.8,121.4,124.8
Aria,1,50,2,117.6,121.4,124.1
Aria,1,60,2,122.5,120.2,120.7
Aria,1,70,2,121.3,119.4,125.1
Aria,1,80,2,121.3,123.6,120.6
Aria,1,90,2,122.3,119.0,119.7
Aria,1,100,2,119.8,122.4,114.2
Aria,2,0,2,243.4,240.7,245.2
Aria,2,10,2,238.3,238.9,245.7
Aria,2,20,2,245.8,240.1,239.4
Aria,2,30,2,242.8,241.4,236.5
Aria,2,40,2,241.6,238.3,241.7
Aria,2,50,2,244.9,243.9,239.9
Aria,2,60,2,237.1,240.5,241.4
Aria,2,70,2,245.6,239.5,236.6
Aria,2,80,2,243.4,235.5,235.9
Aria,2,90,2,237.5,240.2,245.5
Aria,2,100,2,236.9,243.8,239.2
Aria,4,0,2,486.2,472.8,473.8
Aria,4,10,2,483.7,483.0,485.1
Aria,4,20,2,481.6,484.2,487.5
Aria,4,30,2,492.0,478.7,481.8
Aria,4,40,2,481.6,481.8,472.4
Aria,4,50,2,475.8,477.7,480.4
Aria,4,60,2,482.9,482.8,491.9
Aria,4,70,2,479.4,487.2,481.7
Aria,4,80,2,479.7,479.4,484.4
Aria,4,90,2,473.8,485.9,483.8
Aria,4,100,2,479.2,484.3,481.9
Aria,8,0,2,950.9,955.1,960.6
Aria,8,10,2,950.7,955.9,965.5
Aria,8,20,2,963.9,962.6,940.9
Aria,8,30,2,958.6,959.2,965.6
Aria,8,40,2,951.1,965.7,960.1
Aria,8,50,2,958.1,958.6,954.3
Aria,8,60,2,966.2,956.1,953.9
Aria,8,70,2,954.3,950.8,960.6
Aria,8,80,2,974.5,961.2,967.7
Aria,8,90,2,965.8,951.9,962.6
Aria,8,100,2,957.1,949.2,956.2
Aria,16,0,2,1874.3,1858.1,1854.0
Aria,16,10,2,1870.3,1840.3,1864.2
Aria,16,20,2,1842.4,1842.1,1839.4
Aria,16,30,2,1834.9,1842.0,1857.2
Aria,16,40,2,1862.8,1818.4,1854.5
Aria,16,50,2,1861.0,1857.8,1857.4
Aria,16,60,2,1875.6,1827.8,1859.9
Aria,16,70,2,1853.2,1851.4,1838.8
Aria,16,80,2,1849.9,1830.7,1857.9
Aria,16,90,2,1874.0,1837.8,1857.9
Aria,16,100,2,1849.0,1852.2,1844.3
Aria,32,0,2,3195.7,3228.8,3205.3
Aria,32,10,2,3186.4,3187.7,3190.5
Aria,32,20,2,3208.2,3170.2,3181.9
Aria,32,30,2,3213.3,3205.1,3209.1
Aria,32,40,2,3220.7,3178.4,3197.0
Aria,32,50,2,3219.6,3210.6,3197.9
Aria,32,60,2,3178.9,3206.9,3184.5
Aria,32,70,2,3213.1,3184.9,3177.5
Aria,32,80,2,3200.4,3206.7,3161.8
Aria,32,90,2,3177.3,3165.5,3201.0
Aria,32,100,2,3175.7,3169.9,3222.2
Aria,64,0,2,4784.4,4703.8,4750.7
Aria,64,10,2,4795.9,4746.1,4813.0
Aria,64,20,2,4784.9,4825.3,4778.5
Aria,64,30,2,4793.8,4764.0,4812.4
Aria,64,40,2,4793.1,4753.7,4814.4
Aria,64,50,2,4753.5,4796.1,4802.5
Aria,64,60,2,4801.3,4743.6,4792.6
Aria,64,70,2,4821.8,4785.3,4822.4
Aria,64,80,2,4777.3,4868.4,4778.1
Aria,64,90,2,4755.3,4792.1,4796.1
Aria,64,100,2,4797.3,4757.3,4798.0
Aria,128,0,2,6513.8,6416.2,6426.2
Aria,128,10,2,6479.7,6453.2,6466.4
Aria,128,20,2,6442.5,6498.9,6442.7
Aria,128,30,2,6469.8,6478.9,6530.6
Aria,128,40,2,6513.6,6416.5,6478.3
Aria,128,50,2,6491.1,6500.8,6441.4
Aria,128,60,2,6430.3,6448.9,6495.5
Aria,128,70,2,6492.0,6501.0,6421.5
Aria,128,80,2,6382.9,6423.4,6440.3
Aria,128,90,2,6520.9,6417.4,6479.4
Aria,128,100,2,6454.7,6438.2,6417.5
Aria,256,0,2,7992.6,7956.9,8002.8
Aria,256,10,2,7953.7,7947.8,7886.0
Aria,256,20,2,7900.3,7995.3,7926.7
Aria,256,30,2,7937.1,7901.4,7940.3
Aria,256,40,2,7955.8,7889.3,7944.4
Aria,256,50,2,7969.3,7943.6,7979.4
Aria,256,60,2,7955.2,7939.4,7943.2
Aria,256,70,2,7947.5,7943.8,7922.9
Aria,256,80,2,7909.2,7920.5,7985.8
Aria,256,90,2,7945.9,7945.2,8023.6
Aria,256,100,2,7906.2,7901.6,7957.3
Aria,512,0,2,9009.3,9014.3,9066.0
Aria,512,10,2,9006.7,8998.0,8947.1
Aria,512,20,2,9027.7,9006.4,9034.3
Aria,512,30,2,9049.1,9048.7,9046.7
Aria,512,40,2,8995.3,9002.7,8948.3
Aria,512,50,2,8917.2,9052.8,8992.9
Aria,512,60,2,9006.7,8997.1,8896.9
Aria,512,70,2,8954.9,9049.5,9012.4
Aria,512,80,2,8983.4,8986.1,8997.1
Aria,512,90,2,9004.6,8985.7,9006.6
Aria,512,100,2,8945.3,9049.5,8937.9
Aria,1024,0,2,9620.4,9666.9,9721.0
Aria,1024,10,2,9656.6,9575.5,9672.6
Aria,1024,20,2,9617.6,9606.6,9636.3
Aria,1024,30,2,9632.0,9672.6,9615.4
Aria,1024,40,2,9749.7,9623.3,9679.4
Aria,1024,50,2,9677.5,9568.3,9579.2
Aria,1024,60,2,9672.5,9682.6,9622.8
Aria,1024,70,2,9617.4,9670.5,9679.9
Aria,1024,80,2,9623.6,9664.3,9640.1
Aria,1024,90,2,9581.7,9577.1,9616.7
Aria,1024,100,2,9567.8,9621.5,9655.9
Aria,1,0,4,240.4,229.5,228.4
Aria,1,10,4,231.3,230.2,234.8
Aria,1,20,4,232.3,241.5,239.1
Aria,1,30,4,235.6,233.7,235.5
Aria,1,40,4,237.7,231.8,230.0
Aria,1,50,4,231.2,238.3,234.1
Aria,1,60,4,238.8,237.1,237.9
Aria,1,70,4,229.0,229.4,233.5
Aria,1,80,4,236.8,234.9,233.4
Aria,1,90,4,234.4,233.5,234.1
Aria,1,100,4,234.8,233.4,232.3
Aria,2,0,4,466.4,464.8,462.0
Aria,2,10,4,465.5,462.6,471.6
Aria,2,20,4,461.1,466.7,468.0
Aria,2,30,4,461.7,468.5,466.2
Aria,2,40,4,463.6,461.3,462.4
Aria,2,50,4,465.3,466.3,461.7
Aria,2,60,4,468.5,467.8,463.2
Aria,2,70,4,459.3,466.6,460.0
Aria,2,80,4,465.8,471.3,476.7
Aria,2,90,4,468.6,466.5,464.0
Aria,2,100,4,458.5,462.6,466.0
Aria,4,0,4,929.3,918.7,935.4
Aria,4,10,4,938.5,926.6,944.4
Aria,4,20,4,919.3,924.2,920.8
Aria,4,30,4,911.2,926.5,931.5
Aria,4,40,4,926.8,930.4,922.1
Aria,4,50,4,932.6,922.3,933.0
Aria,4,60,4,934.2,918.8,924.0
Aria,4,70,4,933.6,928.1,922.6
Aria,4,80,4,939.5,917.5,918.8
Aria,4,90,4,926.9,930.6,929.5
Aria,4,100,4,922.9,923.3,925.3
Aria,8,0,4,1838.6,1847.1,1861.9
Aria,8,10,4,1825.4,1851.9,1844.3
Aria,8,20,4,1859.5,1873.6,1849.7
Aria,8,30,4,1845.5,1855.7,1850.7
Aria,8,40,4,1841.2,1835.0,1831.4
Aria,8,50,4,1850.8,1847.1,1842.8
Aria,8,60,4,1844.4,1840.2,1833.4
Aria,8,70,4,1840.5,1849.8,1855.3
Aria,8,80,4,1839.2,1843.7,1833.8
Aria,8,90,4,1850.0,1837.1,1838.8
Aria,8,100,4,1837.5,1837.0,1854.7
Aria,16,0,4,3531.0,3557.4,3575.8
Aria,16,10,4,3558.3,3552.3,3564.4
Aria,16,20,4,3530.8,3552.4,3547.0
Aria,16,30,4,3582.3,3546.5,3570.1
Aria,16,40,4,3559.7,3575.6,3562.0
Aria,16,50,4,3553.1,3566.8,3546.3
Aria,16,60,4,3584.3,3585.1,3541.7
Aria,16,70,4,3530.4,3551.5,3571.6
Aria,16,80,4,3575.8,3581.2,3546.7
Aria,16,90,4,3576.2,3576.7,3583.3
Aria,16,100,4,3559.5,3555.0,3551.1
Aria,32,0,4,6133.0,6135.3,6148.5
Aria,32,10,4,6098.6,6138.1,6174.3
Aria,32,20,4,6142.7,6194.0,6151.7
Aria,32,30,4,6106.4,6154.1,6134.1
Aria,32,40,4,6089.1,6154.1,6167.6
Aria,32,50,4,6150.8,6180.6,6179.6
Aria,32,60,4,6141.9,6149.8,6197.0
Aria,32,70,4,6160.7,6137.6,6158.4
Aria,32,80,4,6125.6,6115.1,6152.2
Aria,32,90,4,6096.0,6128.1,6201.2
Aria,32,100,4,6142.4,6124.1,6122.6
Aria,64,0,4,9261.6,9292.7,9258.2
Aria,64,10,4,9145.3,9256.8,9254.0
Aria,64,20,4,9253.4,9197.7,9247.8
Aria,64,30,4,9242.0,9257.3,9176.4
Aria,64,40,4,9220.9,9215.7,9223.9
Aria,64,50,4,9225.3,9274.7,9260.7
Aria,64,60,4,9184.5,9230.7,9267.3
Aria,64,70,4,9241.5,9264.4,9251.8
Aria,64,80,4,9229.5,9166.8,9213.7
Aria,64,90,4,9236.9,9241.4,9176.5
Aria,64,100,4,9232.1,9209.4,9186.2
Aria,128,0,4,12460.0,12481.8,12440.2
Aria,128,10,4,12410.8,12436.1,12399.8
Aria,128,20,4,12362.3,12440.2,12441.0
Aria,128,30,4,12457.9,12337.8,12466.5
Aria,128,40,4,12494.8,12413.2,12462.5
Aria,128,50,4,12503.7,12427.1,12484.2
Aria,128,60,4,12471.9,12384.7,12479.4
Aria,128,70,4,12507.9,12432.8,12423.2
Aria,128,80,4,12472.0,12447.0,12416.6
Aria,128,90,4,12494.3,12468.0,12436.7
Aria,128,100,4,12366.1,12484.4,12461.7
Aria,256,0,4,15239.3,15328.2,15290.6
Aria,256,10,4,15310.0,15265.2,15299.6
Aria,256,20,4,15287.3,15299.4,15280.7
Aria,256,30,4,15316.9,15221.2,15275.0
Aria,256,40,4,15304.5,15354.1,15273.6
Aria,256,50,4,15220.9,15192.4,15295.9
Aria,256,60,4,15255.4,15294.0,15281.1
Aria,256,70,4,15334.9,15193.7,15255.8
Aria,256,80,4,15311.7,15300.8,15318.8
Aria,256,90,4,15291.7,15239.9,15291.0
