alg,trans,threads,warehouse,remote,tput_1,tput_2,tput_3
PartitionedStore,all,16,1,N/A,,,
PartitionedStore,all,16,2,N/A,,,
PartitionedStore,all,16,4,N/A,,,
PartitionedStore,all,16,8,N/A,,,
PartitionedStore,all,16,16,N/A,1000440.0,1000360.0,919362.0
PartitionedStore,all,16,32,N/A,1078350.0,1122020.0,1082910.0
PartitionedStore,all,16,64,N/A,,,
PartitionedStore,all,16,128,N/A,,,
PartitionedStore,all,16,256,N/A,,,
PartitionedStore,all,16,512,N/A,,,
PartitionedStore,all,28,1,N/A,,,
PartitionedStore,all,28,2,N/A,,,
PartitionedStore,all,28,4,N/A,,,
PartitionedStore,all,28,8,N/A,,,
PartitionedStore,all,28,16,N/A,,,
PartitionedStore,all,28,32,N/A,1578300.0,1635430.0,
PartitionedStore,all,28,64,N/A,,,
PartitionedStore,all,28,128,N/A,,,
PartitionedStore,all,28,256,N/A,,,
PartitionedStore,all,28,512,N/A,,,
PartitionedStore,new_order,1,1,0,99702.7,99090.3,102510.0
PartitionedStore,new_order,1,1,10,100308.0,101344.0,98872.1
PartitionedStore,new_order,1,1,20,102233.0,100208.0,101262.0
PartitionedStore,new_order,1,1,30,101384.0,100652.0,103258.0
PartitionedStore,new_order,1,1,40,101075.0,102956.0,103334.0
PartitionedStore,new_order,1,1,50,101795.0,101078.0,100413.0
PartitionedStore,new_order,1,1,60,101297.0,101446.0,92273.5
PartitionedStore,new_order,1,1,70,100459.0,102462.0,100291.0
PartitionedStore,new_order,1,1,80,99592.0,100488.0,101673.0
PartitionedStore,new_order,1,1,90,102907.0,102089.0,100648.0
PartitionedStore,new_order,1,1,100,102642.0,101627.0,100470.0
PartitionedStore,new_order,1,2,0,94393.25,93630.15,93827.75
PartitionedStore,new_order,1,2,10,92041.2,92253.95,91003.8
PartitionedStore,new_order,1,2,20,91012.95,90316.0,90515.15
PartitionedStore,new_order,1,2,30,88739.41,90253.7,90408.5
PartitionedStore,new_order,1,2,40,90073.3,90195.95,89025.5
PartitionedStore,new_order,1,2,50,89392.85,89588.95,88832.3
PartitionedStore,new_order,1,2,60,89561.15,89420.85,88569.35
PartitionedStore,new_order,1,2,70,89918.7,89599.91,89389.16
PartitionedStore,new_order,1,2,80,89761.65,90121.6,89835.75
PartitionedStore,new_order,1,2,90,89314.7,90184.34,90294.16
PartitionedStore,new_order,1,2,100,89979.05,90024.7,90434.5
PartitionedStore,new_order,1,4,0,88405.8,87990.8,88416.25
PartitionedStore,new_order,1,4,10,87003.35,86926.2,86189.95
PartitionedStore,new_order,1,4,20,85241.25,86007.45,86179.8
PartitionedStore,new_order,1,4,30,83948.4,85172.7,84565.2
PartitionedStore,new_order,1,4,40,83934.05,84627.2,84166.25
PartitionedStore,new_order,1,4,50,84076.7,84108.95,84524.34
PartitionedStore,new_order,1,4,60,83300.25,83710.25,84188.65
PartitionedStore,new_order,1,4,70,83719.75,84385.09,84314.84
PartitionedStore,new_order,1,4,80,83032.75,84580.8,83267.1
PartitionedStore,new_order,1,4,90,84040.9,84130.45,84374.41
PartitionedStore,new_order,1,4,100,83899.8,84648.7,83861.0
PartitionedStore,new_order,1,8,0,83446.0,83707.84,82839.65
PartitionedStore,new_order,1,8,10,82187.15,81474.2,82070.7
PartitionedStore,new_order,1,8,20,80413.8,80731.7,79963.5
PartitionedStore,new_order,1,8,30,79884.85,80324.3,79540.85
PartitionedStore,new_order,1,8,40,78788.15,78811.95,78593.4
PartitionedStore,new_order,1,8,50,77933.85,78827.59,78315.9
PartitionedStore,new_order,1,8,60,77997.84,78404.95,77828.0
PartitionedStore,new_order,1,8,70,78545.7,78054.85,78616.95
PartitionedStore,new_order,1,8,80,78396.25,78056.05,77959.0
PartitionedStore,new_order,1,8,90,78497.3,78644.45,77546.95
