alg,clients,shards,threads,replica,tput_1,tput_2,tput_3
Janus,100,16,1,1,801.0824149742,801.0824149742,802.5359640999
Janus,200,16,1,1,1625.1921925566003,1625.1921925566003,1659.7228065282002
Janus,500,16,1,1,4133.954938659,4133.954938659,4056.431369485
Janus,1000,16,1,1,8102.4829521149995,8102.4829521149995,8008.541946596
Janus,2000,16,1,1,13402.202436659001,13402.202436659001,13389.918097325
Janus,4000,16,1,1,19720.736060314,19720.736060314,19643.299878331
Janus,1,16,1,1,338.4445665763,338.4445665763,327.8491891941
Janus,10,16,1,1,2356.9690511221,2356.9690511221,2235.2686702322
Janus,20,16,1,1,3276.8219560489997,3276.8219560489997,3324.696108694
Janus,40,16,1,1,5041.411020875,5041.411020875,5063.3052342559995
Janus,80,16,1,1,5170.901061516,5170.901061516,5064.065045474999
Janus,100,16,2,1,798.5306295437,798.5306295437,786.1718220269
Janus,200,16,2,1,1661.1428453733,1661.1428453733,1666.7453088556001
Janus,500,16,2,1,4074.686231035,4074.686231035,4026.181033136
Janus,1000,16,2,1,8145.958122926,8145.958122926,8035.178987843
Janus,2000,16,2,1,16370.370977649001,16370.370977649001,16341.353967371
Janus,4000,16,2,1,25168.57271767,25168.57271767,24877.882093892
Janus,100,16,2,3,661.6591527077,661.6591527077,679.1567191178
Janus,200,16,2,3,1364.3660590328,1364.3660590328,1372.7992379181
Janus,500,16,2,3,3425.5483639420004,3425.5483639420004,3459.941835877
Janus,1000,16,2,3,5266.684357311,5266.684357311,5202.470791673
Janus,2000,16,2,3,7482.224653839,7482.224653839,7504.9160518319995
Janus,4000,16,2,3,9861.981344987,9861.981344987,9809.805735142
Janus,1,16,2,1,336.01431930719997,336.01431930719997,350.9297437343
Janus,10,16,2,1,2308.1922437698,2308.1922437698,2379.3175461252
Janus,20,16,2,1,3298.957440436,3298.957440436,3244.126921491
Janus,40,16,2,1,5106.134539978,5106.134539978,4722.215753497
Janus,80,16,2,1,5307.1167571880005,5307.1167571880005,4974.075322768
Janus,1,16,2,3,302.1777040807,302.1777040807,306.2278415925
Janus,10,16,2,3,2124.2172441821,2124.2172441821,2055.6878838879
Janus,20,16,2,3,2763.688418027,2763.688418027,2804.8220256769996
Janus,40,16,2,3,3299.765303111,3299.765303111,3228.055215585
Janus,80,16,2,3,4603.34289615,4603.34289615,4579.472726393
Janus,100,16,3,1,792.8590220517,792.8590220517,810.6412379605
Janus,200,16,3,1,1686.4059983855,1686.4059983855,1651.4072937246
Janus,500,16,3,1,4070.097225479,4070.097225479,4063.487111683
Janus,1000,16,3,1,8048.563627333,8048.563627333,8184.932499614
Janus,2000,16,3,1,16381.702725320001,16381.702725320001,16280.09380894
Janus,4000,16,3,1,25760.555670030004,25760.555670030004,25986.202612600002
Janus,100,16,3,3,687.6237380087,687.6237380087,673.3590978236001
Janus,200,16,3,3,1386.2502308210999,1386.2502308210999,1401.4099528762
Janus,500,16,3,3,3490.479541023,3490.479541023,3480.5965367850004
Janus,1000,16,3,3,7052.104244948,7052.104244948,6954.705220919
Janus,2000,16,3,3,11616.959408638,11616.959408638,11701.693577164
Janus,4000,16,3,3,17678.421785947,17678.421785947,17781.70708065
Janus,100,16,3,5,625.2395580505,625.2395580505,623.7387297091
Janus,200,16,3,5,1265.2659722647,1265.2659722647,1238.8530119007
Janus,500,16,3,5,2275.0358865958997,2275.0358865958997,2260.816789918
Janus,1000,16,3,5,3122.267389826,3122.267389826,3152.229603491
Janus,2000,16,3,5,4233.678051297,4233.678051297,4212.881398828
Janus,1,16,3,1,336.7556953237,336.7556953237,346.7581830791
Janus,10,16,3,1,2337.2855981651,2337.2855981651,2373.9201477348
Janus,20,16,3,1,3326.333522761,3326.333522761,3389.758388115
Janus,40,16,3,1,5087.383584167001,5087.383584167001,5117.85216504
Janus,80,16,3,1,5269.4241799970005,5269.4241799970005,4943.2189155040005
Janus,1,16,3,3,296.3283865784,296.3283865784,299.6769773159
Janus,10,16,3,3,2194.8170937387,2194.8170937387,2209.1138472101
Janus,20,16,3,3,2815.2099067279996,2815.2099067279996,2810.638006627
Janus,40,16,3,3,3278.271100273,3278.271100273,3304.334446057
Janus,80,16,3,3,5018.898055365,5018.898055365,4936.132316989
Janus,1,16,3,5,303.3275126102,303.3275126102,283.5652217995
Janus,10,16,3,5,1911.9482218059,1911.9482218059,1980.4140418757
Janus,20,16,3,5,2616.1696126258,2616.1696126258,2665.94646439
Janus,100,16,4,1,799.4957592313999,799.4957592313999,780.1073975135
Janus,200,16,4,1,1651.3939860455,1651.3939860455,1644.1168413864
Janus,500,16,4,1,4012.351502056,4012.351502056,4091.364748762
Janus,1000,16,4,1,8005.738945362001,8005.738945362001,8127.709946255
Janus,2000,16,4,1,16643.232073338,16643.232073338,16320.713912388
Janus,4000,16,4,1,26748.20286958,26748.20286958,26648.85402359
Janus,100,16,4,3,696.8944434773,696.8944434773,677.5800820055
Janus,200,16,4,3,1379.1863654777,1379.1863654777,1427.301363071
Janus,500,16,4,3,3470.095085307,3470.095085307,3480.3501709089996
Janus,1000,16,4,3,6947.187404527,6947.187404527,7021.644815074001
Janus,2000,16,4,3,13012.847846218001,13012.847846218001,13123.594380456998
Janus,4000,16,4,3,20022.039022784,20022.039022784,20171.844137472
Janus,100,16,4,5,610.1128321568001,610.1128321568001,645.1714278658
Janus,200,16,4,5,1230.4820406894,1230.4820406894,1234.5088599045
Janus,500,16,4,5,3167.5802158899996,3167.5802158899996,3167.626456594
Janus,1000,16,4,5,6129.755889422,6129.755889422,6155.106534409
Janus,2000,16,4,5,9418.159314135,9418.159314135,9427.126191088
Janus,4000,16,4,5,13584.322831278,13584.322831278,13409.259741738
Janus,1,16,4,1,348.992733455,348.992733455,346.4254849936
Janus,10,16,4,1,2427.0910352027,2427.0910352027,2333.4547427787
Janus,20,16,4,1,3210.477350126,3210.477350126,3217.992538034
Janus,40,16,4,1,4959.980508717,4959.980508717,4881.059686952
Janus,80,16,4,1,5080.441380470001,5080.441380470001,5287.211194624
Janus,1,16,4,3,311.3785904513,311.3785904513,305.4714501126
Janus,10,16,4,3,2140.8732116329,2140.8732116329,2189.4714512247
Janus,20,16,4,3,2753.311965765,2753.311965765,2752.838037423
Janus,40,16,4,3,3253.058261339,3253.058261339,3287.586318924
