node,threads,scale_factor,cross_warehouse,tput_1,tput_2,tput_3,tput,tp_1,tp_2,tp_3
2,2,1,0,192664,197708,203484,197952
2,2,1,20,150468,133732,143743,142647.6667
2,2,1,40,111588,110003,112181,111257.3333
2,2,1,60,88522.2,86581.7,86197.8,87100.56667
2,2,1,80,71522.3,68794.7,70520.5,70279.16667
2,2,1,100,58331.7,58211.6,60697.4,59080.23333
2,2,2,0,274177,274476,269544,272732.3333
2,2,2,20,186643,180975,190293,185970.3333
2,2,2,40,139127,145716,137205,140682.6667
2,2,2,60,115655,114144,113045,114281.3333
2,2,2,80,92791.9,93136.5,89079.6,91669.33333
2,2,2,100,77568.3,80644.7,81218,79810.33333
2,2,4,0,242438,247785,241406,243876.3333
2,2,4,20,180499,174194,180077,178256.6667
2,2,4,40,135289,145733,134182,138401.3333
2,2,4,60,117916,110735,113508,114053
2,2,4,80,93829.5,95544.7,96902,95425.4
2,2,4,100,82733.7,81407.9,84842.1,82994.56667
2,2,8,0,194185,197780,185571,192512
2,2,8,20,144578,145464,138117,142719.6667
2,2,8,40,111388,114487,116110,113995
2,2,8,60,96483.6,98094.7,97566.1,97381.46667
2,2,8,80,83337.3,82808.6,84249.9,83465.26667
2,2,8,100,71819.9,72950.9,71793.3,72188.03333
2,2,16,0,152041,155923,160182,156048.6667
2,2,16,20,128734,126519,129561,128271.3333
2,2,16,40,110633,106691,108901,108741.6667
2,2,16,60,93549.7,93864,96059.6,94491.1
2,2,16,80,83620.8,84353.9,81092.2,83022.3
2,2,16,100,76686,74564.5,75722.9,75657.8
2,2,32,0,130623,130431,130466,130506.6667
2,2,32,20,109622,106409,107438,107823
2,2,32,40,93822,92433.2,92847.6,93034.26667
2,2,32,60,82127.5,80219.3,82655.8,81667.53333
2,2,32,80,72851.1,73592.4,73329,73257.5
2,2,32,100,66846.6,66135.6,66620.9,66534.36667
2,2,128,0,99647.9,98295.8,100194,99379.23333
2,2,128,20,85603.7,87839.4,82020.1,85154.4
2,2,128,40,78222.7,72237.9,74533.2,74997.93333
2,2,128,60,67426,65408.1,65934.5,66256.2
2,2,128,80,58357.9,61701.3,59700.7,59919.96667
2,2,128,100,53827.3,53948.6,53198.8,53658.23333
2,2,256,0,80060.4,88228.5,80500.1,82929.66667
2,2,256,20,68830.7,69575.3,69447,69284.33333
2,2,256,40,63674,63794.2,63924.5,63797.56667
2,2,256,60,53256.5,55757.6,55541,54851.7
2,2,256,80,51316,48534.2,51680.1,50510.1
2,2,256,100,46638.4,45238.2,46323.1,46066.56667
2,4,1,0,200393,206441,214798,207210.6667
2,4,1,20,179723,189046,186920,185229.6667
2,4,1,40,153047,152706,152123,152625.3333
2,4,1,60,131590,131685,127423,130232.6667
2,4,1,80,111518,114098,110681,112099
2,4,1,100,98250.4,97212.8,101485,98982.73333
2,4,2,0,407754,390001,378059,391938
2,4,2,20,279597,284233,281775,281868.3333
2,4,2,40,226965,230906,220362,226077.6667
2,4,2,60,183786,191681,192450,189305.6667
2,4,2,80,160427,159886,155215,158509.3333
2,4,2,100,135803,136854,139796,137484.3333
2,4,4,0,509516,506839,510256,508870.3333
2,4,4,20,352557,347787,349743,350029
2,4,4,40,272917,276309,274528,274584.6667
2,4,4,60,210230,218843,215672,214915
2,4,4,80,185198,182604,189114,185638.6667
2,4,4,100,163642,163108,159901,162217
2,4,8,0,447768,424977,426663,433136
2,4,8,20,299107,314085,313763,308985
2,4,8,40,247695,249384,248804,248627.6667
2,4,8,60,202097,208092,204717,204968.6667
2,4,8,80,176864,171532,175346,174580.6667
2,4,8,100,154123,148724,150230,151025.6667
2,4,16,0,373657,378208,364683,372182.6667
2,4,16,20,270127,261009,269357,266831
2,4,16,40,214513,212305,218972,215263.3333
2,4,16,60,179734,176950,178404,178362.6667
2,4,16,80,153096,153570,146952,151206
2,4,16,100,132485,135127,134996,134202.6667
2,4,32,0,298755,289016,300036,295935.6667
2,4,32,20,228706,226925,221895,225842
2,4,32,40,175042,183881,182387,180436.6667
2,4,32,60,152310,150602,147929,150280.3333
2,4,32,80,131470,130807,131273,131183.3333
2,4,32,100,117090,117225,114316,116210.3333
2,4,128,0,212705,203228,214080,210004.3333
2,4,128,20,167836,168996,165890,167574
2,4,128,40,138575,140464,137882,138973.6667
2,4,128,60,119661,116854,118731,118415.3333
2,4,128,80,105905,104506,102905,104438.6667
2,4,128,100,90959.2,93155.3,93170.6,92428.36667
2,4,256,0,183409,186919,184408,184912
2,4,256,20,150117,150262,146743,149040.6667
2,4,256,40,127355,124253,117702,123103.3333
2,4,256,60,107063,105861,105892,106272
2,4,256,80,93316,88718.6,94540.2,92191.6
2,4,256,100,84707.5,81310.8,85213,83743.76667
2,8,1,0,183196,185662,179090,182649.3333
2,8,1,20,181597,183440,184511,183182.6667
2,8,1,40,174293,166765,177228,172762
2,8,1,60,163133,164157,164158,163816
2,8,1,80,146127,151975,151067,149723
2,8,1,100,146165,150548,148619,148444
2,8,2,0,399435,401466,376671,392524
2,8,2,20,324791,334769,346347,335302.3333
2,8,2,40,298244,288569,298072,294961.6667
