alg,bench,thread_count,warehouse_count,tput_1,tput_2,tput_3
Hekaton,TPCC,28,128.0,2887183.0,2897065.0,2881717.0
FOEDUS,TPCC-FULL,16,4.0,348967.61032389675,350249.0475095249,351823.9817601824
TicToc,TPCC,1,128.0,164028.0,162201.0,161607.0
FOEDUS,TPCC-FULL,28,32.0,1943657.0634293659,2038312.1668783312,1936497.1850281497
TicToc,TPCC-FULL,1,128.0,56773.0,58467.0,58442.0
MOCC,TPCC-FULL,8,4.0,352947.2852635737,348702.8129718703,357445.22554774454
Silo,TPCC,16,2.0,952236.0,939389.0,943183.0
ERMIA,TPCC-FULL,4,8.0,194158.0,192431.0,186493.0
MOCC,TPCC-FULL,8,16.0,636463.4353656464,637348.6765132349,634020.6597934021
Hekaton,TPCC-FULL,4,64.0,192637.0,178153.0,187064.0
Hekaton,TPCC,1,256.0,121634.0,119826.0,121170.0
TicToc,TPCC,16,256.0,2459695.0,2444553.0,2448532.0
Hekaton,TPCC-FULL,1,128.0,46345.0,47545.0,47105.0
Silo,TPCC-FULL,1,2.0,85976.0,89020.0,86347.0
Hekaton,TPCC-FULL,4,32.0,202830.0,204632.0,201850.0
TicToc,TPCC-FULL,28,128.0,1480472.0,1477613.0,1478885.0
TicToc,TPCC-FULL,4,8.0,302105.0,304896.0,301461.0
TicToc,TPCC,16,32.0,2703184.0,2058311.0,2160148.0
Silo,TPCC,4,8.0,879723.0,906146.0,901450.0
2PL,TPCC,28,256.0,3114813.0,3290733.0,3132922.0
TicToc,TPCC,16,4.0,2164451.0,1708061.0,1707485.0
Silo,TPCC-FULL,28,4.0,368325.0,368195.0,366989.0
Cicada,TPCC,28,4.0,4477068.0,2186715.0,2179158.0
FOEDUS,TPCC-FULL,16,32.0,1191561.4921925392,1157556.0244397556,1212401.5759842403
2PL,TPCC-FULL,1,64.0,49910.0,46205.0,49452.0
Cicada,TPCC,4,16.0,955364.0,933240.0,937326.0
