alg,bench,thread_count,warehouse_count,tput_1,tput_2,tput_3
TicToc,TPCC,1,256.0,156849.0,162272.0,154855.0
Silo,TPCC-FULL,16,2.0,188351.0,187547.0,187991.0
Silo,TPCC,4,2.0,817738.0,798219.0,817907.0
FOEDUS,TPCC-FULL,8,4.0,353561.532192339,354443.28335074976,353581.26418735815
MOCC,TPCC-FULL,8,64.0,637768.7223127768,629310.6568934311,586386.2861371386
MOCC,TPCC-FULL,28,128.0,2053677.7632223677,2039960.950390496,1999320.6067939322
ERMIA,TPCC-FULL,4,4.0,186978.0,169998.0,159154.0
TicToc,TPCC,28,4.0,2725367.0,2722375.0,2753186.0
2PL,TPCC-FULL,28,16.0,832863.0,836308.0,832261.0
Silo,TPCC-FULL,28,2.0,164577.0,82785.0,164691.0
ERMIA,TPCC-FULL,16,16.0,654420.0,611043.0,635894.0
TicToc,TPCC-FULL,4,256.0,220130.0,222854.0,223992.0
2PL,TPCC-FULL,1,8.0,55687.0,58352.0,60327.0
ERMIA,TPCC-FULL,16,8.0,594353.0,538608.0,594437.0
2PL,TPCC,16,64.0,1968714.0,1991702.0,1994247.0
ERMIA,TPCC-FULL,8,32.0,344249.0,341995.0,344398.0
ERMIA,TPCC-FULL,2,8.0,106954.0,107994.0,108453.0
TicToc,TPCC,1,4.0,213899.0,221545.0,220020.0
Silo,TPCC-FULL,4,32.0,276776.0,275030.0,275209.0
Silo,TPCC,16,32.0,2896360.0,2877898.0,2864057.0
TicToc,TPCC-FULL,1,1.0,88158.0,86050.0,87675.0
TicToc,TPCC-FULL,28,4.0,287195.0,381781.0,382889.0
Hekaton,TPCC-FULL,4,4.0,254381.0,256370.0,257826.0
TicToc,TPCC-FULL,16,2.0,194868.0,196267.0,195495.0
Silo,TPCC,1,1.0,309467.0,302492.0,302528.0
Hekaton,TPCC-FULL,16,4.0,380226.0,379239.0,379986.0
Silo,TPCC,16,256.0,2644311.0,2652328.0,2611001.0
Hekaton,TPCC-FULL,1,1.0,72448.0,71486.0,68699.0
ERMIA,TPCC-FULL,16,64.0,,,
Cicada,TPCC-FULL,1,128.0,48383.0,56136.0,59011.0
Cicada,TPCC,28,256.0,3965697.0,4661199.0,4696043.0
Cicada,TPCC,4,256.0,526511.0,668645.0,673823.0
Cicada,TPCC,16,128.0,2503580.0,2971316.0,2989194.0
FOEDUS,TPCC-FULL,4,256.0,,321793.8910305448,
ERMIA,TPCC-FULL,28,64.0,,,
Cicada,TPCC,28,128.0,4428118.0,5127046.0,5138998.0
FOEDUS,TPCC-FULL,28,256.0,,,
Cicada,TPCC,1,128.0,157977.0,187500.0,181576.0
Cicada,TPCC-FULL,16,128.0,772685.0,907599.5,900363.0
Cicada,TPCC-FULL,28,256.0,554934.0,625028.0,624270.5
Cicada,TPCC-FULL,16,256.0,345082.0,396964.0,397262.0
Cicada,TPCC-FULL,1,256.0,,,
ERMIA,TPCC-FULL,28,4.0,,550758.0,556376.0
Cicada,TPCC-FULL,28,128.0,1371393.0,1556035.0,1553286.0
Cicada,TPCC,16,256.0,2274977.0,2337379.5,2321217.0
Cicada,TPCC,1,64.0,166026.0,198745.0,195508.0
Cicada,TPCC-FULL,4,256.0,129228.0,152193.0,152324.0
Cicada,TPCC-FULL,4,128.0,190611.0,228422.5,230562.0
Cicada,TPCC-FULL,1,64.0,52166.0,62437.0,63242.0
Cicada,TPCC,4,128.0,598250.0,740374.5,742835.5
