alg,trans,threads,warehouse,remote,tput
PartitionedStore,NP,16,8,N/A,
PartitionedStore,NP,16,16,N/A,1733925.0
PartitionedStore,NP,16,32,N/A,1569965.0
PartitionedStore,NP,16,64,N/A,1492780.0
PartitionedStore,NP,16,128,N/A,
PartitionedStore,NP,16,256,N/A,1378460.0
PartitionedStore,NP,16,512,N/A,3808.72998046875
PartitionedStore,NP,28,1,N/A,
PartitionedStore,NP,28,2,N/A,
PartitionedStore,NP,28,4,N/A,
PartitionedStore,NP,28,8,N/A,
PartitionedStore,NP,28,16,N/A,
PartitionedStore,NP,28,32,N/A,
PartitionedStore,NP,28,64,N/A,
PartitionedStore,NP,28,128,N/A,2535540.0
PartitionedStore,NP,28,256,N/A,
PartitionedStore,NP,28,512,N/A,23991.80078125
PartitionedStore,all,1,1,N/A,
PartitionedStore,all,1,2,N/A,92652.296875
PartitionedStore,all,1,4,N/A,94251.734375
PartitionedStore,all,1,8,N/A,92553.0625
PartitionedStore,all,1,16,N/A,90151.765625
PartitionedStore,all,1,32,N/A,84665.4296875
PartitionedStore,all,1,64,N/A,
PartitionedStore,all,1,128,N/A,
PartitionedStore,all,1,256,N/A,
PartitionedStore,all,1,512,N/A,
PartitionedStore,all,2,1,N/A,
PartitionedStore,all,2,2,N/A,154836.671875
PartitionedStore,all,2,4,N/A,174989.328125
PartitionedStore,all,2,8,N/A,183304.671875
PartitionedStore,all,2,16,N/A,182314.328125
PartitionedStore,all,2,32,N/A,176765.328125
PartitionedStore,all,2,64,N/A,
PartitionedStore,all,2,128,N/A,
PartitionedStore,all,2,256,N/A,
PartitionedStore,all,2,512,N/A,
PartitionedStore,all,4,1,N/A,
PartitionedStore,all,4,2,N/A,
PartitionedStore,all,4,4,N/A,296078.0
PartitionedStore,all,4,8,N/A,316568.34375
PartitionedStore,all,4,16,N/A,348676.0
PartitionedStore,all,4,32,N/A,345485.65625
PartitionedStore,all,4,64,N/A,
PartitionedStore,all,4,128,N/A,
PartitionedStore,all,4,256,N/A,
PartitionedStore,all,4,512,N/A,
PartitionedStore,all,8,1,N/A,
PartitionedStore,all,8,2,N/A,
PartitionedStore,all,8,4,N/A,
PartitionedStore,all,8,8,N/A,523372.0
PartitionedStore,all,8,16,N/A,590445.6875
PartitionedStore,all,8,32,N/A,631620.6875
PartitionedStore,all,8,64,N/A,
PartitionedStore,all,8,128,N/A,
PartitionedStore,all,8,256,N/A,
PartitionedStore,all,8,512,N/A,
PartitionedStore,all,16,1,N/A,
PartitionedStore,all,16,2,N/A,
PartitionedStore,all,16,4,N/A,
PartitionedStore,all,16,8,N/A,
PartitionedStore,all,16,16,N/A,973387.3125
PartitionedStore,all,16,32,N/A,1094426.625
PartitionedStore,all,16,64,N/A,
PartitionedStore,all,16,128,N/A,
PartitionedStore,all,16,256,N/A,
PartitionedStore,all,16,512,N/A,
PartitionedStore,all,28,1,N/A,
PartitionedStore,all,28,2,N/A,
PartitionedStore,all,28,4,N/A,
PartitionedStore,all,28,8,N/A,
PartitionedStore,all,28,16,N/A,
PartitionedStore,all,28,32,N/A,1606865.0
PartitionedStore,all,28,64,N/A,
PartitionedStore,all,28,128,N/A,
PartitionedStore,all,28,256,N/A,
PartitionedStore,all,28,512,N/A,
PartitionedStore,new_order,1,1,0,99396.5
PartitionedStore,new_order,1,1,10,100826.0
PartitionedStore,new_order,1,1,20,101220.5
PartitionedStore,new_order,1,1,30,101018.0
PartitionedStore,new_order,1,1,40,102015.5
PartitionedStore,new_order,1,1,50,101436.5
PartitionedStore,new_order,1,1,60,101371.5
PartitionedStore,new_order,1,1,70,101460.5
PartitionedStore,new_order,1,1,80,100040.0
PartitionedStore,new_order,1,1,90,102498.0
PartitionedStore,new_order,1,1,100,102134.5
PartitionedStore,new_order,1,2,0,93978.109375
PartitionedStore,new_order,1,2,10,92027.5078125
PartitionedStore,new_order,1,2,20,90479.015625
PartitionedStore,new_order,1,2,30,89427.578125
PartitionedStore,new_order,1,2,40,89871.9765625
PartitionedStore,new_order,1,2,50,89365.1484375
PartitionedStore,new_order,1,2,60,89474.3984375
PartitionedStore,new_order,1,2,70,89476.2109375
PartitionedStore,new_order,1,2,80,89795.82421875
PartitionedStore,new_order,1,2,90,89767.32421875
PartitionedStore,new_order,1,2,100,90041.796875
PartitionedStore,new_order,1,4,0,88290.72265625
PartitionedStore,new_order,1,4,10,86895.75390625
PartitionedStore,new_order,1,4,20,85649.56640625
PartitionedStore,new_order,1,4,30,84614.375
PartitionedStore,new_order,1,4,40,84263.94921875
PartitionedStore,new_order,1,4,50,84206.7265625
PartitionedStore,new_order,1,4,60,83567.7734375
PartitionedStore,new_order,1,4,70,84005.9296875
PartitionedStore,new_order,1,4,80,83625.3359375
PartitionedStore,new_order,1,4,90,84108.60546875
PartitionedStore,new_order,1,4,100,84185.33984375
PartitionedStore,new_order,1,8,0,83473.21875
PartitionedStore,new_order,1,8,10,81803.31640625
PartitionedStore,new_order,1,8,20,80405.08984375
PartitionedStore,new_order,1,8,30,79785.8671875
PartitionedStore,new_order,1,8,40,78650.7578125
PartitionedStore,new_order,1,8,50,78257.234375
PartitionedStore,new_order,1,8,60,77894.51171875
PartitionedStore,new_order,1,8,70,78279.8984375
PartitionedStore,new_order,1,8,80,78080.25390625
PartitionedStore,new_order,1,8,90,78545.51171875
PartitionedStore,new_order,1,8,100,78271.3984375
PartitionedStore,new_order,1,16,0,78599.5625
PartitionedStore,new_order,1,16,10,76558.9609375
PartitionedStore,new_order,1,16,20,75661.890625
PartitionedStore,new_order,1,16,30,74902.109375
PartitionedStore,new_order,1,16,40,74759.33984375
PartitionedStore,new_order,1,16,50,73824.7265625
PartitionedStore,new_order,1,16,60,73590.0234375
PartitionedStore,new_order,1,16,70,73454.671875
PartitionedStore,new_order,1,16,80,72535.7890625
PartitionedStore,new_order,1,16,90,73002.015625
PartitionedStore,new_order,1,16,100,72807.8046875
PartitionedStore,new_order,1,32,0,73875.765625
PartitionedStore,new_order,1,32,10,72572.94921875
PartitionedStore,new_order,1,32,20,71206.20703125
PartitionedStore,new_order,1,32,30,70726.4921875
PartitionedStore,new_order,1,32,40,69557.3828125
PartitionedStore,new_order,1,32,50,69173.8359375
PartitionedStore,new_order,1,32,60,69179.83203125
PartitionedStore,new_order,1,32,70,68936.47265625
PartitionedStore,new_order,1,32,80,67731.33203125
PartitionedStore,new_order,1,32,90,68082.5
PartitionedStore,new_order,1,32,100,68387.4140625
PartitionedStore,new_order,1,64,0,69971.953125
PartitionedStore,new_order,1,64,10,68105.34375
PartitionedStore,new_order,1,64,20,67181.25
PartitionedStore,new_order,1,64,30,66624.6484375
PartitionedStore,new_order,1,64,40,64859.75
PartitionedStore,new_order,1,64,50,64718.80078125
PartitionedStore,new_order,1,64,60,63943.55078125
PartitionedStore,new_order,1,64,70,63758.75
PartitionedStore,new_order,1,64,80,61865.25
PartitionedStore,new_order,1,64,90,62765.69921875
PartitionedStore,new_order,1,64,100,62630.8984375
PartitionedStore,new_order,1,128,0,65497.046875
PartitionedStore,new_order,1,128,10,63472.55078125
PartitionedStore,new_order,1,128,20,62960.296875
PartitionedStore,new_order,1,128,30,61751.44921875
PartitionedStore,new_order,1,128,40,61073.953125
PartitionedStore,new_order,1,128,50,60286.55078125
PartitionedStore,new_order,1,128,60,59355.8515625
PartitionedStore,new_order,1,128,70,59510.6015625
PartitionedStore,new_order,1,128,80,58406.6015625
PartitionedStore,new_order,1,128,90,57903.3984375
PartitionedStore,new_order,1,128,100,58350.3515625
PartitionedStore,new_order,1,256,0,59836.30078125
PartitionedStore,new_order,1,256,10,58705.453125
PartitionedStore,new_order,1,256,20,57975.69921875
PartitionedStore,new_order,1,256,30,57224.953125
PartitionedStore,new_order,1,256,40,56187.05078125
PartitionedStore,new_order,1,256,50,55114.3515625
PartitionedStore,new_order,1,256,60,54939.6484375
PartitionedStore,new_order,1,256,70,54338.203125
PartitionedStore,new_order,1,256,80,54250.203125
PartitionedStore,new_order,1,256,90,53833.8984375
PartitionedStore,new_order,1,256,100,53004.5
PartitionedStore,new_order,1,512,0,55019.94921875
PartitionedStore,new_order,1,512,10,53530.75
PartitionedStore,new_order,1,512,20,52675.0
PartitionedStore,new_order,1,512,30,51666.25
PartitionedStore,new_order,1,512,40,51525.1015625
PartitionedStore,new_order,1,512,50,50263.046875
PartitionedStore,new_order,1,512,60,49939.75
PartitionedStore,new_order,1,512,70,49625.25
PartitionedStore,new_order,1,512,80,49242.3984375
PartitionedStore,new_order,1,512,90,48867.296875
PartitionedStore,new_order,1,512,100,48625.19921875
PartitionedStore,new_order,2,1,0,89185.1484375
PartitionedStore,new_order,2,1,10,89584.796875
PartitionedStore,new_order,2,1,20,88769.90625
PartitionedStore,new_order,2,1,30,89062.3984375
PartitionedStore,new_order,2,1,40,88149.25
PartitionedStore,new_order,2,1,50,89199.0
PartitionedStore,new_order,2,1,60,88106.703125
PartitionedStore,new_order,2,1,70,89697.546875
PartitionedStore,new_order,2,1,80,89501.703125
PartitionedStore,new_order,2,1,90,88223.703125
PartitionedStore,new_order,2,1,100,89072.3515625
PartitionedStore,new_order,2,2,0,204106.1640625
PartitionedStore,new_order,2,2,10,103798.20703125
PartitionedStore,new_order,2,2,20,97375.42578125
PartitionedStore,new_order,2,2,30,95034.02734375
PartitionedStore,new_order,2,2,40,94914.7890625
PartitionedStore,new_order,2,2,50,94179.03515625
PartitionedStore,new_order,2,2,60,95007.625
PartitionedStore,new_order,2,2,70,95043.93359375
PartitionedStore,new_order,2,2,80,96779.4140625
PartitionedStore,new_order,2,2,90,97895.3828125
PartitionedStore,new_order,2,2,100,101139.08203125
PartitionedStore,new_order,2,4,0,187776.9140625
PartitionedStore,new_order,2,4,10,127976.75
PartitionedStore,new_order,2,4,20,108631.35546875
PartitionedStore,new_order,2,4,30,101606.41015625
PartitionedStore,new_order,2,4,40,98188.953125
PartitionedStore,new_order,2,4,50,97484.39453125
PartitionedStore,new_order,2,4,60,96453.7734375
PartitionedStore,new_order,2,4,70,96098.12890625
PartitionedStore,new_order,2,4,80,95629.66796875
PartitionedStore,new_order,2,4,90,96359.06640625
PartitionedStore,new_order,2,4,100,96827.171875
PartitionedStore,new_order,2,8,0,176895.75
PartitionedStore,new_order,2,8,10,142111.75
PartitionedStore,new_order,2,8,20,123031.0859375
PartitionedStore,new_order,2,8,30,112651.1015625
PartitionedStore,new_order,2,8,40,107225.9765625
PartitionedStore,new_order,2,8,50,104420.6015625
PartitionedStore,new_order,2,8,60,103059.14453125
PartitionedStore,new_order,2,8,70,101913.1171875
PartitionedStore,new_order,2,8,80,101734.71484375
PartitionedStore,new_order,2,8,90,101508.60546875
PartitionedStore,new_order,2,8,100,101620.91796875
PartitionedStore,new_order,2,16,0,166161.0
PartitionedStore,new_order,2,16,10,145764.3359375
PartitionedStore,new_order,2,16,20,132139.75
PartitionedStore,new_order,2,16,30,121057.75
PartitionedStore,new_order,2,16,40,114034.4921875
PartitionedStore,new_order,2,16,50,108141.78515625
PartitionedStore,new_order,2,16,60,106508.7421875
PartitionedStore,new_order,2,16,70,104799.0390625
PartitionedStore,new_order,2,16,80,103010.48046875
PartitionedStore,new_order,2,16,90,102629.68359375
PartitionedStore,new_order,2,16,100,102297.67578125
PartitionedStore,new_order,2,32,0,157725.4140625
PartitionedStore,new_order,2,32,10,144336.8359375
PartitionedStore,new_order,2,32,20,134077.3359375
PartitionedStore,new_order,2,32,30,124950.4140625
PartitionedStore,new_order,2,32,40,118489.5859375
PartitionedStore,new_order,2,32,50,112302.2109375
PartitionedStore,new_order,2,32,60,108590.1875
PartitionedStore,new_order,2,32,70,106375.9375
PartitionedStore,new_order,2,32,80,103000.7734375
PartitionedStore,new_order,2,32,90,101735.94140625
PartitionedStore,new_order,2,32,100,101079.4765625
PartitionedStore,new_order,2,64,0,146426.5
PartitionedStore,new_order,2,64,10,138127.5
PartitionedStore,new_order,2,64,20,128467.0
PartitionedStore,new_order,2,64,30,117955.0
PartitionedStore,new_order,2,64,40,108813.0
PartitionedStore,new_order,2,64,50,100750.0
PartitionedStore,new_order,2,64,60,93305.046875
PartitionedStore,new_order,2,64,70,86745.65625
PartitionedStore,new_order,2,64,80,81057.6015625
PartitionedStore,new_order,2,64,90,77674.796875
PartitionedStore,new_order,2,64,100,73513.40625
PartitionedStore,new_order,2,128,0,139435.0
PartitionedStore,new_order,2,128,10,132039.5
PartitionedStore,new_order,2,128,20,125377.0
PartitionedStore,new_order,2,128,30,119392.0
PartitionedStore,new_order,2,128,40,112682.0
PartitionedStore,new_order,2,128,50,106618.5
PartitionedStore,new_order,2,128,60,99919.8984375
PartitionedStore,new_order,2,128,70,94687.6484375
PartitionedStore,new_order,2,128,80,89036.953125
PartitionedStore,new_order,2,128,90,85067.25
PartitionedStore,new_order,2,128,100,80942.40625
PartitionedStore,new_order,2,256,0,132640.0
PartitionedStore,new_order,2,256,10,123625.5
PartitionedStore,new_order,2,256,20,119995.0
