partition_num,threads,zipf,rw,servers,cross,tput
32,8,0.0,0,2,100,153460.33333333334
32,8,0.0,0,4,0,
32,8,0.0,0,4,20,
32,8,0.0,0,4,40,
32,8,0.0,0,4,60,
32,8,0.0,0,4,80,217631.0
32,8,0.0,0,4,100,
32,8,0.0,20,2,0,376391.6666666667
32,8,0.0,20,2,20,295998.3333333333
32,8,0.0,20,2,40,291939.6666666667
32,8,0.0,20,2,60,230959.66666666666
32,8,0.0,20,2,80,243165.0
32,8,0.0,20,2,100,228015.0
32,8,0.0,20,4,0,
32,8,0.0,20,4,20,
32,8,0.0,20,4,40,
32,8,0.0,20,4,60,
32,8,0.0,20,4,80,
32,8,0.0,20,4,100,
32,8,0.0,60,2,0,629256.0
32,8,0.0,60,2,20,508868.3333333333
32,8,0.0,60,2,40,486586.6666666667
32,8,0.0,60,2,60,470796.3333333333
32,8,0.0,60,2,80,442411.3333333333
32,8,0.0,60,2,100,402210.0
32,8,0.0,60,4,0,
32,8,0.0,60,4,20,
32,8,0.0,60,4,40,
32,8,0.0,60,4,60,
32,8,0.0,60,4,80,
32,8,0.0,60,4,100,
32,8,0.0,100,2,0,3070576.6666666665
32,8,0.0,100,2,20,2133896.6666666665
32,8,0.0,100,2,40,1677740.0
32,8,0.0,100,2,60,1421176.6666666667
