WH,terminal,shared_buffer,min_wal_size,max_wal_size,effective_cache_size,tput
10,5,128/1024,80/1024,1,4,1332.68307501608
10,10,128/1024,80/1024,1,4,2290.54108504871
10,15,128/1024,80/1024,1,4,3070.19440309019
10,20,128/1024,80/1024,1,4,3729.77647162848
10,25,128/1024,80/1024,1,4,4287.67731421738
10,30,128/1024,80/1024,1,4,4807.80681674058
10,35,128/1024,80/1024,1,4,5191.64196252958
10,40,128/1024,80/1024,1,4,5568.16625836537
10,45,128/1024,80/1024,1,4,5720.99703676971
10,50,128/1024,80/1024,1,4,5832.97801071590
10,55,128/1024,80/1024,1,4,5889.03008138623
10,60,128/1024,80/1024,1,4,6025.60908243049
10,65,128/1024,80/1024,1,4,5894.71230422413
10,70,128/1024,80/1024,1,4,5943.36232493379
10,75,128/1024,80/1024,1,4,5875.38804215636
10,80,128/1024,80/1024,1,4,5836.72433378389
10,85,128/1024,80/1024,1,4,5719.05932372364
10,90,128/1024,80/1024,1,4,5708.79740274913
10,95,128/1024,80/1024,1,4,5529.44663497879
10,100,128/1024,80/1024,1,4,5460.88957731942
10,105,128/1024,80/1024,1,4,5337.09720129257
10,110,128/1024,80/1024,1,4,5172.17371679547
10,115,128/1024,80/1024,1,4,5242.34558089627
10,120,128/1024,80/1024,1,4,5101.54876995744
10,5,128/1024,512/1024,1,4,1359.82603268581
10,10,128/1024,512/1024,1,4,2321.93553726893
10,15,128/1024,512/1024,1,4,3106.62850161339
10,20,128/1024,512/1024,1,4,3758.63230267489
10,25,128/1024,512/1024,1,4,4321.10593941963
10,30,128/1024,512/1024,1,4,4724.98089213914
10,35,128/1024,512/1024,1,4,5144.57350802688
10,40,128/1024,512/1024,1,4,5455.04307678177
10,45,128/1024,512/1024,1,4,5572.74855007453
10,50,128/1024,512/1024,1,4,5816.38981179395
10,55,128/1024,512/1024,1,4,5893.00919176160
10,60,128/1024,512/1024,1,4,5914.99366246640
10,65,128/1024,512/1024,1,4,5875.05811945360
10,70,128/1024,512/1024,1,4,5844.14539112020
10,75,128/1024,512/1024,1,4,5805.53614965928
10,80,128/1024,512/1024,1,4,5749.61572879044
10,85,128/1024,512/1024,1,4,5728.23282806047
