WH,terminal,shared_buffer,min_wal_size,max_wal_size,effective_cache_size,tput
10,90,128/1024,512/1024,1,4,5623.72293502701
10,95,128/1024,512/1024,1,4,5430.02457679504
10,100,128/1024,512/1024,1,4,5123.09689404521
10,105,128/1024,512/1024,1,4,5222.50180255936
10,110,128/1024,512/1024,1,4,5242.86614445503
10,115,128/1024,512/1024,1,4,5181.33582963303
10,120,128/1024,512/1024,1,4,5081.16797940306
10,5,128/1024,1,2,4,1355.49569368943
10,10,128/1024,1,2,4,2378.37579614549
10,15,128/1024,1,2,4,3267.76610577083
10,20,128/1024,1,2,4,4014.47294655325
10,25,128/1024,1,2,4,4567.70461378695
10,30,128/1024,1,2,4,5247.10300091288
10,35,128/1024,1,2,4,5835.33270431724
10,40,128/1024,1,2,4,6495.87058822581
10,45,128/1024,1,2,4,6583.89448942748
10,50,128/1024,1,2,4,6586.77779636451
10,55,128/1024,1,2,4,6924.36688103749
10,60,128/1024,1,2,4,7076.01966322475
10,65,128/1024,1,2,4,7186.18291733074
10,70,128/1024,1,2,4,7101.17499350421
10,75,128/1024,1,2,4,7173.68420643271
10,80,128/1024,1,2,4,7110.46906915193
10,85,128/1024,1,2,4,7052.01079921758
10,90,128/1024,1,2,4,7125.31096620064
10,95,128/1024,1,2,4,7055.96336775597
10,100,128/1024,1,2,4,6932.65407723351
10,105,128/1024,1,2,4,6788.37529984712
10,110,128/1024,1,2,4,6598.72702905691
10,115,128/1024,1,2,4,6350.23889044337
10,120,128/1024,1,2,4,6122.61954693973
10,5,128/1024,1,4,4,1364.30913352462
10,10,128/1024,1,4,4,2454.90422940256
10,15,128/1024,1,4,4,3327.54726664081
10,20,128/1024,1,4,4,4105.69944517439
10,25,128/1024,1,4,4,4831.41594232331
10,30,128/1024,1,4,4,5521.40366191688
10,35,128/1024,1,4,4,6285.46865262267
10,40,128/1024,1,4,4,6965.36859800563
10,45,128/1024,1,4,4,7378.14032426886
10,50,128/1024,1,4,4,7586.61414231910
10,55,128/1024,1,4,4,7630.19762236775
10,60,128/1024,1,4,4,7712.08895949955
10,65,128/1024,1,4,4,7659.25807008123
10,70,128/1024,1,4,4,7649.12014640681
10,75,128/1024,1,4,4,7641.88934141692
10,80,128/1024,1,4,4,7710.63932525646
10,85,128/1024,1,4,4,7483.80273259964
10,90,128/1024,1,4,4,7200.46371504224
10,95,128/1024,1,4,4,7177.99666914164
10,100,128/1024,1,4,4,6724.05327030230
10,105,128/1024,1,4,4,6867.06514400304
10,110,128/1024,1,4,4,6822.09995319312
10,115,128/1024,1,4,4,6820.98183064531
10,120,128/1024,1,4,4,6800.31074511625
10,5,128/1024,1,8,4,1352.90438245457
10,10,128/1024,1,8,4,2428.59871822893
10,15,128/1024,1,8,4,3335.01470966232
10,20,128/1024,1,8,4,4134.85770761432
10,25,128/1024,1,8,4,4831.17101998464
10,30,128/1024,1,8,4,5600.26937601345
10,35,128/1024,1,8,4,6341.10986798787
10,40,128/1024,1,8,4,6916.81323935177
10,45,128/1024,1,8,4,7395.41866008104
10,50,128/1024,1,8,4,7616.05380552694
10,55,128/1024,1,8,4,7645.52089093363
10,60,128/1024,1,8,4,7692.94920163627
10,65,128/1024,1,8,4,7706.11869830041
10,70,128/1024,1,8,4,7725.78662812749
10,75,128/1024,1,8,4,7761.05935253894
10,80,128/1024,1,8,4,7821.47492309377
10,85,128/1024,1,8,4,7603.44263619372
10,90,128/1024,1,8,4,7457.03085173738
10,95,128/1024,1,8,4,7338.91010689522
10,100,128/1024,1,8,4,7344.63838980467
10,105,128/1024,1,8,4,7123.13564689272
10,110,128/1024,1,8,4,7051.24886464329
10,115,128/1024,1,8,4,6878.50421353477
10,120,128/1024,1,8,4,6741.60492153624
10,5,128/1024,1,16,4,1383.57489098830
10,10,128/1024,1,16,4,2449.92378065771
10,15,128/1024,1,16,4,3373.79612447763
10,20,128/1024,1,16,4,4091.37789205179
10,25,128/1024,1,16,4,4818.33109324988
10,30,128/1024,1,16,4,5588.06213880443
10,35,128/1024,1,16,4,6106.99289115891
10,40,128/1024,1,16,4,6778.30400190584
10,45,128/1024,1,16,4,7363.17226737489
10,50,128/1024,1,16,4,7506.13335172840
10,55,128/1024,1,16,4,7601.72431400726
10,60,128/1024,1,16,4,7691.44335766344
10,65,128/1024,1,16,4,7655.42829424491
10,70,128/1024,1,16,4,7607.26850535539
10,75,128/1024,1,16,4,7548.95113396464
10,80,128/1024,1,16,4,7723.15267077279
10,85,128/1024,1,16,4,7615.48511324194
10,90,128/1024,1,16,4,7562.43196021256
10,95,128/1024,1,16,4,7505.21264134139
10,100,128/1024,1,16,4,7360.47630643832
10,105,128/1024,1,16,4,7232.38112932381
10,110,128/1024,1,16,4,6831.93022365394
10,115,128/1024,1,16,4,6573.40812295791
10,120,128/1024,1,16,4,6582.74043262778
10,5,128/1024,80/1024,1,8,1333.93881384152
10,10,128/1024,80/1024,1,8,2302.43579252529
10,15,128/1024,80/1024,1,8,3060.31104207384
10,20,128/1024,80/1024,1,8,3546.90182190019
10,25,128/1024,80/1024,1,8,4092.86865242982
10,30,128/1024,80/1024,1,8,4512.44580305528
10,35,128/1024,80/1024,1,8,4885.64426413148
10,40,128/1024,80/1024,1,8,5118.93202504841
10,45,128/1024,80/1024,1,8,5343.02211046088
10,50,128/1024,80/1024,1,8,5322.89150809649
10,55,128/1024,80/1024,1,8,5398.90076894105
10,60,128/1024,80/1024,1,8,5471.85900487232
10,65,128/1024,80/1024,1,8,5403.89900402652
10,70,128/1024,80/1024,1,8,5335.16105339345
10,75,128/1024,80/1024,1,8,5198.79282890783
10,80,128/1024,80/1024,1,8,5168.14282052867
10,85,128/1024,80/1024,1,8,5323.96630110219
10,90,128/1024,80/1024,1,8,5332.24810036825
10,95,128/1024,80/1024,1,8,5202.12719130866
10,100,128/1024,80/1024,1,8,5098.92126584970
10,105,128/1024,80/1024,1,8,5083.41562133687
10,110,128/1024,80/1024,1,8,5144.86760507004
10,115,128/1024,80/1024,1,8,5140.73719589543
10,120,128/1024,80/1024,1,8,5006.83951597266
10,5,128/1024,512/1024,1,8,1325.85828594764
10,10,128/1024,512/1024,1,8,2280.44063758129
10,15,128/1024,512/1024,1,8,3023.53604520408
10,20,128/1024,512/1024,1,8,3673.60331075887
10,25,128/1024,512/1024,1,8,4088.48315029718
10,30,128/1024,512/1024,1,8,4547.59057305015
10,35,128/1024,512/1024,1,8,4887.73195756184
10,40,128/1024,512/1024,1,8,4967.10744040795
10,45,128/1024,512/1024,1,8,5131.56443458946
10,50,128/1024,512/1024,1,8,5184.94710527891
10,55,128/1024,512/1024,1,8,5233.00772973787
10,60,128/1024,512/1024,1,8,5248.10030691620
10,65,128/1024,512/1024,1,8,5198.72006674317
10,70,128/1024,512/1024,1,8,5509.56546117443
10,75,128/1024,512/1024,1,8,5491.37593699012
10,80,128/1024,512/1024,1,8,5275.91431319634
10,85,128/1024,512/1024,1,8,5249.59044908642
10,90,128/1024,512/1024,1,8,5237.21020309287
10,95,128/1024,512/1024,1,8,4949.46009621238
10,100,128/1024,512/1024,1,8,4866.99959248856
10,105,128/1024,512/1024,1,8,4750.29068673572
10,110,128/1024,512/1024,1,8,4803.97385358331
10,115,128/1024,512/1024,1,8,4735.67135387550
10,120,128/1024,512/1024,1,8,4742.65882853680
10,5,128/1024,1,2,8,1321.98788421958
10,10,128/1024,1,2,8,2341.78212680567
10,15,128/1024,1,2,8,3213.99923638142
10,20,128/1024,1,2,8,3972.51846284404
10,25,128/1024,1,2,8,4503.25453672684
10,30,128/1024,1,2,8,5018.23702087063
10,35,128/1024,1,2,8,5728.02395622523
10,40,128/1024,1,2,8,6202.03017571414
10,45,128/1024,1,2,8,6502.27731246570
10,50,128/1024,1,2,8,6876.72775632835
10,55,128/1024,1,2,8,7113.67921099790
10,60,128/1024,1,2,8,7266.70148975286
10,65,128/1024,1,2,8,6823.96361011013
10,70,128/1024,1,2,8,7134.14358742393
10,75,128/1024,1,2,8,7040.49972648713
10,80,128/1024,1,2,8,7128.60048780532
10,85,128/1024,1,2,8,6778.91704386890
10,90,128/1024,1,2,8,7047.79675217236
10,95,128/1024,1,2,8,7082.36296945510
10,100,128/1024,1,2,8,6872.62977366448
10,105,128/1024,1,2,8,6621.02300865932
10,110,128/1024,1,2,8,6457.00531952381
10,115,128/1024,1,2,8,6385.31739467379
10,120,128/1024,1,2,8,6117.29392871156
10,5,128/1024,1,4,8,1360.24057853486
10,10,128/1024,1,4,8,2462.50953466715
10,15,128/1024,1,4,8,3447.68616425052
10,20,128/1024,1,4,8,4229.61780587164
10,25,128/1024,1,4,8,4926.03699607135
10,30,128/1024,1,4,8,5758.98660737431
10,35,128/1024,1,4,8,6367.46737501242
10,40,128/1024,1,4,8,6976.28817439131
10,45,128/1024,1,4,8,7355.72364026212
10,50,128/1024,1,4,8,7581.95937217304
10,55,128/1024,1,4,8,7605.95502573484
10,60,128/1024,1,4,8,7774.56828303242
10,65,128/1024,1,4,8,7631.87125563686
10,70,128/1024,1,4,8,7676.31602682322
10,75,128/1024,1,4,8,7626.18889394013
10,80,128/1024,1,4,8,7507.06839471750
10,85,128/1024,1,4,8,7648.47903127095
10,90,128/1024,1,4,8,7425.08380902395
10,95,128/1024,1,4,8,7415.49780293464
10,100,128/1024,1,4,8,7267.59190671455
10,105,128/1024,1,4,8,6932.83401468614
10,110,128/1024,1,4,8,6923.62367105799
10,115,128/1024,1,4,8,6826.07131739354
10,120,128/1024,1,4,8,6740.84979267300
10,5,128/1024,1,8,8,1299.19648319596
10,10,128/1024,1,8,8,2442.73852298000
10,15,128/1024,1,8,8,3340.46069143882
10,20,128/1024,1,8,8,4142.46253534268
10,25,128/1024,1,8,8,4735.09667249666
10,30,128/1024,1,8,8,5558.20610283002
10,35,128/1024,1,8,8,6047.17870554394
10,40,128/1024,1,8,8,6660.61370117947
10,45,128/1024,1,8,8,7161.36199906436
10,50,128/1024,1,8,8,7439.65950049120
10,55,128/1024,1,8,8,7378.10049313408
10,60,128/1024,1,8,8,7504.45312914776
10,65,128/1024,1,8,8,7623.31682247555
10,70,128/1024,1,8,8,7691.93333322386
10,75,128/1024,1,8,8,7733.25543516495
10,80,128/1024,1,8,8,7699.26421498782
10,85,128/1024,1,8,8,7592.95180910230
10,90,128/1024,1,8,8,7654.43231957613
10,95,128/1024,1,8,8,7427.35656294801
10,100,128/1024,1,8,8,7262.97953392472
10,105,128/1024,1,8,8,6819.42962366880
10,110,128/1024,1,8,8,7035.36638563716
10,115,128/1024,1,8,8,6908.39881918941
10,120,128/1024,1,8,8,6744.01895390977
10,5,128/1024,1,16,8,1357.11171043969
10,10,128/1024,1,16,8,2290.70562047590
10,15,128/1024,1,16,8,3335.19953081455
10,20,128/1024,1,16,8,4146.62945507855
10,25,128/1024,1,16,8,4898.79739485169
10,30,128/1024,1,16,8,5718.50678514918
10,35,128/1024,1,16,8,6249.37998407851
10,40,128/1024,1,16,8,6934.20787845859
10,45,128/1024,1,16,8,7346.15516578182
10,50,128/1024,1,16,8,7376.81841253753
10,55,128/1024,1,16,8,7650.33241061389
10,60,128/1024,1,16,8,7532.71238799777
10,65,128/1024,1,16,8,7252.07046002085
10,70,128/1024,1,16,8,7743.93653550166
10,75,128/1024,1,16,8,7664.88611831752
10,80,128/1024,1,16,8,7671.99373327884
10,85,128/1024,1,16,8,7631.98600792646
10,90,128/1024,1,16,8,7614.28246773769
10,95,128/1024,1,16,8,7391.19517367533
10,100,128/1024,1,16,8,7208.85350708313
10,105,128/1024,1,16,8,7063.20159821333
10,110,128/1024,1,16,8,6983.62940119412
10,115,128/1024,1,16,8,6917.59812043561
10,120,128/1024,1,16,8,6713.52545274022
10,5,128/1024,80/1024,1,16,1311.34294366348
10,10,128/1024,80/1024,1,16,2272.57528371333
10,15,128/1024,80/1024,1,16,2985.37564738742
10,20,128/1024,80/1024,1,16,3539.37675759323
10,25,128/1024,80/1024,1,16,4051.60422238168
10,30,128/1024,80/1024,1,16,4476.67940950676
10,35,128/1024,80/1024,1,16,4824.14855668228
10,40,128/1024,80/1024,1,16,5208.70777631029
10,45,128/1024,80/1024,1,16,5120.28884234955
10,50,128/1024,80/1024,1,16,5258.87193693964
10,55,128/1024,80/1024,1,16,5278.77897396515
10,60,128/1024,80/1024,1,16,5231.92195539212
10,65,128/1024,80/1024,1,16,5221.68124510530
10,70,128/1024,80/1024,1,16,5201.81161212123
10,75,128/1024,80/1024,1,16,5135.34566689570
10,80,128/1024,80/1024,1,16,5100.31241895817
10,85,128/1024,80/1024,1,16,5059.99019119984
10,90,128/1024,80/1024,1,16,5057.65861484580
10,95,128/1024,80/1024,1,16,5080.75784273982
10,100,128/1024,80/1024,1,16,4955.26546535584
10,105,128/1024,80/1024,1,16,5100.74911201296
10,110,128/1024,80/1024,1,16,5032.57202427533
10,115,128/1024,80/1024,1,16,5048.20335718005
10,120,128/1024,80/1024,1,16,4938.76422271881
10,5,128/1024,512/1024,1,16,1304.44876974974
10,10,128/1024,512/1024,1,16,2238.91724724696
10,15,128/1024,512/1024,1,16,3061.66419624288
10,20,128/1024,512/1024,1,16,3589.42045645495
10,25,128/1024,512/1024,1,16,4051.27432748637
10,30,128/1024,512/1024,1,16,4533.23264933724
10,35,128/1024,512/1024,1,16,4884.74390869665
10,40,128/1024,512/1024,1,16,5131.87474292780
10,45,128/1024,512/1024,1,16,5398.56364624304
10,50,128/1024,512/1024,1,16,5513.54727980241
10,55,128/1024,512/1024,1,16,5452.75282857407
10,60,128/1024,512/1024,1,16,5487.54265655184
10,65,128/1024,512/1024,1,16,5604.58656836965
10,70,128/1024,512/1024,1,16,5505.66623987117
10,75,128/1024,512/1024,1,16,5422.64813374782
10,80,128/1024,512/1024,1,16,5110.53977470244
10,85,128/1024,512/1024,1,16,5243.38003763829
10,90,128/1024,512/1024,1,16,5199.39907139411
10,95,128/1024,512/1024,1,16,5088.78164341211
10,100,128/1024,512/1024,1,16,5335.13912806855
10,105,128/1024,512/1024,1,16,5149.58379392620
10,110,128/1024,512/1024,1,16,5212.02583370769
10,115,128/1024,512/1024,1,16,5123.56701773703
10,120,128/1024,512/1024,1,16,5058.10869828833
10,5,128/1024,1,2,16,1331.21160315724
10,10,128/1024,1,2,16,2393.67637512874
10,15,128/1024,1,2,16,3245.01430927862
10,20,128/1024,1,2,16,3932.16268023768
10,25,128/1024,1,2,16,4324.62084002184
10,30,128/1024,1,2,16,4931.93252221000
10,35,128/1024,1,2,16,5403.46075517339
10,40,128/1024,1,2,16,6040.24459430071
10,45,128/1024,1,2,16,6539.38868305459
10,50,128/1024,1,2,16,6768.26645668215
10,55,128/1024,1,2,16,6905.73885283963
10,60,128/1024,1,2,16,7130.00502753937
10,65,128/1024,1,2,16,7078.10791525214
10,70,128/1024,1,2,16,6713.30886027920
10,75,128/1024,1,2,16,7155.05794088436
10,80,128/1024,1,2,16,7056.85737478219
10,85,128/1024,1,2,16,7102.78558019926
10,90,128/1024,1,2,16,7067.26141440845
10,95,128/1024,1,2,16,6948.51026696397
10,100,128/1024,1,2,16,6905.72489814924
10,105,128/1024,1,2,16,6829.85516076901
10,110,128/1024,1,2,16,6484.63081971220
10,115,128/1024,1,2,16,6367.15978604527
10,120,128/1024,1,2,16,6222.42905106458
10,5,128/1024,1,4,16,1384.22025073899
10,10,128/1024,1,4,16,2443.31655041986
10,15,128/1024,1,4,16,3334.97617432819
10,20,128/1024,1,4,16,4098.19398948768
10,25,128/1024,1,4,16,4801.81724437248
10,30,128/1024,1,4,16,5751.26111943690
10,35,128/1024,1,4,16,6375.25580758608
10,40,128/1024,1,4,16,7029.64551260947
10,45,128/1024,1,4,16,7409.31246789306
10,50,128/1024,1,4,16,7559.44884675742
10,55,128/1024,1,4,16,7602.68018148711
10,60,128/1024,1,4,16,7725.50447353685
10,65,128/1024,1,4,16,7612.35348078953
10,70,128/1024,1,4,16,7481.92223446337
10,75,128/1024,1,4,16,7168.40087167106
10,80,128/1024,1,4,16,7391.79497204091
10,85,128/1024,1,4,16,7366.83856801752
10,90,128/1024,1,4,16,7367.95198080888
10,95,128/1024,1,4,16,7389.40212069893
10,100,128/1024,1,4,16,7182.84686056979
10,105,128/1024,1,4,16,7047.44139749688
10,110,128/1024,1,4,16,6962.32592466174
10,115,128/1024,1,4,16,6816.31292842021
10,120,128/1024,1,4,16,6780.20846289989
10,5,128/1024,1,8,16,1310.21926347358
10,10,128/1024,1,8,16,2435.56279496264
10,15,128/1024,1,8,16,3413.73109615113
10,20,128/1024,1,8,16,4160.14307671243
10,25,128/1024,1,8,16,4943.40030132543
10,30,128/1024,1,8,16,5671.80994534077
10,35,128/1024,1,8,16,6263.85244872005
10,40,128/1024,1,8,16,6946.94187603785
10,45,128/1024,1,8,16,7250.02123172638
10,50,128/1024,1,8,16,7236.32211400891
10,55,128/1024,1,8,16,6762.90166548236
10,60,128/1024,1,8,16,7470.41024925417
10,65,128/1024,1,8,16,7405.15745522260
10,70,128/1024,1,8,16,7344.21866202389
10,75,128/1024,1,8,16,7472.29961363293
10,80,128/1024,1,8,16,7503.31685062284
10,85,128/1024,1,8,16,7431.15199406711
10,90,128/1024,1,8,16,7537.75025520620
10,95,128/1024,1,8,16,7456.71738840373
10,100,128/1024,1,8,16,7377.04724657677
10,105,128/1024,1,8,16,7240.32500452683
10,110,128/1024,1,8,16,7066.50131166572
10,115,128/1024,1,8,16,6944.30627004951
10,120,128/1024,1,8,16,6872.45363923052
10,5,128/1024,1,16,16,1357.17929325716
10,10,128/1024,1,16,16,2441.46475295683
10,15,128/1024,1,16,16,3408.45625988964
10,20,128/1024,1,16,16,4227.06814560309
10,25,128/1024,1,16,16,4892.13728196083
10,30,128/1024,1,16,16,5663.64738815535
10,35,128/1024,1,16,16,6345.08364010748
10,40,128/1024,1,16,16,7058.74770580709
10,45,128/1024,1,16,16,7349.78748496765
10,50,128/1024,1,16,16,7593.78080445148
10,55,128/1024,1,16,16,7585.70978254757
10,60,128/1024,1,16,16,7786.14304403040
10,65,128/1024,1,16,16,7780.46892160653
10,70,128/1024,1,16,16,7642.99694363286
10,75,128/1024,1,16,16,7240.24459985945
10,80,128/1024,1,16,16,7472.09855174913
10,85,128/1024,1,16,16,7362.48939541109
10,90,128/1024,1,16,16,7398.39667591922
10,95,128/1024,1,16,16,7363.12183979962
10,100,128/1024,1,16,16,7393.10062101616
10,105,128/1024,1,16,16,7197.58588466409
10,110,128/1024,1,16,16,6971.18319758979
10,115,128/1024,1,16,16,6654.97252116189
10,120,128/1024,1,16,16,6605.04471169124
10,5,512/1024,80/1024,1,4,1352.77183717183
10,10,512/1024,80/1024,1,4,2360.73409676672
10,15,512/1024,80/1024,1,4,3161.72076517203
10,20,512/1024,80/1024,1,4,3763.60489814168
10,25,512/1024,80/1024,1,4,4274.50778821191
10,30,512/1024,80/1024,1,4,4748.81226734852
10,35,512/1024,80/1024,1,4,5136.15584955731
10,40,512/1024,80/1024,1,4,5441.23678376241
10,45,512/1024,80/1024,1,4,5692.26897870849
10,50,512/1024,80/1024,1,4,5790.36633687425
10,55,512/1024,80/1024,1,4,5428.45551195699
10,60,512/1024,80/1024,1,4,5747.56817707246
10,65,512/1024,80/1024,1,4,5634.12129596065
10,70,512/1024,80/1024,1,4,5338.67178055266
10,75,512/1024,80/1024,1,4,5431.50863044558
10,80,512/1024,80/1024,1,4,5592.48593984559
10,85,512/1024,80/1024,1,4,5668.92691802750
10,90,512/1024,80/1024,1,4,5639.63231871160
10,95,512/1024,80/1024,1,4,5414.44601799343
10,100,512/1024,80/1024,1,4,5367.14603812360
10,105,512/1024,80/1024,1,4,5305.39356200308
10,110,512/1024,80/1024,1,4,5439.66463842360
10,115,512/1024,80/1024,1,4,5343.09369396230
10,120,512/1024,80/1024,1,4,5269.78739436371
10,5,512/1024,512/1024,1,4,1322.88257093916
10,10,512/1024,512/1024,1,4,2342.22016377618
10,15,512/1024,512/1024,1,4,3196.87564342751
10,20,512/1024,512/1024,1,4,3824.20000915270
10,25,512/1024,512/1024,1,4,4263.87534268824
10,30,512/1024,512/1024,1,4,4590.88139814506
10,35,512/1024,512/1024,1,4,5052.49954271563
10,40,512/1024,512/1024,1,4,5301.83918638430
10,45,512/1024,512/1024,1,4,5476.37386865540
10,50,512/1024,512/1024,1,4,5595.79830045366
10,55,512/1024,512/1024,1,4,5685.18803239711
10,60,512/1024,512/1024,1,4,5876.24526340926
10,65,512/1024,512/1024,1,4,5819.62956906393
10,70,512/1024,512/1024,1,4,5936.04086124015
10,75,512/1024,512/1024,1,4,5835.72786404343
10,80,512/1024,512/1024,1,4,5692.92254075805
10,85,512/1024,512/1024,1,4,5653.90807185999
10,90,512/1024,512/1024,1,4,5574.17797672019
10,95,512/1024,512/1024,1,4,5401.95140395730
10,100,512/1024,512/1024,1,4,5409.56193380632
10,105,512/1024,512/1024,1,4,5309.70225017800
10,110,512/1024,512/1024,1,4,4983.23693022674
10,115,512/1024,512/1024,1,4,5060.32975199507
10,120,512/1024,512/1024,1,4,4910.67121994782
10,5,512/1024,1,2,4,1350.33160425997
10,10,512/1024,1,2,4,2469.29396881691
10,15,512/1024,1,2,4,3320.46309101017
10,20,512/1024,1,2,4,4017.09801663310
10,25,512/1024,1,2,4,4624.48476447002
10,30,512/1024,1,2,4,5261.83368134627
10,35,512/1024,1,2,4,5873.44331586756
10,40,512/1024,1,2,4,6508.39021737263
10,45,512/1024,1,2,4,7010.30230285321
10,50,512/1024,1,2,4,7249.64632350133
10,55,512/1024,1,2,4,7349.43037196994
10,60,512/1024,1,2,4,7491.18357679570
10,65,512/1024,1,2,4,7467.97680613072
10,70,512/1024,1,2,4,7481.38086207713
10,75,512/1024,1,2,4,7465.83012893839
10,80,512/1024,1,2,4,7504.20963046665
10,85,512/1024,1,2,4,7131.23898043588
10,90,512/1024,1,2,4,7316.67040683070
10,95,512/1024,1,2,4,7344.68614508659
10,100,512/1024,1,2,4,7276.06257477400
10,105,512/1024,1,2,4,7123.06076134471
10,110,512/1024,1,2,4,6819.60502123845
10,115,512/1024,1,2,4,6611.80619366158
10,120,512/1024,1,2,4,6355.41828665842
10,5,512/1024,1,4,4,1420.78496826052
10,10,512/1024,1,4,4,2539.23451929234
10,15,512/1024,1,4,4,3481.50803278511
10,20,512/1024,1,4,4,4204.81298090545
10,25,512/1024,1,4,4,5001.25623462036
10,30,512/1024,1,4,4,5810.63908628123
10,35,512/1024,1,4,4,6600.36786120589
10,40,512/1024,1,4,4,7208.16457920105
10,45,512/1024,1,4,4,7455.00645484096
10,50,512/1024,1,4,4,7754.85894418929
10,55,512/1024,1,4,4,7836.99540101701
10,60,512/1024,1,4,4,8134.05911598691
10,65,512/1024,1,4,4,8188.58865916617
10,70,512/1024,1,4,4,8198.98590136083
10,75,512/1024,1,4,4,7918.58311651855
10,80,512/1024,1,4,4,7972.16823649383
10,85,512/1024,1,4,4,7963.27348458837
10,90,512/1024,1,4,4,7982.24005185257
10,95,512/1024,1,4,4,7900.79224399016
10,100,512/1024,1,4,4,7688.11152900149
10,105,512/1024,1,4,4,7380.51516044695
10,110,512/1024,1,4,4,7191.90901240645
10,115,512/1024,1,4,4,7044.54792542045
10,120,512/1024,1,4,4,6962.08344667515
10,5,512/1024,1,8,4,1394.14239480290
10,10,512/1024,1,8,4,2555.50796008652
10,15,512/1024,1,8,4,3470.87412513988
10,20,512/1024,1,8,4,4247.18031790869
10,25,512/1024,1,8,4,5023.97917916635
10,30,512/1024,1,8,4,5790.89814479937
10,35,512/1024,1,8,4,6493.49097326048
10,40,512/1024,1,8,4,7252.82575576647
10,45,512/1024,1,8,4,7634.00464525980
10,50,512/1024,1,8,4,7896.94913956483
10,55,512/1024,1,8,4,7965.55775095401
10,60,512/1024,1,8,4,8170.50097199693
10,65,512/1024,1,8,4,8016.73747781453
10,70,512/1024,1,8,4,7823.85579681081
10,75,512/1024,1,8,4,7934.09164339075
10,80,512/1024,1,8,4,7707.28274513283
10,85,512/1024,1,8,4,7391.85716948143
10,90,512/1024,1,8,4,7726.79053444565
10,95,512/1024,1,8,4,7733.26254287803
10,100,512/1024,1,8,4,7609.17981763432
10,105,512/1024,1,8,4,7589.36199711444
10,110,512/1024,1,8,4,7462.39099039555
10,115,512/1024,1,8,4,7294.30865355123
10,120,512/1024,1,8,4,7157.99989388624
10,5,512/1024,1,16,4,1384.08927358049
10,10,512/1024,1,16,4,2550.04409567933
10,15,512/1024,1,16,4,3522.65224149265
10,20,512/1024,1,16,4,4368.12782008977
10,25,512/1024,1,16,4,5102.54908634788
10,30,512/1024,1,16,4,5960.74493555087
10,35,512/1024,1,16,4,6699.67041592900
10,40,512/1024,1,16,4,7301.51137648325
10,45,512/1024,1,16,4,7714.16279932346
10,50,512/1024,1,16,4,7951.10913279000
10,55,512/1024,1,16,4,7940.68301647577
10,60,512/1024,1,16,4,7955.17439537232
10,65,512/1024,1,16,4,8029.46100360043
10,70,512/1024,1,16,4,8017.05454739056
10,75,512/1024,1,16,4,8141.44261552362
10,80,512/1024,1,16,4,8058.39836173830
10,85,512/1024,1,16,4,7850.01507769086
10,90,512/1024,1,16,4,7692.66109003707
10,95,512/1024,1,16,4,7761.42864729520
10,100,512/1024,1,16,4,7686.39986516753
10,105,512/1024,1,16,4,7490.99785343977
10,110,512/1024,1,16,4,7280.57709716012
10,115,512/1024,1,16,4,7263.42428236755
10,120,512/1024,1,16,4,7106.70698781229
10,5,512/1024,80/1024,1,8,1403.32361627772
10,10,512/1024,80/1024,1,8,2371.11217625706
10,15,512/1024,80/1024,1,8,3192.99398437558
