alg,clients,shards,threads,replica,tput
2PL,20,1,1,5,326.3390553291334
2PL,20,1,1,7,287.95194157533336
2PL,20,1,2,1,494.24479478586665
2PL,20,1,2,3,390.46269809449996
2PL,20,1,2,5,327.5055482786667
2PL,20,1,2,7,292.87406512186664
2PL,20,1,3,1,467.04279275716664
2PL,20,1,3,3,379.74526253466667
2PL,20,1,3,5,334.25903982383335
2PL,20,1,3,7,290.0040554811
2PL,20,1,4,1,465.3140191073667
2PL,20,1,4,3,381.1737954851333
2PL,20,1,4,5,347.3529236264667
2PL,20,1,4,7,301.23592539453335
2PL,20,1,8,1,466.9114048835666
2PL,20,1,8,3,388.3198422130333
2PL,20,1,8,5,339.52868839493334
2PL,20,1,8,7,305.11999944136664
2PL,20,2,1,1,612.9847146281667
2PL,20,2,1,3,518.6824984393667
2PL,20,2,1,5,439.7443561041667
2PL,20,2,1,7,394.24543213359993
2PL,20,2,2,1,592.7099659085999
2PL,20,2,2,3,479.44363455803335
2PL,20,2,2,5,413.80251778443335
2PL,20,2,2,7,378.4310335131
2PL,20,2,3,1,553.5270459342333
2PL,20,2,3,3,520.2297960158334
2PL,20,2,3,5,433.820343884
2PL,20,2,3,7,388.0576751117333
2PL,20,2,4,1,587.0203187420334
2PL,20,2,4,3,509.5320474283333
2PL,20,2,4,5,436.6595575587
2PL,20,2,4,7,379.2857803240667
2PL,20,2,8,1,550.7704027571
2PL,20,2,8,3,494.59543872139994
2PL,20,2,8,5,447.6582695928
2PL,20,2,8,7,395.19195182489995
2PL,20,4,1,1,735.5874526358001
2PL,20,4,1,3,605.2122962754667
2PL,20,4,1,5,520.3830942157666
2PL,20,4,2,1,700.0065496867668
2PL,20,4,2,3,557.4310390846666
2PL,20,4,2,5,509.80479728946665
2PL,20,4,2,7,447.9824928185667
2PL,20,4,3,1,668.0341214035667
2PL,20,4,3,3,586.2862780530667
2PL,20,4,3,5,508.9887847664666
2PL,20,4,3,7,472.2812208332
2PL,20,4,4,1,633.6789435142999
2PL,20,4,4,3,556.3119498105999
2PL,20,4,4,5,486.28129866213334
2PL,20,4,4,7,429.8942700595
2PL,20,4,8,1,621.2420340901334
2PL,20,4,8,3,572.7651888487
2PL,20,4,8,5,472.82969578333336
2PL,20,4,8,7,455.54106324593334
2PL,20,8,1,1,824.8453146665333
2PL,20,8,1,3,661.6114866796
2PL,20,8,2,1,738.2086925468999
2PL,20,8,2,3,629.1478983535334
2PL,20,8,2,5,543.7092597311666
2PL,20,8,3,1,692.6831606494001
2PL,20,8,3,3,646.4841547612
2PL,20,8,3,5,572.9809438639332
2PL,20,8,3,7,504.4593199122334
2PL,20,8,4,1,694.0032756938667
2PL,20,8,4,3,603.8916513643334
2PL,20,8,4,5,540.2290850249333
2PL,20,8,4,7,469.4351534486
2PL,20,8,8,1,636.5585563380668
2PL,20,8,8,3,583.5279190728
2PL,20,8,8,5,517.2683839086667
2PL,20,8,8,7,454.57364476475
2PL,20,16,1,1,838.4985131405666
2PL,20,16,2,1,771.9994285899334
2PL,20,16,2,3,652.5269071055333
2PL,20,16,3,1,755.2498827862333
2PL,20,16,3,3,673.4152447122333
2PL,20,16,4,1,721.2383708736667
2PL,20,16,4,3,633.4923908490999
2PL,20,16,4,5,557.1210041646333
2PL,20,16,8,1,693.0308795462666
2PL,20,16,8,3,625.2688730671667
2PL,20,16,8,5,542.7868066797668
2PL,20,16,8,7,482.60217679696666
2PL,20,32,2,1,804.7844959832
2PL,20,32,3,1,779.1909119336
2PL,20,32,4,1,758.0385614350333
2PL,20,32,4,3,597.156295008
2PL,20,32,8,1,717.0656867761
2PL,20,32,8,3,630.4329412207
2PL,20,32,8,5,571.5117451319334
2PL,20,64,3,1,793.1040787195
2PL,20,64,4,1,779.4035403916
2PL,20,64,8,1,730.9631615713
2PL,20,128,8,1,739.5228578177666
2PL,40,1,1,1,454.01702252646663
2PL,40,1,1,3,374.8379265132
2PL,40,1,1,5,311.20747335153334
2PL,40,1,1,7,266.8946061821667
2PL,40,1,2,1,454.5143823302
2PL,40,1,2,3,381.1435229764667
2PL,40,1,2,5,306.0487635064333
2PL,40,1,2,7,272.3903885801
2PL,40,1,3,1,450.97165346630004
2PL,40,1,3,3,372.6954575774333
2PL,40,1,3,5,311.0971885185
2PL,40,1,3,7,264.3978627898667
2PL,40,1,4,1,461.61665766523333
2PL,40,1,4,3,370.04297537976663
2PL,40,1,4,5,300.72076024213334
2PL,40,1,4,7,268.5555382343
2PL,40,1,8,1,445.87742786623335
2PL,40,1,8,3,364.7106803030333
2PL,40,1,8,5,307.6407672909
2PL,40,1,8,7,281.52893821876665
2PL,40,2,1,1,601.4629686628667
2PL,40,2,1,3,497.5062568307667
2PL,40,2,1,5,424.05584511583334
2PL,40,2,1,7,370.21052184113336
2PL,40,2,2,1,565.7578523594333
2PL,40,2,2,3,481.8926377655
2PL,40,2,2,5,407.3549613139
2PL,40,2,2,7,365.4610141420333
2PL,40,2,3,1,569.5229590549999
2PL,40,2,3,3,489.8860192428333
2PL,40,2,3,5,409.4041456459666
2PL,40,2,3,7,361.25222857529997
2PL,40,2,4,1,562.7846337651
2PL,40,2,4,3,482.6257750993
2PL,40,2,4,5,418.8992286015
2PL,40,2,4,7,366.51800368153334
2PL,40,2,8,1,540.7629536677333
2PL,40,2,8,3,466.1736719415333
2PL,40,2,8,5,422.02689358746665
2PL,40,2,8,7,373.72875275633334
2PL,40,4,1,1,697.4736162055
2PL,40,4,1,3,577.2541234749
2PL,40,4,1,5,509.08083783666666
2PL,40,4,2,1,653.5060556065
2PL,40,4,2,3,553.8531418068
2PL,40,4,2,5,483.8189814057
2PL,40,4,2,7,433.20986990853334
2PL,40,4,3,1,667.3897167534666
2PL,40,4,3,3,566.9879791798334
2PL,40,4,3,5,493.5274964092667
2PL,40,4,3,7,435.2587402203333
2PL,40,4,4,1,649.3050389322001
2PL,40,4,4,3,561.4510961465667
2PL,40,4,4,5,472.3123783736333
2PL,40,4,4,7,430.54721080273333
2PL,40,4,8,1,619.6381100059667
2PL,40,4,8,3,560.4598691028
2PL,40,4,8,5,476.64528629060004
2PL,40,4,8,7,436.96295087029995
2PL,40,8,1,1,733.4968124550666
2PL,40,8,1,3,631.8970709624
2PL,40,8,2,1,710.4626991878
2PL,40,8,2,3,598.06417293
2PL,40,8,2,5,531.2152717941666
2PL,40,8,3,1,698.9983085439667
2PL,40,8,3,3,618.3603841717332
2PL,40,8,3,5,538.6977981204001
2PL,40,8,3,7,472.92360370356664
2PL,40,8,4,1,678.4289381601001
2PL,40,8,4,3,600.7565363236666
2PL,40,8,4,5,521.6555024771334
2PL,40,8,4,7,462.7077614644666
2PL,40,8,8,1,665.9286775194666
2PL,40,8,8,3,570.4405523514333
2PL,40,8,8,5,506.71998651306666
2PL,40,8,8,7,442.01135825955
2PL,40,16,1,1,776.1326466174665
2PL,40,16,2,1,733.41868696
2PL,40,16,2,3,635.0921352411334
2PL,40,16,3,1,737.7652428766
2PL,40,16,3,3,647.1451792618333
2PL,40,16,4,1,740.6649654544667
2PL,40,16,4,3,633.7007533177666
2PL,40,16,4,5,535.6935970415667
2PL,40,16,8,1,679.5424330080667
2PL,40,16,8,3,613.9669242365
2PL,40,16,8,5,540.8012506656333
2PL,40,16,8,7,453.72829831536666
2PL,40,32,2,1,771.5886673424666
2PL,40,32,3,1,761.1855676101335
2PL,40,32,4,1,738.9414758269
2PL,40,32,4,3,610.2460617064334
2PL,40,32,8,1,713.2263972071333
2PL,40,32,8,3,626.7610766152667
2PL,40,32,8,5,527.9692373610334
2PL,40,64,3,1,738.4141665521499
2PL,40,64,4,1,712.8136844860334
2PL,40,64,8,1,729.6651837806334
2PL,40,128,8,1,696.7938306766999
2PL,80,1,1,1,378.7572633851333
2PL,80,1,1,3,308.2992376460667
2PL,80,1,1,5,252.36344204776665
2PL,80,1,1,7,223.4625363736
2PL,80,1,2,1,377.46080063436665
2PL,80,1,2,3,318.36206552753333
2PL,80,1,2,5,249.45164396663333
2PL,80,1,2,7,217.51699506126667
2PL,80,1,3,1,391.3159564355
2PL,80,1,3,3,309.8700245145
2PL,80,1,3,5,250.68050180423333
2PL,80,1,3,7,209.38296073434998
2PL,80,1,4,1,379.9128056527
2PL,80,1,4,3,309.15927278793333
2PL,80,1,4,5,249.733042523
2PL,80,1,4,7,219.44466272163334
2PL,80,1,8,1,359.7898152107667
2PL,80,1,8,3,301.01504210859997
2PL,80,1,8,5,259.0003606981667
2PL,80,1,8,7,232.21788983836666
2PL,80,2,1,1,477.42809974983334
2PL,80,2,1,3,396.9547180989666
2PL,80,2,1,5,331.31281419526664
2PL,80,2,1,7,294.96514167656665
2PL,80,2,2,1,450.17161238513336
2PL,80,2,2,3,407.2582678363333
2PL,80,2,2,5,331.2971121109333
2PL,80,2,2,7,284.42856795246666
2PL,80,2,3,1,452.05908129909994
2PL,80,2,3,3,403.67268144850004
2PL,80,2,3,5,331.6808553703
2PL,80,2,3,7,282.2245959792333
2PL,80,2,4,1,462.97895590030004
2PL,80,2,4,3,408.6613932467333
2PL,80,2,4,5,327.46624196863337
2PL,80,2,4,7,288.63524429906664
2PL,80,2,8,1,436.19337891583336
2PL,80,2,8,3,393.6498220835333
2PL,80,2,8,5,337.01416941133334
2PL,80,2,8,7,304.9329444796
2PL,80,4,1,1,536.7826102413
2PL,80,4,1,3,454.70745234863335
2PL,80,4,1,5,376.37161615276665
2PL,80,4,2,1,518.8724131504
2PL,80,4,2,3,478.364320242
2PL,80,4,2,5,386.0209527497
2PL,80,4,2,7,336.9061732141667
2PL,80,4,3,1,522.496190373
2PL,80,4,3,3,468.2461648344667
2PL,80,4,3,5,380.07240783586667
2PL,80,4,3,7,327.9147859976333
2PL,80,4,4,1,511.8660354212
2PL,80,4,4,3,441.6641687825
2PL,80,4,4,5,376.43032917593337
2PL,80,4,4,7,328.31300408896664
2PL,80,4,8,1,497.92236853006665
2PL,80,4,8,3,445.39138160506667
2PL,80,4,8,5,373.1798827576333
2PL,80,4,8,7,328.2117950929
2PL,80,8,1,1,578.9455965066333
2PL,80,8,1,3,487.12958027823333
2PL,80,8,2,1,553.5117376993667
2PL,80,8,2,3,472.31556459326663
2PL,80,8,2,5,409.39507595096666
2PL,80,8,3,1,558.9460391433666
2PL,80,8,3,3,486.4773736941667
2PL,80,8,3,5,411.8397720040666
2PL,80,8,3,7,347.35538991256664
2PL,80,8,4,1,553.2017797409
2PL,80,8,4,3,470.70753053016665
2PL,80,8,4,5,400.2131480978333
2PL,80,8,4,7,341.1546745666
2PL,80,8,8,1,512.9623885249333
2PL,80,8,8,3,446.62452681456665
2PL,80,8,8,5,380.6631753353667
2PL,80,8,8,7,323.2002520087
2PL,80,16,1,1,570.5099151713333
2PL,80,16,2,1,568.6480680639334
2PL,80,16,2,3,489.2057662104
2PL,80,16,3,1,574.0006613941667
2PL,80,16,3,3,486.7227722328333
2PL,80,16,4,1,577.7961501055333
2PL,80,16,4,3,465.1866761703333
2PL,80,16,4,5,386.3039932432334
2PL,80,16,8,1,527.9969418248
2PL,80,16,8,3,439.5256173198333
2PL,80,16,8,5,380.2179516877333
2PL,80,16,8,7,329.1125135076666
2PL,80,32,2,1,584.019959904
2PL,80,32,3,1,572.5376384850666
2PL,80,32,4,1,570.1811434043001
2PL,80,32,4,3,443.7328284232667
2PL,80,32,8,1,541.5996687837668
2PL,80,32,8,3,448.8851850406333
2PL,80,32,8,5,372.2683030852
2PL,80,64,3,1,534.2930555186667
2PL,80,64,4,1,536.4634354005001
2PL,80,64,8,1,540.2382507799666
2PL,80,128,8,1,495.39982719026665
2PL,100,1,1,1,285.1659587014
2PL,100,1,1,3,256.79314981325
2PL,100,1,1,5,224.41130936885
2PL,100,1,1,7,203.76222045126002
2PL,100,1,2,1,294.08678912949995
2PL,100,1,2,3,251.69594537845
2PL,100,1,2,5,222.29266840475
2PL,100,1,2,7,205.441061009755
2PL,100,1,3,1,281.22863036235003
2PL,100,1,3,3,238.8965814234
2PL,100,1,3,5,216.52480408097
2PL,100,1,3,7,198.2783131105
2PL,100,1,4,1,292.67915052165006
2PL,100,1,4,3,246.48188085430002
2PL,100,1,4,5,220.909803454655
2PL,100,1,4,7,196.85393977091002
2PL,100,1,8,1,286.99888310206666
2PL,100,1,8,3,237.2746945990667
2PL,100,1,8,5,211.2307294629733
2PL,100,1,8,7,199.67395639815663
2PL,100,2,1,1,596.3869962937
2PL,100,2,1,3,542.352039754
2PL,100,2,1,5,529.31368649265
2PL,100,2,1,7,500.31414046295004
2PL,100,2,2,1,570.37950288895
2PL,100,2,2,3,558.2464349246
2PL,100,2,2,5,515.91096923365
2PL,100,2,2,7,473.66003717085
2PL,100,2,3,1,589.6988024852501
2PL,100,2,3,3,534.0911619922
2PL,100,2,3,5,509.4414634104
2PL,100,2,3,7,483.46403417915
2PL,100,2,4,1,582.5840981889501
2PL,100,2,4,3,536.54352698805
2PL,100,2,4,5,506.2639507257
2PL,100,2,4,7,490.1659533294
2PL,100,2,8,1,573.8246947562333
2PL,100,2,8,3,524.8309904317666
2PL,100,2,8,5,504.7139152822333
2PL,100,2,8,7,486.5373489027667
2PL,100,4,1,1,809.94418567575
2PL,100,4,1,3,784.25251501895
2PL,100,4,1,5,781.9529150287
2PL,100,4,2,1,787.89350575375
2PL,100,4,2,3,782.5804705246
2PL,100,4,2,5,747.9712588916
2PL,100,4,2,7,739.8596121775
2PL,100,4,3,1,790.2770275646501
2PL,100,4,3,3,793.4012378507
2PL,100,4,3,5,765.6360868944
2PL,100,4,3,7,725.33279239135
2PL,100,4,4,1,804.55898771405
2PL,100,4,4,3,776.804671051
2PL,100,4,4,5,744.1929323232
2PL,100,4,4,7,721.49402722705
2PL,100,4,8,1,790.5202840243
2PL,100,4,8,3,759.9349409378
2PL,100,4,8,5,749.5659481099668
2PL,100,4,8,7,726.9022841457667
2PL,100,8,1,1,920.7425501156499
2PL,100,8,1,3,903.19477526365
2PL,100,8,2,1,909.711942506
2PL,100,8,2,3,914.30100810645
2PL,100,8,2,5,862.02654769915
2PL,100,8,3,1,913.11270989795
2PL,100,8,3,3,895.4845516742
2PL,100,8,3,5,900.5397201254001
2PL,100,8,3,7,889.30770816145
2PL,100,8,4,1,931.9932556505
2PL,100,8,4,3,901.7767711744
2PL,100,8,4,5,880.5002093493999
2PL,100,8,4,7,867.0863064387
2PL,100,8,8,1,879.8837886279666
2PL,100,8,8,3,883.6446334315
2PL,100,8,8,5,857.5723623879667
2PL,100,8,8,7,854.4418735473668
2PL,100,16,1,1,954.69737679585
2PL,100,16,2,1,967.4838487378499
2PL,100,16,2,3,976.5677495506
2PL,100,16,3,1,961.9297597461
2PL,100,16,3,3,966.32579154345
2PL,100,16,3,5,980.0339470493
2PL,100,16,4,1,965.99078347845
2PL,100,16,4,3,959.1691798619001
2PL,100,16,4,5,946.8806309505
2PL,100,16,8,1,952.1622371913667
2PL,100,16,8,3,956.8572672039332
2PL,100,16,8,5,946.5680033902667
2PL,100,16,8,7,935.7413719100667
2PL,100,32,2,1,934.6287305773001
2PL,100,32,3,1,941.12192239305
2PL,100,32,4,1,966.25543577325
2PL,100,32,4,3,901.7580670130668
2PL,100,32,8,1,924.2263719246333
2PL,100,32,8,3,909.5442928022667
2PL,100,32,8,5,927.0871357302
2PL,100,64,3,1,917.23078224765
2PL,100,64,4,1,887.8867990466333
2PL,100,64,8,1,917.5801293550667
2PL,100,128,8,1,900.6464760997333
2PL,200,1,1,1,314.47232859685
2PL,200,1,1,3,253.58225826885
2PL,200,1,1,5,226.79714087745
2PL,200,1,1,7,192.95739909795
2PL,200,1,2,1,316.3065279272
2PL,200,1,2,3,259.45025771745003
2PL,200,1,2,5,212.7760685385
2PL,200,1,2,7,195.57904629120003
2PL,200,1,3,1,289.13671696890003
2PL,200,1,3,3,244.09137011705002
2PL,200,1,3,5,212.41840110095
2PL,200,1,3,7,199.27667152729998
2PL,200,1,4,1,325.21753262945003
2PL,200,1,4,3,249.73308646290002
2PL,200,1,4,5,215.49991401785
2PL,200,1,4,7,190.76416983085
2PL,200,1,8,1,292.02721865819996
2PL,200,1,8,3,257.4819235992666
2PL,200,1,8,5,219.30161605966669
2PL,200,1,8,7,192.99064855763334
2PL,200,2,1,1,737.6534966131001
2PL,200,2,1,3,648.08413043155
2PL,200,2,1,5,586.09646650235
2PL,200,2,1,7,513.5071303774
2PL,200,2,2,1,687.5691368760499
2PL,200,2,2,3,608.4602676996
2PL,200,2,2,5,553.762750211
2PL,200,2,2,7,518.6421648103
2PL,200,2,3,1,684.52717775025
2PL,200,2,3,3,620.20540371525
2PL,200,2,3,5,558.5104387086001
2PL,200,2,3,7,504.3081433331
2PL,200,2,4,1,699.721539462
2PL,200,2,4,3,614.9193407455
2PL,200,2,4,5,570.36053701835
2PL,200,2,4,7,511.74856702945
2PL,200,2,8,1,671.5033505860666
2PL,200,2,8,3,600.3696722984
2PL,200,2,8,5,567.0903196770333
2PL,200,2,8,7,537.7433343389666
2PL,200,4,1,1,1121.05051335885
2PL,200,4,1,3,1108.6053313315
2PL,200,4,1,5,1085.8920403944499
2PL,200,4,2,1,1131.36964248145
2PL,200,4,2,3,1084.53980344085
2PL,200,4,2,5,1030.53581789425
2PL,200,4,2,7,992.50426345815
2PL,200,4,3,1,1135.0452316746
2PL,200,4,3,3,1135.9710929254002
2PL,200,4,3,5,1045.8437566469502
2PL,200,4,3,7,1011.095557001
2PL,200,4,4,1,1121.2887464502
2PL,200,4,4,3,1106.79455382035
2PL,200,4,4,5,1047.6153782278
2PL,200,4,4,7,983.2518580860001
2PL,200,4,8,1,1104.5783453831
2PL,200,4,8,3,1082.6941767248666
2PL,200,4,8,5,1037.6408353221002
2PL,200,4,8,7,993.1495343215666
2PL,200,8,1,1,1748.5159365048999
2PL,200,8,1,3,1680.47374803455
2PL,200,8,2,1,1700.0980146104498
2PL,200,8,2,3,1704.5263996718
2PL,200,8,2,5,1623.88220882875
2PL,200,8,3,1,1695.1279287227499
2PL,200,8,3,3,1717.49976279155
2PL,200,8,3,5,1643.7374743025
2PL,200,8,3,7,1609.7796224894
2PL,200,8,4,1,1647.24707865665
2PL,200,8,4,3,1682.06301626345
2PL,200,8,4,5,1612.8334499292
2PL,200,8,4,7,1574.367274941
2PL,200,8,8,1,1625.0613198744668
2PL,200,8,8,3,1585.8103032543002
2PL,200,8,8,5,1545.6523885969
2PL,200,8,8,7,1498.8201057092667
2PL,200,16,1,1,1957.5404077870498
2PL,200,16,2,1,1941.7082201419998
2PL,200,16,2,3,1901.3633214077
2PL,200,16,3,1,1964.9577289416
2PL,200,16,3,3,1935.6216060778502
2PL,200,16,3,5,1865.3036354795
2PL,200,16,4,1,1942.1407033128498
2PL,200,16,4,3,1983.56142625775
2PL,200,16,4,5,1847.9394732838334
2PL,200,16,8,1,1888.1296401004665
2PL,200,16,8,3,1881.9956195861669
2PL,200,16,8,5,1865.4022225504668
2PL,200,16,8,7,1804.9607171865666
2PL,200,32,2,1,1941.015973843
2PL,200,32,3,1,1907.3242245143501
2PL,200,32,4,1,1933.8413983147002
2PL,200,32,4,3,1385.837570636
2PL,200,32,8,1,1856.1436420983998
2PL,200,32,8,3,1863.1639578704
2PL,200,32,8,5,1865.9503079254334
2PL,200,64,3,1,1859.32057553605
2PL,200,64,4,1,1812.853117144333
2PL,200,64,8,1,1830.4362579385
2PL,200,128,8,1,1786.1141803353667
2PL,500,1,1,1,253.9443337226
2PL,500,1,1,3,199.52377087550002
2PL,500,1,1,5,159.99114558769998
2PL,500,1,1,7,148.311701532
2PL,500,1,2,1,251.51788535755
2PL,500,1,2,3,204.8061379505
2PL,500,1,2,5,156.39296760439998
2PL,500,1,2,7,141.63143867005
2PL,500,1,3,1,239.42216833745
2PL,500,1,3,3,195.10176747995
2PL,500,1,3,5,160.8976338686
2PL,500,1,3,7,140.77735048789998
2PL,500,1,4,1,249.55129711759997
