alg,clients,shards,threads,replica,tput
2PL,1,1,1,1,232.62756184881002
2PL,1,1,1,3,188.45309828226002
2PL,1,1,1,5,175.06419344030334
2PL,1,1,1,7,161.3602076950733
2PL,1,1,2,1,231.86160482079336
2PL,1,1,2,3,194.6289179218933
2PL,1,1,2,5,180.75205348325667
2PL,1,1,2,7,168.24169207008333
2PL,1,1,3,1,232.97806690701
2PL,1,1,3,3,196.60206549228667
2PL,1,1,3,5,175.18500193781335
2PL,1,1,3,7,160.8785614695
2PL,1,1,4,1,231.25404026177
2PL,1,1,4,3,196.62926203619668
2PL,1,1,4,5,184.87854992854
2PL,1,1,4,7,165.80317843883998
2PL,1,1,8,1,246.22131723432665
2PL,1,1,8,3,185.73341868706999
2PL,1,1,8,5,179.80948379662664
2PL,1,1,8,7,178.78097915091334
2PL,1,2,1,1,250.62546490056
2PL,1,2,1,3,217.83145382420665
2PL,1,2,1,5,198.18222501695334
2PL,1,2,1,7,185.11033771861332
2PL,1,2,2,1,250.25149697371998
2PL,1,2,2,3,216.78619344991
2PL,1,2,2,5,203.92679374659
2PL,1,2,2,7,193.75461422955001
2PL,1,2,3,1,244.84306479698333
2PL,1,2,3,3,213.16948636889
2PL,1,2,3,5,196.14614656133998
2PL,1,2,3,7,191.8852218174833
2PL,1,2,4,1,250.21781895626668
2PL,1,2,4,3,219.48916271603332
2PL,1,2,4,5,204.31641384882334
2PL,1,2,4,7,184.96330698884
2PL,1,2,8,1,247.13395805991001
2PL,1,2,8,3,226.52789698769666
2PL,1,2,8,5,210.40648770909002
2PL,1,2,8,7,191.50295851574
2PL,1,4,1,1,247.81883123385668
2PL,1,4,1,3,228.90139884946666
2PL,1,4,1,5,214.68440964943667
2PL,1,4,2,1,252.91608105735
2PL,1,4,2,3,231.91464962535335
2PL,1,4,2,5,213.47538296625999
2PL,1,4,2,7,208.2367937549533
2PL,1,4,3,1,264.36300622541336
2PL,1,4,3,3,216.41142116197668
2PL,1,4,3,5,220.89677255204666
2PL,1,4,3,7,207.90848903756668
2PL,1,4,4,1,259.23625338444
2PL,1,4,4,3,226.62364359972
2PL,1,4,4,5,213.22769933617667
2PL,1,4,4,7,199.76323594872335
2PL,1,4,8,1,235.64164605847336
2PL,1,4,8,3,221.54554133890335
2PL,1,4,8,5,211.90126490839668
2PL,1,4,8,7,215.73756797565667
2PL,1,8,1,1,268.34957904767003
2PL,1,8,1,3,230.12590109401333
2PL,1,8,2,1,260.5284949458433
2PL,1,8,2,3,233.47408664190334
2PL,1,8,2,5,222.46930695530668
2PL,1,8,3,1,263.595882927
2PL,1,8,3,3,230.93001697551003
2PL,1,8,3,5,218.02547914975335
2PL,1,8,3,7,214.19439760963
2PL,1,8,4,1,264.2218705912767
2PL,1,8,4,3,235.50396466952665
2PL,1,8,4,5,212.89640393558668
2PL,1,8,4,7,213.92452033403
2PL,1,8,8,1,262.3186046915933
2PL,1,8,8,3,230.60783280608666
2PL,1,8,8,5,216.03858534672
2PL,1,8,8,7,212.61391241426998
2PL,1,16,1,1,261.62615075632334
2PL,1,16,2,1,261.66064876192667
2PL,1,16,2,3,232.16454075704334
2PL,1,16,3,1,257.86132965846997
2PL,1,16,3,3,236.62880963863003
2PL,1,16,4,1,263.2026578988767
2PL,1,16,4,3,234.36010992054
2PL,1,16,4,5,213.31770103240333
2PL,1,16,8,1,259.78176377325667
2PL,1,16,8,3,227.47822523100334
2PL,1,16,8,5,209.15806790870667
2PL,1,16,8,7,220.19552955661
2PL,1,32,2,1,270.4684536491
2PL,1,32,3,1,259.11214048805664
2PL,1,32,4,1,260.17794186441665
2PL,1,32,4,3,240.70755905246003
2PL,1,32,8,1,244.77187394608998
2PL,1,32,8,3,239.85825646579667
2PL,1,32,8,5,229.55888086662
2PL,1,64,3,1,265.342652870085
2PL,1,64,4,1,230.33183520096
2PL,1,64,8,1,252.89649654047
2PL,1,128,8,1,248.27915200256666
2PL,10,1,1,1,466.3583685285334
2PL,10,1,1,3,377.7313471214
2PL,10,1,1,5,316.26577799629996
2PL,10,1,1,7,291.25907002373333
2PL,10,1,2,1,490.91406679683337
2PL,10,1,2,3,394.2753472684
2PL,10,1,2,5,330.0978182590666
2PL,10,1,2,7,295.83927464473334
2PL,10,1,3,1,469.8483868718333
2PL,10,1,3,3,388.1764697689666
2PL,10,1,3,5,338.8443418616667
2PL,10,1,3,7,298.2333086091967
2PL,10,1,4,1,489.13888726439995
2PL,10,1,4,3,383.3065073180667
2PL,10,1,4,5,334.9993996678333
2PL,10,1,4,7,299.6841501474333
2PL,10,1,8,1,488.49944562736664
2PL,10,1,8,3,376.8891733076
2PL,10,1,8,5,342.20759057643335
2PL,10,1,8,7,308.2588675901
2PL,10,2,1,1,599.9747738769333
2PL,10,2,1,3,483.6195852168
2PL,10,2,1,5,437.0791952225333
2PL,10,2,1,7,393.9846039027
2PL,10,2,2,1,564.0557684017
2PL,10,2,2,3,481.26888877543337
2PL,10,2,2,5,430.21857122396665
2PL,10,2,2,7,376.52172639176666
2PL,10,2,3,1,553.2630995073333
2PL,10,2,3,3,514.3769626265
2PL,10,2,3,5,432.72827237593333
2PL,10,2,3,7,391.26029436293334
2PL,10,2,4,1,591.904830072
2PL,10,2,4,3,505.39303662239996
2PL,10,2,4,5,450.9556564565
2PL,10,2,4,7,397.0002055785
2PL,10,2,8,1,556.9026155200332
2PL,10,2,8,3,486.68846377463336
2PL,10,2,8,5,433.90029400070006
2PL,10,2,8,7,397.69813967803333
2PL,10,4,1,1,683.3690372735333
2PL,10,4,1,3,583.7762033860666
2PL,10,4,1,5,513.853599904
2PL,10,4,2,1,638.7928893039001
2PL,10,4,2,3,555.6259264976667
2PL,10,4,2,5,505.5426054638333
2PL,10,4,2,7,444.9148974052667
2PL,10,4,3,1,641.3308029855666
2PL,10,4,3,3,577.5941062416333
2PL,10,4,3,5,512.4971202027333
2PL,10,4,3,7,455.4507157726334
2PL,10,4,4,1,627.7216442202333
2PL,10,4,4,3,551.2856818395
2PL,10,4,4,5,479.89364167783333
2PL,10,4,4,7,429.83228014126666
2PL,10,4,8,1,619.3786300019666
2PL,10,4,8,3,563.0987215968667
2PL,10,4,8,5,488.85784426006666
2PL,10,4,8,7,448.22769835533336
2PL,10,8,1,1,739.4737031607666
2PL,10,8,1,3,650.0476195727666
2PL,10,8,2,1,697.7272609297667
2PL,10,8,2,3,618.6675466003667
2PL,10,8,2,5,552.7643497152
2PL,10,8,3,1,674.6799943051667
2PL,10,8,3,3,617.0454228695334
2PL,10,8,3,5,576.6150420651334
2PL,10,8,3,7,497.02446473273335
2PL,10,8,4,1,687.8324100960999
2PL,10,8,4,3,595.2779217492666
2PL,10,8,4,5,516.233023375
2PL,10,8,4,7,466.21584592820005
2PL,10,8,8,1,617.4202292856667
2PL,10,8,8,3,579.0594726487333
2PL,10,8,8,5,503.89521545543334
2PL,10,8,8,7,458.04897500505
2PL,10,16,1,1,789.0335481287001
2PL,10,16,2,1,756.1414078236667
2PL,10,16,2,3,648.4057176976333
2PL,10,16,3,1,714.6180313023666
2PL,10,16,3,3,660.7953536831
2PL,10,16,4,1,702.2031535780001
2PL,10,16,4,3,635.1983150645
2PL,10,16,4,5,549.3420400721334
2PL,10,16,8,1,672.6980268289667
2PL,10,16,8,3,601.3666927376667
2PL,10,16,8,5,534.304120248
2PL,10,16,8,7,479.7156587654667
2PL,10,32,2,1,744.3679082877334
2PL,10,32,3,1,767.5745627912333
2PL,10,32,4,1,713.5297468113
2PL,10,32,4,3,594.8518968402333
2PL,10,32,8,1,689.5381039681
2PL,10,32,8,3,625.1614348950666
2PL,10,32,8,5,545.6331642899333
2PL,10,64,3,1,745.51412169815
2PL,10,64,4,1,729.783784885
2PL,10,64,8,1,707.0352227178333
2PL,10,128,8,1,724.6307052881666
2PL,20,1,1,1,491.49479621703335
2PL,20,1,1,3,370.7360806290333
