trans,threads,warehouse,remote,tput
new_order,1,1,0.0,0.7433561543917543
new_order,1,1,10.0,0.7333194221976475
new_order,1,1,20.0,0.730265160589999
new_order,1,1,30.0,0.7265510540200756
new_order,1,1,40.0,0.717375591821831
new_order,1,1,50.0,0.7217395550418242
new_order,1,1,60.0,0.6894025009494779
new_order,1,1,70.0,0.690597803455532
new_order,1,1,80.0,0.698414618527589
new_order,1,1,90.0,0.6848598570216005
new_order,1,1,100.0,0.6924108038909477
new_order,1,2,0.0,0.7194246033692354
new_order,1,2,10.0,0.7202274184154007
new_order,1,2,20.0,0.7292865904507899
new_order,1,2,30.0,0.7255636762638762
new_order,1,2,40.0,0.7153260892903821
new_order,1,2,50.0,0.7222174139999173
new_order,1,2,60.0,0.6945264021490785
new_order,1,2,70.0,0.6938574367925133
new_order,1,2,80.0,0.6922159477157619
new_order,1,2,90.0,0.6887806954045909
new_order,1,2,100.0,0.6933113528005657
new_order,1,4,0.0,0.7284117522787931
new_order,1,4,10.0,0.72336024222271
new_order,1,4,20.0,0.7354503080753884
new_order,1,4,30.0,0.7398411820538768
new_order,1,4,40.0,0.7371471924784708
new_order,1,4,50.0,0.7383555036289504
new_order,1,4,60.0,0.6976098180041929
new_order,1,4,70.0,0.6995720354190027
new_order,1,4,80.0,0.7039190705792194
new_order,1,4,90.0,0.6980086154420045
new_order,1,4,100.0,0.7058616064155692
new_order,1,8,0.0,0.7312876454012384
new_order,1,8,10.0,0.7355606523631448
new_order,1,8,20.0,0.7355350978392955
new_order,1,8,30.0,0.7410568973143055
new_order,1,8,40.0,0.7450336967311086
new_order,1,8,50.0,0.7455080530693747
new_order,1,8,60.0,0.7190249533686759
new_order,1,8,70.0,0.7169942155687917
new_order,1,8,80.0,0.7188185533264178
new_order,1,8,90.0,0.7063055749276731
new_order,1,8,100.0,0.7084384571750996
new_order,1,16,0.0,0.7333454662995103
new_order,1,16,10.0,0.7457881471459854
new_order,1,16,20.0,0.738538235790351
new_order,1,16,30.0,0.7443025636586086
new_order,1,16,40.0,0.7441219588417856
new_order,1,16,50.0,0.753325311800067
new_order,1,16,60.0,0.7264748437898607
