clients,shards,threads,replica,tput
1,1,1,1,1.6810572198958051
1,1,1,3,1.6376024197363084
1,1,1,5,1.6938147913240469
1,1,1,7,1.7983276289283463
1,1,2,1,1.5935247868215907
1,1,2,3,1.5678519504115676
1,1,2,5,1.6252794861358293
1,1,2,7,1.7280262878462227
1,1,3,1,1.5692869416773387
1,1,3,3,1.5474967781272013
1,1,3,5,1.6681522484965359
1,1,3,7,1.7994521848799387
1,1,4,1,1.6764839414617227
1,1,4,3,1.5850978577677723
1,1,4,5,1.6137236831924708
1,1,4,7,1.7257674759408466
1,1,8,1,1.4982800265920098
1,1,8,3,1.6595286772289641
1,1,8,5,1.60317225005074
1,1,8,7,1.63278460809725
1,1,16,1,1.5904036339993468
1,1,16,3,1.442193102541119
1,1,16,5,1.6598661497739424
1,1,16,7,1.7742613122136617
1,2,1,1,1.4286791976650677
1,2,1,3,1.3850685717436342
1,2,1,5,1.543800788837281
1,2,1,7,1.572830870892835
1,2,2,1,1.4154862298998847
1,2,2,3,1.4204699110294188
1,2,2,5,1.4663508093266449
1,2,2,7,1.4323108598544811
1,2,3,1,1.4180161831847171
1,2,3,3,1.4491834676695268
1,2,3,5,1.5268992783946433
1,2,3,7,1.5237963665246974
1,2,4,1,1.400596853407628
1,2,4,3,1.4381681581609198
1,2,4,5,1.4769368045985856
1,2,4,7,1.5454957948712196
1,2,8,1,1.2934756370258698
1,2,8,3,1.3787323216802876
1,2,8,5,1.3983789956690997
1,2,8,7,1.4098659604337584
1,2,16,1,1.495227831998565
1,2,16,3,1.3229951561710627
1,2,16,5,1.4848997253536396
1,2,16,7,1.516478840383066
1,4,1,1,1.434898065168446
1,4,1,3,1.3400818452907768
1,4,1,5,1.364285756155909
1,4,2,1,1.406367126490248
1,4,2,3,1.35751798127022
1,4,2,5,1.3807406461705212
1,4,2,7,1.356498655057611
1,4,3,1,1.3203012125180624
1,4,3,3,1.3928445126519378
1,4,3,5,1.3203382576951905
1,4,3,7,1.3486193706943996
1,4,4,1,1.3880425474203035
1,4,4,3,1.3212797246646009
1,4,4,5,1.3517364566819767
1,4,4,7,1.3800688365382308
1,4,8,1,1.5891328126397688
1,4,8,3,1.3780489902996573
1,4,8,5,1.364595849872195
1,4,8,7,1.2505700994397186
1,4,16,1,1.185819704754471
1,4,16,3,1.2019478152653753
1,4,16,5,1.3930317102153917
1,4,16,7,1.2746231615210162
1,8,1,1,1.2587615380113122
1,8,1,3,1.2866074033321513
1,8,2,1,1.3370491231922383
1,8,2,3,1.2951450947038954
1,8,2,5,1.3384743679145856
1,8,3,1,1.2959182004816645
1,8,3,3,1.3102108536605719
1,8,3,5,1.3580182836369272
1,8,3,7,1.3775937809003824
1,8,4,1,1.3139057976956443
1,8,4,3,1.2839244575541202
1,8,4,5,1.3929720828869707
1,8,4,7,1.3038491541332828
1,8,8,1,1.2954736288496684
1,8,8,3,1.2912762664518673
1,8,8,5,1.2819453598304702
1,8,8,7,1.2606086577456308
1,8,16,1,1.3493760415849654
1,8,16,3,1.2184568976700483
1,8,16,5,1.1927249443987047
1,8,16,7,1.3384796138078585
1,16,1,1,1.2812958809233177
1,16,2,1,1.3115329926897326
1,16,2,3,1.302007222268443
1,16,3,1,1.3179263796274197
1,16,3,3,1.2702472325646337
1,16,4,1,1.3047421123062513
1,16,4,3,1.3074660721972888
1,16,4,5,1.3386872236135814
1,16,8,1,1.2768229071238597
1,16,8,3,1.2689335308277476
1,16,8,5,1.2950743568213763
1,16,8,7,1.2086837712341767
1,16,16,1,1.19792239913429
1,16,16,3,1.2075181388480485
1,16,16,5,1.2377611450218098
1,16,16,7,1.2856505970905565
1,32,2,1,1.254034338260784
1,32,3,1,1.270682163135114
1,32,4,1,1.2941862884410218
1,32,4,3,1.2466934156366276
1,32,8,1,1.340192487301529
1,32,8,3,1.1563489328432506
1,32,8,5,1.138461772094925
1,32,16,1,1.2924481957909566
1,32,16,3,1.182603618122535
1,64,3,1,1.2586716958262782
1,64,4,1,1.4698281107337594
1,64,8,1,1.2631174043464128
1,64,16,1,1.3437017240813622
1,128,8,1,1.3320717373691573
1,128,16,1,1.181933123945734
10,1,1,1,4.4673860443921605
10,1,1,3,5.067638041332116
10,1,1,5,5.678269367086806
10,1,1,7,6.45021309819095
10,1,2,1,4.161725167906201
10,1,2,3,4.852669281618674
10,1,2,5,5.51756451927799
10,1,2,7,6.288768520692943
10,1,3,1,4.3857028981416954
10,1,3,3,4.800014386345201
10,1,3,5,5.603322797304943
10,1,3,7,6.074838907868495
10,1,4,1,4.1333098951370415
10,1,4,3,4.890541359706116
10,1,4,5,5.671036269388232
10,1,4,7,6.009946332644888
10,1,8,1,4.007424709617447
10,1,8,3,5.156814353761224
10,1,8,5,5.361743716205649
10,1,8,7,6.372549630265868
10,1,16,1,4.569300259583585
10,1,16,3,4.672549660777481
10,1,16,5,5.404210088438179
10,1,16,7,6.424992549331169
10,2,1,1,3.738652036946868
10,2,1,3,4.397511874743079
10,2,1,5,4.6922976919293555
10,2,1,7,5.007340002230343
10,2,2,1,3.9877133523477575
10,2,2,3,4.4346974353065205
10,2,2,5,4.83186296815522
10,2,2,7,5.331338548300112
10,2,3,1,4.091737517885607
10,2,3,3,4.158718390681727
10,2,3,5,4.699963345537376
10,2,3,7,5.170402495238857
10,2,4,1,3.8692645942886563
10,2,4,3,4.1573996527947825
10,2,4,5,4.543642234073367
10,2,4,7,5.041818856470467
10,2,8,1,4.064208448393459
10,2,8,3,4.330635308713791
10,2,8,5,4.652466548143069
10,2,8,7,5.0155566655947705
10,2,16,1,3.8618638973832184
10,2,16,3,4.285735437013203
10,2,16,5,4.89405452411891
10,2,16,7,5.343298943601172
10,4,1,1,3.3547773923551696
10,4,1,3,3.718672097485009
10,4,1,5,4.00405633644159
10,4,2,1,3.637569357840711
10,4,2,3,3.878122919435526
10,4,2,5,4.1282024121035965
10,4,2,7,4.545442400391125
10,4,3,1,3.609113229488878
10,4,3,3,3.7747990745780724
10,4,3,5,4.04093786004352
10,4,3,7,4.474510746192103
10,4,4,1,3.511310645647727
10,4,4,3,3.9571482380391707
10,4,4,5,4.314020946384339
10,4,4,7,4.6890979485241395
10,4,8,1,3.697490347668429
10,4,8,3,3.7945329418260862
10,4,8,5,4.214728328102385
10,4,8,7,4.391103860389787
10,4,16,1,3.6851634497559895
10,4,16,3,3.9823103418720867
10,4,16,5,4.034192950468744
10,4,16,7,4.6957003533526045
10,8,1,1,3.2158551629293
10,8,1,3,3.275969993855071
10,8,2,1,3.3913830659284723
10,8,2,3,3.5946880494473232
10,8,2,5,3.7788194372553896
10,8,3,1,3.5011966462978963
10,8,3,3,3.5902650178350153
10,8,3,5,3.6115114459712676
10,8,3,7,4.03580668119748
10,8,4,1,3.440157682800816
10,8,4,3,3.652792418556572
10,8,4,5,4.030518233702553
10,8,4,7,4.336495102229736
10,8,8,1,3.7147045602148543
10,8,8,3,3.6544122203391933
10,8,8,5,3.9703539286635254
10,8,8,7,4.256573966589863
10,8,16,1,3.6069847439873337
10,8,16,3,3.5341094819393786
10,8,16,5,3.8776224398248282
10,8,16,7,4.0872644391906165
10,16,1,1,2.928795538179276
10,16,2,1,3.100385125286867
10,16,2,3,3.2321737739589174
10,16,3,1,3.2808719975351983
10,16,3,3,3.3103521122234123
10,16,4,1,3.360371751957236
10,16,4,3,3.42161632149319
10,16,4,5,3.7666659618902107
10,16,8,1,3.335940900665161
10,16,8,3,3.5539362543890487
10,16,8,5,3.7198748214164454
10,16,8,7,3.9786707768075953
10,16,16,1,3.472446036983335
10,16,16,3,3.4838394342098815
10,16,16,5,3.783340494587499
10,16,16,7,4.030473508154467
10,32,2,1,3.1639503366780817
10,32,3,1,3.0599873293441284
10,32,4,1,3.3222329787333154
10,32,4,3,3.5743379524428534
10,32,8,1,3.2706145421027126
10,32,8,3,3.431542955142006
10,32,8,5,3.6490326745149795
10,32,16,1,3.333417633167242
10,32,16,3,3.4712106125438495
10,64,3,1,3.109957796929129
10,64,4,1,3.1993153172909805
10,64,8,1,3.210744015006211
10,64,16,1,3.2326777077548243
10,128,8,1,3.0899721190115366
10,128,16,1,3.122649310226122
20,1,1,1,5.819762117671709
20,1,1,3,6.639749728563086
20,1,1,5,7.403876872364043
20,1,1,7,8.292510996760424
20,1,2,1,5.955959925023327
20,1,2,3,6.1303084853358225
20,1,2,5,7.4082293665640115
20,1,2,7,8.140405593822688
20,1,3,1,6.181149740596304
20,1,3,3,6.17792582376148
20,1,3,5,7.186215942605485
20,1,3,7,7.99439056242782
20,1,4,1,6.20154122913748
20,1,4,3,6.140012159696888
20,1,4,5,6.8548969187999855
20,1,4,7,7.964853670665608
20,1,8,1,6.3622272689778825
20,1,8,3,6.111478816582041
20,1,8,5,7.397873948276892
20,1,8,7,8.287328239834093
20,1,16,1,6.226809766500333
20,1,16,3,6.396632422519727
20,1,16,5,7.372464540135666
20,1,16,7,8.102516966579898
20,2,1,1,5.4313535498731405
20,2,1,3,5.1234389500747435
20,2,1,5,6.1769178314106
20,2,1,7,6.669714207797745
20,2,2,1,5.413150857333646
20,2,2,3,5.786098119598416
20,2,2,5,6.615443645881993
20,2,2,7,7.078928934181256
20,2,3,1,5.801370922341291
20,2,3,3,5.04043999625227
20,2,3,5,5.998448560005567
20,2,3,7,6.673229737021379
20,2,4,1,5.470609196158395
20,2,4,3,5.279833468715668
20,2,4,5,5.967776759590775
20,2,4,7,6.916944464255374
20,2,8,1,5.842274905153939
20,2,8,3,5.212065107597055
20,2,8,5,5.519936042706009
