alg,bench,thread_count,warehouse_count,tput
2PL,TPCC-FULL,28,16.0,833810.6666666666
2PL,TPCC-FULL,28,32.0,1229538.0
2PL,TPCC-FULL,28,64.0,1141824.3333333333
2PL,TPCC-FULL,28,128.0,1115026.0
2PL,TPCC-FULL,28,256.0,1062396.0
Cicada,TPCC,1,1.0,357317.6666666667
Cicada,TPCC,1,2.0,306906.3333333333
Cicada,TPCC,1,4.0,277175.0
Cicada,TPCC,1,8.0,247545.66666666666
Cicada,TPCC,1,16.0,227780.66666666666
Cicada,TPCC,1,32.0,212432.0
Cicada,TPCC,1,64.0,
Cicada,TPCC,1,128.0,
Cicada,TPCC,1,256.0,
Cicada,TPCC,2,1.0,407230.0
Cicada,TPCC,2,2.0,675019.0
Cicada,TPCC,2,4.0,602969.0
Cicada,TPCC,2,8.0,534094.0
Cicada,TPCC,2,16.0,475505.0
Cicada,TPCC,2,32.0,433924.0
Cicada,TPCC,2,64.0,400746.0
Cicada,TPCC,2,128.0,
Cicada,TPCC,2,256.0,
Cicada,TPCC,4,1.0,667852.6666666666
Cicada,TPCC,4,2.0,1096870.0
Cicada,TPCC,4,4.0,1185080.3333333333
Cicada,TPCC,4,8.0,1071006.0
Cicada,TPCC,4,16.0,941976.6666666666
Cicada,TPCC,4,32.0,858824.6666666666
Cicada,TPCC,4,64.0,780326.0
Cicada,TPCC,4,128.0,743966.0
Cicada,TPCC,4,256.0,
Cicada,TPCC,8,1.0,1016792.0
Cicada,TPCC,8,2.0,1751870.0
Cicada,TPCC,8,4.0,1925652.0
Cicada,TPCC,8,8.0,2062893.0
Cicada,TPCC,8,16.0,1851134.0
Cicada,TPCC,8,32.0,1746866.0
Cicada,TPCC,8,64.0,1617688.0
Cicada,TPCC,8,128.0,
Cicada,TPCC,8,256.0,
Cicada,TPCC,16,1.0,1180151.6666666667
Cicada,TPCC,16,2.0,2626327.0
Cicada,TPCC,16,4.0,3126098.0
Cicada,TPCC,16,8.0,2727957.6666666665
Cicada,TPCC,16,16.0,3708626.0
Cicada,TPCC,16,32.0,3417917.6666666665
Cicada,TPCC,16,64.0,3201109.0
Cicada,TPCC,16,128.0,
Cicada,TPCC,16,256.0,1962547.5
Cicada,TPCC,28,1.0,1151223.0
Cicada,TPCC,28,2.0,3419509.0
Cicada,TPCC,28,4.0,2947647.0
Cicada,TPCC,28,8.0,3481110.0
Cicada,TPCC,28,16.0,5565374.0
Cicada,TPCC,28,32.0,5861406.0
Cicada,TPCC,28,64.0,5527488.0
Cicada,TPCC,28,128.0,5139642.0
Cicada,TPCC,28,256.0,
Cicada,TPCC-FULL,1,1.0,93440.66666666667
Cicada,TPCC-FULL,1,2.0,87076.0
Cicada,TPCC-FULL,1,4.0,84135.66666666667
Cicada,TPCC-FULL,1,8.0,79893.66666666667
Cicada,TPCC-FULL,1,16.0,73096.66666666667
Cicada,TPCC-FULL,1,32.0,66696.0
Cicada,TPCC-FULL,1,64.0,
Cicada,TPCC-FULL,1,128.0,
Cicada,TPCC-FULL,1,256.0,
Cicada,TPCC-FULL,2,1.0,122136.0
Cicada,TPCC-FULL,2,2.0,184940.0
Cicada,TPCC-FULL,2,4.0,177518.0
Cicada,TPCC-FULL,2,8.0,166454.0
Cicada,TPCC-FULL,2,16.0,154871.0
Cicada,TPCC-FULL,2,32.0,143061.0
Cicada,TPCC-FULL,2,64.0,130191.0
Cicada,TPCC-FULL,2,128.0,
Cicada,TPCC-FULL,2,256.0,
Cicada,TPCC-FULL,4,1.0,184274.33333333334
Cicada,TPCC-FULL,4,2.0,293093.6666666667
Cicada,TPCC-FULL,4,4.0,322635.0
Cicada,TPCC-FULL,4,8.0,317450.0
Cicada,TPCC-FULL,4,16.0,303415.3333333333
Cicada,TPCC-FULL,4,32.0,283770.6666666667
Cicada,TPCC-FULL,4,64.0,258305.66666666666
Cicada,TPCC-FULL,4,128.0,229659.5
Cicada,TPCC-FULL,4,256.0,
Cicada,TPCC-FULL,8,1.0,243557.0
Cicada,TPCC-FULL,8,2.0,430776.0
Cicada,TPCC-FULL,8,4.0,538348.0
Cicada,TPCC-FULL,8,8.0,608694.0
Cicada,TPCC-FULL,8,16.0,579542.0
Cicada,TPCC-FULL,8,32.0,553337.0
Cicada,TPCC-FULL,8,64.0,499459.0
Cicada,TPCC-FULL,8,128.0,
Cicada,TPCC-FULL,8,256.0,
Cicada,TPCC-FULL,16,1.0,273283.6666666667
Cicada,TPCC-FULL,16,2.0,596285.0
Cicada,TPCC-FULL,16,4.0,825120.0
Cicada,TPCC-FULL,16,8.0,1002062.3333333334
Cicada,TPCC-FULL,16,16.0,1145468.3333333333
Cicada,TPCC-FULL,16,32.0,1071460.3333333333
Cicada,TPCC-FULL,16,64.0,960167.3333333334
Cicada,TPCC-FULL,16,128.0,902536.5
Cicada,TPCC-FULL,16,256.0,
Cicada,TPCC-FULL,28,1.0,274479.6666666667
Cicada,TPCC-FULL,28,2.0,424526.3333333333
Cicada,TPCC-FULL,28,4.0,1068142.6666666667
Cicada,TPCC-FULL,28,8.0,1439213.6666666667
Cicada,TPCC-FULL,28,16.0,1399491.6666666667
Cicada,TPCC-FULL,28,32.0,1839863.0
Cicada,TPCC-FULL,28,64.0,1453989.6666666667
Cicada,TPCC-FULL,28,128.0,
Cicada,TPCC-FULL,28,256.0,622540.0
