alg,bench,thread_count,warehouse_count,tput
TicToc,TPCC,2,32.0,351490.0
TicToc,TPCC,2,64.0,341024.0
TicToc,TPCC,2,128.0,332807.0
TicToc,TPCC,2,256.0,319131.0
TicToc,TPCC,4,1.0,550845.0
TicToc,TPCC,4,2.0,841847.0
TicToc,TPCC,4,4.0,944048.0
TicToc,TPCC,4,8.0,831912.3333333334
TicToc,TPCC,4,16.0,748760.3333333334
TicToc,TPCC,4,32.0,703585.6666666666
TicToc,TPCC,4,64.0,661365.3333333334
TicToc,TPCC,4,128.0,638272.0
TicToc,TPCC,4,256.0,635840.6666666666
TicToc,TPCC,8,1.0,711880.0
TicToc,TPCC,8,2.0,1176116.0
TicToc,TPCC,8,4.0,1456056.0
TicToc,TPCC,8,8.0,1618539.0
TicToc,TPCC,8,16.0,1469133.0
TicToc,TPCC,8,32.0,1350570.0
TicToc,TPCC,8,64.0,1313804.0
TicToc,TPCC,8,128.0,1270800.0
TicToc,TPCC,8,256.0,1245946.0
TicToc,TPCC,16,1.0,882308.0
TicToc,TPCC,16,2.0,1532141.0
TicToc,TPCC,16,4.0,1859999.0
TicToc,TPCC,16,8.0,2596839.0
TicToc,TPCC,16,16.0,2887065.6666666665
TicToc,TPCC,16,32.0,2307214.3333333335
TicToc,TPCC,16,64.0,2599806.6666666665
TicToc,TPCC,16,128.0,2508001.6666666665
TicToc,TPCC,16,256.0,2450926.6666666665
TicToc,TPCC,28,1.0,1007463.0
TicToc,TPCC,28,2.0,1778499.3333333333
TicToc,TPCC,28,4.0,2733642.6666666665
TicToc,TPCC,28,8.0,3653681.0
TicToc,TPCC,28,16.0,4285719.333333333
TicToc,TPCC,28,32.0,4649056.333333333
TicToc,TPCC,28,64.0,4446355.666666667
TicToc,TPCC,28,128.0,4353708.0
TicToc,TPCC,28,256.0,4237608.666666667
TicToc,TPCC-FULL,1,1.0,87294.33333333333
TicToc,TPCC-FULL,1,2.0,83774.66666666667
TicToc,TPCC-FULL,1,4.0,79787.33333333333
TicToc,TPCC-FULL,1,8.0,75733.0
TicToc,TPCC-FULL,1,16.0,70261.33333333333
TicToc,TPCC-FULL,1,32.0,64776.0
TicToc,TPCC-FULL,1,64.0,59898.666666666664
TicToc,TPCC-FULL,1,128.0,57894.0
TicToc,TPCC-FULL,1,256.0,55447.0
TicToc,TPCC-FULL,2,1.0,98068.0
TicToc,TPCC-FULL,2,2.0,170215.0
TicToc,TPCC-FULL,2,4.0,164331.0
TicToc,TPCC-FULL,2,8.0,156512.0
TicToc,TPCC-FULL,2,16.0,148168.0
TicToc,TPCC-FULL,2,32.0,137079.0
TicToc,TPCC-FULL,2,64.0,127554.0
TicToc,TPCC-FULL,2,128.0,120748.0
TicToc,TPCC-FULL,2,256.0,114306.0
TicToc,TPCC-FULL,4,1.0,92656.33333333333
TicToc,TPCC-FULL,4,2.0,224863.66666666666
TicToc,TPCC-FULL,4,4.0,316207.0
TicToc,TPCC-FULL,4,8.0,302820.6666666667
TicToc,TPCC-FULL,4,16.0,284569.0
TicToc,TPCC-FULL,4,32.0,256418.0
TicToc,TPCC-FULL,4,64.0,249034.0
TicToc,TPCC-FULL,4,128.0,232914.0
TicToc,TPCC-FULL,4,256.0,222325.33333333334
TicToc,TPCC-FULL,8,1.0,71321.0
TicToc,TPCC-FULL,8,2.0,221329.0
TicToc,TPCC-FULL,8,4.0,408189.0
TicToc,TPCC-FULL,8,8.0,575388.0
TicToc,TPCC-FULL,8,16.0,545166.0
TicToc,TPCC-FULL,8,32.0,500790.0
TicToc,TPCC-FULL,8,64.0,469027.0
TicToc,TPCC-FULL,8,128.0,440072.0
TicToc,TPCC-FULL,8,256.0,422356.0
TicToc,TPCC-FULL,16,1.0,56150.666666666664
TicToc,TPCC-FULL,16,2.0,195543.33333333334
TicToc,TPCC-FULL,16,4.0,415004.6666666667
TicToc,TPCC-FULL,16,8.0,762145.6666666666
TicToc,TPCC-FULL,16,16.0,1061617.0
TicToc,TPCC-FULL,16,32.0,795243.0
TicToc,TPCC-FULL,16,64.0,912047.0
TicToc,TPCC-FULL,16,128.0,864153.0
TicToc,TPCC-FULL,16,256.0,829184.3333333334
TicToc,TPCC-FULL,28,1.0,47411.666666666664
TicToc,TPCC-FULL,28,2.0,173395.33333333334
TicToc,TPCC-FULL,28,4.0,350621.6666666667
TicToc,TPCC-FULL,28,8.0,501990.0
TicToc,TPCC-FULL,28,16.0,1334726.6666666667
TicToc,TPCC-FULL,28,32.0,1677954.6666666667
TicToc,TPCC-FULL,28,64.0,1560756.3333333333
TicToc,TPCC-FULL,28,128.0,1478990.0
TicToc,TPCC-FULL,28,256.0,1421443.6666666667
