ANOVA_analysis
Insignificant terms removed: 
{'C(keys):C(ReadRatio)': 0.15849673730598116}



--------------------------------------------------------
Model r-squared: 0.9635
--------------------------------------------------------

ANOVA Terms with at leat 10% variance explained:

                   PR(>F)  per_var_explained
C(nclients)  1.585737e-97           0.215487
Intercept    4.494342e-92           0.187165
--------------------------------------------------------
Significant terms and turning point:
--------------------------------------------------------

Term: nclients, Percentage of variance explained:0.2155
Turning point: nclients=20.0
Trend: First increasing, Then decreasing

-------------------------------------------------



==================================================================================
Full ANOVA coef table
                                index         Coef.                    parms         PR>F  per_var_explained
                    C(nclients)[T.10]  1.661824e+03              C(nclients) 1.585737e-97           0.215487
                    C(nclients)[T.15]  3.092068e+03              C(nclients) 1.585737e-97           0.215487
                    C(nclients)[T.20]  3.374917e+03              C(nclients) 1.585737e-97           0.215487
                    C(nclients)[T.25]  3.295680e+03              C(nclients) 1.585737e-97           0.215487
       C(nrep)[T.5]:C(nclients)[T.10] -9.192588e+02      C(nrep):C(nclients) 1.363587e-51           0.098505
       C(nrep)[T.7]:C(nclients)[T.10] -9.781565e+02      C(nrep):C(nclients) 1.363587e-51           0.098505
       C(nrep)[T.5]:C(nclients)[T.15] -1.263969e+03      C(nrep):C(nclients) 1.363587e-51           0.098505
       C(nrep)[T.7]:C(nclients)[T.15] -1.720720e+03      C(nrep):C(nclients) 1.363587e-51           0.098505
       C(nrep)[T.5]:C(nclients)[T.20] -1.363100e+03      C(nrep):C(nclients) 1.363587e-51           0.098505
       C(nrep)[T.7]:C(nclients)[T.20] -1.780010e+03      C(nrep):C(nclients) 1.363587e-51           0.098505
       C(nrep)[T.5]:C(nclients)[T.25] -1.411009e+03      C(nrep):C(nclients) 1.363587e-51           0.098505
       C(nrep)[T.7]:C(nclients)[T.25] -1.792387e+03      C(nrep):C(nclients) 1.363587e-51           0.098505
                       C(nShard)[T.2] -1.418334e+03                C(nShard) 3.054325e-39           0.062093
                       C(nShard)[T.3] -2.050428e+03                C(nShard) 3.054325e-39           0.062093
                         C(nrep)[T.5] -1.269889e+03                  C(nrep) 8.142105e-37           0.057515
                         C(nrep)[T.7] -2.053916e+03                  C(nrep) 8.142105e-37           0.057515
      C(keys)[T.0.512]:C(nShard)[T.2]  3.611261e+02        C(keys):C(nShard) 1.128936e-17           0.031411
      C(keys)[T.2.048]:C(nShard)[T.2]  2.841605e+02        C(keys):C(nShard) 1.128936e-17           0.031411
      C(keys)[T.8.192]:C(nShard)[T.2]  3.973616e+02        C(keys):C(nShard) 1.128936e-17           0.031411
     C(keys)[T.32.768]:C(nShard)[T.2] -2.250342e+02        C(keys):C(nShard) 1.128936e-17           0.031411
      C(keys)[T.0.512]:C(nShard)[T.3]  2.046173e+02        C(keys):C(nShard) 1.128936e-17           0.031411
      C(keys)[T.2.048]:C(nShard)[T.3]  5.131453e+02        C(keys):C(nShard) 1.128936e-17           0.031411
      C(keys)[T.8.192]:C(nShard)[T.3]  1.105624e+03        C(keys):C(nShard) 1.128936e-17           0.031411
     C(keys)[T.32.768]:C(nShard)[T.3]  2.328415e+02        C(keys):C(nShard) 1.128936e-17           0.031411
