nnodes,#WH,dist,alg,tp
1,4,100,Calvin,12356.503595238095
1,8,0,2pl,4777.994902615843
1,8,0,Calvin,19337.64223577236
1,8,10,2pl,3966.240682812649
1,8,10,Calvin,19182.666774711168
1,8,20,2pl,4689.688808222934
1,8,20,Calvin,18496.154230844124
1,8,30,2pl,4678.444183884511
1,8,30,Calvin,17901.190613821138
1,8,40,2pl,4636.710522524383
1,8,40,Calvin,17592.722520325202
1,8,50,2pl,4576.420175106973
1,8,50,Calvin,17494.651170731708
1,8,60,2pl,4658.221679552481
1,8,60,Calvin,17080.010620796947
1,8,70,2pl,4630.141350022876
1,8,70,Calvin,17491.117872764225
1,8,80,2pl,4607.724509056207
1,8,80,Calvin,17525.515808943088
1,8,90,2pl,4636.3662143783795
1,8,90,Calvin,17615.761601626014
1,8,100,2pl,4585.360999937537
1,8,100,Calvin,17603.32970609756
1,16,0,2pl,4677.999150589156
1,16,0,Calvin,19702.841385281383
1,16,10,2pl,4701.635651134727
1,16,10,Calvin,19714.6270995671
1,16,20,2pl,4673.749408652985
1,16,20,Calvin,19662.095757575757
1,16,30,2pl,4660.295629122552
1,16,30,Calvin,19624.66935064935
1,16,40,2pl,4637.772836013794
1,16,40,Calvin,19583.81260936432
1,16,50,2pl,4584.376476540922
1,16,50,Calvin,19555.871941786285
1,16,60,2pl,4600.443580477427
1,16,60,Calvin,19531.98263442697
1,16,70,2pl,4513.278772984852
1,16,70,Calvin,19567.174112554112
1,16,80,2pl,4490.780588306443
1,16,80,Calvin,19585.8258008658
1,16,90,2pl,4517.963571494366
1,16,90,Calvin,19598.323333333334
1,16,100,2pl,4462.082165208834
1,16,100,Calvin,19545.43588744589
1,32,0,2pl,4762.080791566955
1,32,0,Calvin,19997.639228101914
1,32,10,2pl,4699.352231033886
1,32,10,Calvin,19990.924370571385
1,32,20,2pl,4655.681989894866
1,32,20,Calvin,19984.459369817578
1,32,30,2pl,4653.22869924355
1,32,30,Calvin,19984.851333766772
1,32,40,2pl,4615.2078117720475
1,32,40,Calvin,19979.13996984773
1,32,50,2pl,4559.981605965383
1,32,50,Calvin,19978.19308759234
1,32,60,2pl,4571.291956731696
1,32,60,Calvin,19979.93405246495
1,32,70,2pl,4515.163171291823
1,32,70,Calvin,19959.559812302123
1,32,80,2pl,4501.973381734308
1,32,80,Calvin,19800.12383954934
1,32,90,2pl,4422.992856409284
1,32,90,Calvin,19946.853242122717
1,32,100,2pl,2951.8522025063617
1,32,100,Calvin,19958.90649781396
1,64,0,2pl,4673.566968489143
1,64,0,Calvin,20081.764128893003
