WH,terminal,num_chunk,chunk_size,tp
1,1,1,1024,84.04340486466283
1,1,1,2048,84.42763461954785
1,1,1,4096,82.95447700247205
1,1,1,8192,84.02163475751253
1,1,2,1024,83.90497741476973
1,1,2,2048,84.30973812513808
1,1,2,4096,83.76621671595052
1,1,2,8192,82.69906141644101
1,1,4,1024,85.86034782766218
1,1,4,2048,86.41528435955506
1,1,4,4096,83.60474203562653
1,1,4,8192,82.21651953764912
1,1,8,1024,82.32676990734747
1,1,8,2048,84.04892216053348
1,1,8,4096,81.4156314172299
1,1,8,8192,81.51600691866496
1,2,1,1024,177.92526635261564
1,2,1,2048,176.4476186794836
1,2,1,4096,178.8215557031352
1,2,1,8192,173.87628693773422
1,2,2,1024,180.87032695327002
1,2,2,2048,177.0088522971521
1,2,2,4096,176.77038070721184
1,2,2,8192,179.24321248604153
1,2,4,1024,174.19295489480203
1,2,4,2048,177.20924801660794
1,2,4,4096,174.29361953089654
1,2,4,8192,170.88808119053724
1,2,8,1024,175.59777432112682
1,2,8,2048,175.42688704766906
1,2,8,4096,169.90913256967187
1,2,8,8192,176.5529590550633
1,4,1,1024,337.70385863069083
1,4,1,2048,339.12973071082337
1,4,1,4096,337.3575972292261
1,4,1,8192,334.011795244317
1,4,2,1024,331.10880447685713
1,4,2,2048,337.0865626879015
1,4,2,4096,336.4985161728568
1,4,2,8192,335.535726384617
1,4,4,1024,337.21271130223494
1,4,4,2048,333.0574254433632
1,4,4,4096,331.1632317554059
1,4,4,8192,338.53530813069875
1,4,8,1024,335.86138400063305
1,4,8,2048,335.72664097410944
1,4,8,4096,329.20326541486924
1,4,8,8192,332.563292024934
1,8,1,1024,530.3164408052253
1,8,1,2048,534.4661604338097
1,8,1,4096,528.879772723416
1,8,1,8192,526.9354773298314
1,8,2,1024,516.8910181656336
1,8,2,2048,531.6649764693508
1,8,2,4096,528.6418191844433
1,8,2,8192,524.7098859131212
1,8,4,1024,535.1102314777567
1,8,4,2048,541.3163088128655
1,8,4,4096,538.3251184781835
1,8,4,8192,538.3838919262681
1,8,8,1024,522.5511094973803
1,8,8,2048,529.3728338425649
1,8,8,4096,519.4617582207586
1,8,8,8192,520.9535935946575
1,16,1,1024,403.16615999501056
1,16,1,2048,401.9740183342512
1,16,1,4096,404.1531075188612
1,16,1,8192,392.6293489972174
1,16,2,1024,409.85699311162836
1,16,2,2048,409.44120573943775
1,16,2,4096,398.4352003229706
1,16,2,8192,405.1805176899874
1,16,4,1024,401.176369682239
1,16,4,2048,396.0145628701933
1,16,4,4096,402.730975033164
1,16,4,8192,410.2741363213027
1,16,8,1024,400.4510444628447
1,16,8,2048,386.69502487046026
1,16,8,4096,389.69209957989034
1,16,8,8192,403.27114394523227
1,32,1,1024,374.95175149155995
1,32,1,2048,367.205892008458
1,32,1,4096,375.55645542807446
1,32,1,8192,372.7636241017571
1,32,2,1024,378.04100432764056
1,32,2,2048,375.04652552099515
1,32,2,4096,377.20046351574064
1,32,2,8192,369.15342729157874
1,32,4,1024,369.8556560267429
1,32,4,2048,371.33154945316255
1,32,4,4096,373.80554586778845
1,32,4,8192,375.7749477499131
1,32,8,1024,382.0056841794753
1,32,8,2048,378.07897118318533
1,32,8,4096,369.1798412166789
1,32,8,8192,369.50482411295206
