Alg,#WH,#Distributed,#Threads,Throughput
Aria,2,90,12,1248.3333333333333
Aria,2,100,1,123.2
Aria,2,100,2,239.96666666666667
Aria,2,100,4,462.3666666666666
Aria,2,100,8,869.3000000000001
Aria,2,100,12,1243.1666666666667
Aria,4,0,1,249.5666666666667
Aria,4,0,2,477.59999999999997
Aria,4,0,4,927.8000000000001
Aria,4,0,8,1738.6000000000001
Aria,4,0,12,2483.733333333333
Aria,4,10,1,245.96666666666667
Aria,4,10,2,483.93333333333334
Aria,4,10,4,936.5
Aria,4,10,8,1748.6333333333332
Aria,4,10,12,2490.266666666667
Aria,4,20,1,247.9333333333333
Aria,4,20,2,484.43333333333334
Aria,4,20,4,921.4333333333334
Aria,4,20,8,1749.6000000000001
Aria,4,20,12,2464.7000000000003
Aria,4,30,1,245.9666666666667
Aria,4,30,2,484.1666666666667
Aria,4,30,4,923.0666666666666
Aria,4,30,8,1741.9333333333334
Aria,4,30,12,2479.7999999999997
Aria,4,40,1,243.96666666666667
Aria,4,40,2,478.59999999999997
Aria,4,40,4,926.4333333333334
Aria,4,40,8,1738.5333333333335
Aria,4,40,12,2472.2333333333336
Aria,4,50,1,248.4
Aria,4,50,2,477.9666666666667
Aria,4,50,4,929.3000000000001
Aria,4,50,8,1744.8666666666668
Aria,4,50,12,2462.5
Aria,4,60,1,244.86666666666667
Aria,4,60,2,485.8666666666666
Aria,4,60,4,925.6666666666666
Aria,4,60,8,1737.7666666666667
Aria,4,60,12,2484.5333333333333
Aria,4,70,1,247.46666666666667
Aria,4,70,2,482.76666666666665
Aria,4,70,4,928.1
Aria,4,70,8,1739.2
Aria,4,70,12,2468.2000000000003
Aria,4,80,1,246.76666666666665
Aria,4,80,2,481.1666666666667
Aria,4,80,4,925.2666666666668
Aria,4,80,8,1747.3999999999999
Aria,4,80,12,2472.633333333333
Aria,4,90,1,246.73333333333335
Aria,4,90,2,481.1666666666667
Aria,4,90,4,929.0
Aria,4,90,8,1739.3333333333333
Aria,4,90,12,2454.0333333333333
Aria,4,100,1,245.0666666666667
Aria,4,100,2,481.8
Aria,4,100,4,923.8333333333334
Aria,4,100,8,1739.0666666666666
Aria,4,100,12,2480.9333333333334
Aria,8,0,1,491.8
Aria,8,0,2,955.5333333333333
Aria,8,0,4,1849.2
Aria,8,0,8,3480.366666666667
Aria,8,0,12,4928.733333333334
Aria,8,10,1,492.6666666666667
Aria,8,10,2,957.3666666666667
Aria,8,10,4,1840.5333333333335
Aria,8,10,8,3459.2666666666664
Aria,8,10,12,4951.599999999999
Aria,8,20,1,494.90000000000003
Aria,8,20,2,955.8000000000001
Aria,8,20,4,1860.9333333333334
Aria,8,20,8,3467.4
Aria,8,20,12,4928.666666666667
Aria,8,30,1,489.5333333333333
Aria,8,30,2,961.1333333333333
Aria,8,30,4,1850.6333333333332
Aria,8,30,8,3454.0333333333333
Aria,8,30,12,4930.533333333334
Aria,8,40,1,493.56666666666666
Aria,8,40,2,958.9666666666667
Aria,8,40,4,1835.8666666666668
Aria,8,40,8,3459.2000000000003
Aria,8,40,12,4932.366666666666
Aria,8,50,1,494.0333333333333
Aria,8,50,2,957.0
Aria,8,50,4,1846.8999999999999
Aria,8,50,8,3468.433333333333
Aria,8,50,12,4936.266666666666
Aria,8,60,1,494.56666666666666
Aria,8,60,2,958.7333333333332
Aria,8,60,4,1839.3333333333333
