sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
0.75,56,silo_ycsb,0.0,0.0,0.023449652786647707,0.9966707859675427,0.997968008321894,0.9824728879695015,0.051001716981989416
0.45,28,herd_ycsb,0.0,0.0,0.005659328615996939,0.9795559629902447,0.9859602431005545,0.9710494804558059,0.014466302964119687
0.40,1,herd_ycsb,0.0,0.0,0.012802705342914278,0.9795559629902447,0.985256256451092,0.9740202875709633,0.008942723279212444
0.70,54,silo_ycsb,0.5,0.03333333333333333,0.023415051549601107,0.9966707859675427,0.9991489319264704,0.9437428360024339,0.04926293152882327
0.80,83,silo_ycsb,0.0,0.0,0.008946516300719798,0.9966707859675427,0.9971474642296414,0.9462114352116291,0.0156788750111356
0.55,25,gam_tpcc,0.0,0.0,0.020131094608277573,0.9571731790672277,0.9732981716469087,0.8715514236808626,0.08219069827769276
0.80,94,tapir_ycsb,0.0,1.0,0.0016387775445103059,0.9635074374070052,0.9649938381611352,0.9407504487242578,0.12023677581598458
0.70,80,gam_tpcc,0.0,0.0,0.012089318607300606,0.9571731790672277,0.9612875808409291,0.9240373138275059,0.041058705580356514
0.30,6,gam_tpcc,0.0,0.0,0.03862853462941831,0.9571731790672277,0.980812083546974,0.7457885263275364,0.23302126456764524
0.65,46,tapir_ycsb,0.0,0.0,0.014358533472445811,0.9635074374070052,0.9614149470513846,0.9535552552492698,0.06618356731565056
0.95,31,gam_tpcc,0.0,0.0,0.0038098602583263724,0.9571731790672277,0.9581066725906957,0.9331559069466208,0.01850403325033261
0.30,72,gam_tpcc,0.3333333333333333,0.6666666666666666,0.06358773854379941,0.9571731790672277,0.9812267561052245,0.31468444231186155,0.3039780259307444
0.65,37,mysql_tpcc,0.0,0.5,0.01907839079839585,0.998218669377621,0.9986047639565714,0.9967057424618359,0.021630038046322676
0.55,72,calvin-Calvin_tpcc,0.5,0.03142857142857143,0.05397852571520616,0.9512803843365047,0.9729921109893415,0.7516557743395933,0.24846840840553397
0.40,10,janus-Janus_tpcc,0.0,0.0761904761904762,0.05814493438240594,0.955801103792088,0.9543369190937138,0.8112628118812605,0.2721484292582096
0.90,73,cicada-Cicada_ycsb,0.0,0.0,0.015620111853880375,0.9228232541022933,0.9210737021151743,0.9295136343453781,0.02088589659920082
0.70,43,mysql_tpcc,0.0,0.0,0.02270779872079995,0.998218669377621,0.9984864614145577,0.9968654563259116,0.013511805650061161
0.15,75,star_ycsb,0.0,0.06666666666666667,0.04534467462650643,0.9641920557079284,0.9776190809024174,0.9249821268510792,0.04447552468318117
0.55,38,star_ycsb,0.0,0.03333333333333333,0.05441702251409225,0.9641920557079284,0.9652661202624239,0.9483044564305058,0.014967033101438649
0.80,51,mysql_tpcc,0.0,0.0,0.012949546470471501,0.998218669377621,0.9983203113332124,0.9973405047506955,0.008752684970707567
0.90,4,star_ycsb,0.0,0.0,0.006466086327323012,0.9641920557079284,0.96139396425473,0.9796256262357722,0.003596944422009863
0.25,68,janus-Janus_tpcc,0.25,0.04523809523809524,0.09346365704834037,0.955801103792088,0.9889602914906459,0.6020458087081584,0.18107903681134083
0.65,43,calvin-Calvin_tpcc,0.5,0.02976190476190476,0.014421149176064837,0.9512803843365047,0.9593099413986946,0.8333428074766295,0.20020186460706946
0.85,78,mysql_tpcc,0.0,0.0,0.012614092310294978,0.998218669377621,0.9982630762014987,0.9974542891682341,0.009190593317644215
0.95,52,mysql_tpcc,0.0,0.0,0.0034929590471625693,0.998218669377621,0.9981817518291738,0.9986043936214672,0.0024222494812952207
0.15,55,tapir_ycsb,2.0,0.05,0.08732073580799041,0.9635074374070052,0.9759709589823292,0.8719052892148719,0.29298490915123454
0.40,66,calvin-Calvin_tpcc,0.0,0.049999999999999996,0.15386036496761699,0.9512803843365047,0.9611290173177376,0.6493313979168955,0.5090340142423696
0.45,56,aria-Aria_tpcc,1.0,0.022727272727272728,0.16536181004694683,0.9999855166700965,0.9999912343885307,0.9997847349799264,0.019744252930629175
0.90,66,mysql_tpcc,0.0,0.0,0.009176897107930931,0.998218669377621,0.9983583537625412,0.9960035176092789,0.008182604431936314
0.20,32,drtm_tpcc,0.3333333333333333,0.3625,0.0213623871841252,0.9404530615383303,0.963710783974906,0.7110596822072911,0.23087737248789822
0.10,15,cicada-Cicada_ycsb,1.0,0.25,0.027069849214589797,0.9228232541022933,0.9473024825854853,0.8498239783370309,0.08931381713513047
0.30,97,star_ycsb,0.0,0.06666666666666667,0.00017661269725791073,0.9641920557079284,0.9640993130367077,0.9519679107285136,0.027552980458059418
0.80,58,janus-Janus_tpcc,0.0,0.0035714285714285713,0.02995146224938129,0.955801103792088,0.941827466193381,0.9384265582611835,0.05035872481005389
0.20,94,star_ycsb,0.0,0.13333333333333333,0.029201457868572145,0.9641920557079284,0.9642120353446977,0.9459014636485475,0.0545776008171532
0.20,82,drtm_tpcc,1.0,1.0270833333333333,0.011040211280175655,0.9404530615383303,0.952044502094427,0.8031918484583758,0.2795131118818737
0.40,19,herd_ycsb,0.0,1.0,0.04141031962226027,0.9795559629902447,0.9782601298058985,0.9783088295440484,0.03357086505034523
0.70,80,herd_ycsb,0.0,0.0,0.013358910861881346,0.9795559629902447,0.9799689931885271,0.9781593718294681,0.008202222548780669
0.55,37,herd_ycsb,0.0,0.0,0.02350721824980151,0.9795559629902447,0.9789001376247572,0.9784762728301846,0.006297911452170402
0.65,67,silo_ycsb,0.0,0.0,0.012443259994663641,0.9966707859675427,0.9971430691540223,0.9547109711034958,0.049664435290611125
0.75,95,herd_ycsb,0.0,1.0,0.010770757272749232,0.9795559629902447,0.9788304045942701,0.9804168701023133,0.00979161803008477
0.30,2,herd_ycsb,0.0,0.0,0.021537049485358395,0.9795559629902447,0.9847516228822825,0.9756390230256905,0.029568476268932498
0.85,83,star_tpcc,0.6666666666666666,0.3611111111111111,0.001404756454291306,0.9891328938680841,0.993400924539445,0.9445586740392886,0.0
0.55,13,silo_ycsb,0.5,0.02,0.05572826115926809,0.9966707859675427,0.9975056026101833,0.9121228324036005,0.0913490186019828
0.45,61,star_tpcc,0.6666666666666666,0.3611111111111111,0.0286528904538218,0.9891328938680841,0.996548364376214,0.9485716343779812,0.0
0.85,60,star_tpcc,0.3333333333333333,0.4166666666666667,0.004062303047006853,0.9891328938680841,0.9921144591205613,0.9453218999899442,0.04357621336606738
0.80,88,tapir_ycsb,0.0,0.0,0.010810572490384307,0.9635074374070052,0.9620584692264096,0.9588383754215275,0.1105559309126295
0.65,66,gam_tpcc,0.0,0.0,0.01151765363107717,0.9571731790672277,0.9633145987522193,0.903290364457306,0.10509329670065952
0.60,36,tapir_ycsb,0.0,1.0,0.015458008123941103,0.9635074374070052,0.9617743175142098,0.9449116689940813,0.046253679713231466
0.25,79,cicada-Cicada_ycsb,1.0,0.1,0.04662614889573399,0.9228232541022933,0.9291488627070134,0.890801605965047,0.08038476150728456
0.35,61,aria-Aria_tpcc,1.0,0.01,0.5118749963748306,0.9999855166700965,0.9999935457624302,0.9800190933188289,0.05823423290421548
0.40,32,cicada-Cicada_ycsb,0.0,0.0,0.04633277433562319,0.9228232541022933,0.9209601852096182,0.9107895965965964,0.019494244739988457
0.80,52,mysql_tpcc,0.0,0.5,0.005375050360176131,0.998218669377621,0.9982532442947702,0.997652363459177,0.012086997211993116
0.25,87,tapir_ycsb,0.0,0.0,0.30737856260802643,0.9635074374070052,0.9764130888489776,0.85746771195928,0.36282830622070145
0.85,59,calvin-Calvin_tpcc,0.5,0.024285714285714285,0.008395735476465993,0.9512803843365047,0.9544357547374822,0.8733580846573794,0.07221732925599535
0.95,75,drtm_tpcc,0.0,0.010416666666666666,0.0027017585868546238,0.9404530615383303,0.9404030487457611,0.930677194514437,0.04034158316944094
0.45,3,drtm_tpcc,0.0,0.010416666666666666,0.01678142984119747,0.9404530615383303,0.9571623145426806,0.8942259839768129,0.1260286214982659
0.90,45,mysql_tpcc,0.0,0.0,0.009701631600432914,0.998218669377621,0.9983873270792516,0.9962285645950755,0.006918584645109671
0.95,92,star_ycsb,0.0,0.0,0.0025758272224884193,0.9641920557079284,0.9625454253476554,0.983539213356542,0.0010069050827950167
0.95,31,janus-Janus_tpcc,0.0,0.0,0.006113861477371092,0.955801103792088,0.9506916542546536,0.9568147642808646,0.0217518124753489
0.80,28,aria-Aria_tpcc,0.0,0.0,0.000549201912556474,0.9999855166700965,0.9999856794115406,0.9999835687827193,0.0005322431272849482
0.50,64,aria-Aria_tpcc,1.0,0.01,0.4747648899267377,0.9999855166700965,0.9999906654141698,0.9901193548133627,0.06954903021230274
0.05,13,cicada-Cicada_ycsb,0.0,0.0,0.031141197617966493,0.9228232541022933,0.9593851595699352,0.6425613863861637,0.11658036340523141
0.40,40,aria-Aria_tpcc,1.0,0.01,0.5052556231486112,0.9999855166700965,0.9999907629476219,0.9706262111351608,0.14123303190600578
0.50,15,star_ycsb,0.0,0.03333333333333333,0.019434125975340305,0.9641920557079284,0.9635168527218616,0.9555554856573866,0.009315272014655292
0.75,33,calvin-Calvin_tpcc,0.5,0.036904761904761905,0.0116888140424605,0.9512803843365047,0.9531997374527038,0.8975487271097027,0.12295530968915705
0.45,79,mysql_tpcc,0.0,0.5,0.06769688615865627,0.998218669377621,0.9979383608632754,0.997561733042437,0.01715771489767868
0.85,1,janus-Janus_tpcc,0.0,0.0,0.020647171030892822,0.955801103792088,0.9469933159095585,0.941722590479662,0.052871480981853056
0.45,45,herd_ycsb,0.0,0.0,0.0398527398531493,0.9795559629902447,0.982713350108536,0.9762491866594165,0.0038558620967478197
0.40,24,silo_ycsb,0.5,0.52,0.0395222097054165,0.9966707859675427,0.9999964868036583,0.81220732855942,0.24463099764051593
0.65,15,silo_ycsb,0.0,0.0,0.020124970258526484,0.9966707859675427,0.9989079027780258,0.9117138519897766,0.1435505461704162
0.45,2,star_tpcc,0.0,0.0,0.014066632628564266,0.9891328938680841,0.994571305564241,0.966471418313851,0.08558525673996857
0.30,0,silo_ycsb,1.0,0.52,0.01998741270219581,0.9966707859675427,0.972623225400492,0.20216807760662558,0.3862696824403175
0.95,51,star_tpcc,0.0,0.027777777777777776,0.004390859955266599,0.9891328938680841,0.992675632055185,0.8616836755781532,0.042518997739458185
0.45,90,tapir_ycsb,1.0,1.0625,0.03365663744667571,0.9635074374070052,0.9707596019409609,0.8866014168649402,0.5713813051379011
0.80,56,aria-Aria_tpcc,0.0,0.0,0.0009533799644092511,0.9999855166700965,0.9999848236407597,0.9999872154698366,0.00030226297616381403
0.60,96,gam_tpcc,0.0,0.0,0.016638279194860398,0.9571731790672277,0.9611419075441252,0.9259566164375043,0.11435443776329891
0.65,29,aria-Aria_tpcc,0.0,0.0,0.06568598048801433,0.9999855166700965,0.999990524927187,0.9998307753053676,0.01932570752113505
0.95,15,cicada-Cicada_ycsb,0.0,0.0,0.005883776258851697,0.9228232541022933,0.9219731408331646,0.9415998773279068,0.006484637697348307
0.85,78,aria-Aria_tpcc,0.0,0.0,0.0007401423766152382,0.9999855166700965,0.9999848022020145,0.9999886395832167,0.00027305609296413014
