sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
0.85,59,calvin-Calvin-comp_tpcc,0.0,0.0,0.04333718570767403,0.9516793506621265,0.9494231991012255,0.9548100034405044,0.010909715020419986
0.15,80,aria-Calvin-comp_tpcc,0.0,0.0,0.31532267400104474,0.9516793506621265,0.9999931209837246,,0.3079135133597627
0.50,29,aria-Calvin-comp_tpcc,0.0,0.0,0.03835990642858361,0.9516793506621265,0.9998818474175848,0.9997867600162141,0.2545780232537661
0.35,46,aria-Calvin-comp_tpcc,0.0,0.0,0.00437195175870031,0.9516793506621265,0.9998457937892488,0.9998003872250487,0.2557825204633486
0.60,47,calvin-Calvin-comp_tpcc,0.0,0.0,0.0020820203144524263,0.9516793506621265,0.9649015520749958,0.8997713925268906,0.06374065280162841
0.90,15,calvin-Calvin-comp_tpcc,0.0,1.0,0.017391900500939916,0.9516793506621265,0.9507588294894298,0.9332340561173776,0.020819505255824544
0.55,2,calvin-Calvin-comp_tpcc,0.0,0.0,0.10007761704900892,0.9516793506621265,0.9627129159850504,0.9039298564829201,0.05274699819592976
0.85,88,calvin-Calvin-comp_tpcc,0.0,0.0,0.00368778567606054,0.9516793506621265,0.9496946799452015,0.9538369108925647,0.012446651022919503
0.60,82,calvin-Calvin-comp_tpcc,0.0,0.0,0.1590758629137629,0.9516793506621265,0.957016715311716,0.8517546869647727,0.07090581762320836
0.90,26,aria-Calvin-comp_tpcc,0.0,0.0,0.10428888199484315,0.9516793506621265,0.9999053423095255,0.9998369097804897,0.2516016991154928
0.55,28,aria-Calvin-comp_tpcc,0.0,0.0,0.20459219625282715,0.9516793506621265,0.9999420103334161,0.9997022806944126,0.2532667836782966
0.55,62,calvin-Calvin-comp_tpcc,0.0,0.0,0.019667968368384192,0.9516793506621265,0.9761114001177716,0.9020876894743362,0.07370361426645933
0.35,82,aria-Calvin-comp_tpcc,0.0,0.0,0.11045333474969543,0.9516793506621265,0.9999025924643109,0.999788956349556,0.25316892199649
0.40,38,calvin-Calvin-comp_tpcc,0.0,1.0,0.0020696343952075202,0.9516793506621265,0.9774360726253124,0.9094479981658209,0.0408680687581372
0.95,60,calvin-Calvin-comp_tpcc,0.0,0.0,0.0035721063761717242,0.9516793506621265,0.9482263136541367,0.9881551965739207,0.003880923582138762
0.55,66,calvin-Calvin-comp_tpcc,0.0,0.0,0.0064464026276087605,0.9516793506621265,0.9590874974827933,0.871004611515561,0.08268708698301848
0.40,75,aria-Calvin-comp_tpcc,0.0,0.0,0.1110663417288471,0.9516793506621265,0.999852418576542,0.9997799279681966,0.2576282001201484
0.85,39,calvin-Calvin-comp_tpcc,0.0,0.0,0.017225887982825316,0.9516793506621265,0.9499934676404413,0.9561183204136037,0.01967090288854434
0.60,50,aria-Calvin-comp_tpcc,0.0,0.0,0.12998293132538524,0.9516793506621265,0.9998646403345638,0.9997949129494891,0.2540397554730571
0.20,57,calvin-Calvin-comp_tpcc,0.0,1.0,0.1409810143562648,0.9516793506621265,0.9746922784749071,0.783508710507171,0.17998701047456211
0.80,7,aria-Calvin-comp_tpcc,0.0,0.0,0.12845301091288058,0.9516793506621265,0.9999057575400747,0.9997969669400865,0.25158575627934476
0.95,0,aria-Calvin-comp_tpcc,0.0,0.0,0.11086311583773795,0.9516793506621265,0.9998953821871158,0.9999339325312804,0.25228452335343876
0.70,8,calvin-Calvin-comp_tpcc,0.0,0.0,0.1656548804901729,0.9516793506621265,0.951802500156417,0.8612069451113268,0.049888465759062195
0.70,76,aria-Calvin-comp_tpcc,0.0,0.0,0.08632107010070916,0.9516793506621265,0.9999298277305707,0.9997215012461464,0.25262052557204284
0.85,55,aria-Calvin-comp_tpcc,0.0,0.0,0.10252507377425363,0.9516793506621265,0.9998945770569178,0.9998541200862145,0.25011408838416094
0.50,89,calvin-Calvin-comp_tpcc,0.0,1.0,0.03574760253439918,0.9516793506621265,0.9617113481347135,0.8877659525255798,0.061871692415331525
0.30,0,calvin-Calvin-comp_tpcc,0.0,0.0,0.10694292229398811,0.9516793506621265,0.9376151281952924,0.9221684958094941,0.03454474263525448
0.65,74,aria-Calvin-comp_tpcc,0.0,0.0,0.15467165286937895,0.9516793506621265,0.9998975403290258,0.9998764395408459,0.25328740522310944
0.15,99,aria-Calvin-comp_tpcc,0.0,1.0,0.006267402532286026,0.9516793506621265,0.9999554193097995,,0.9219101004637222
0.90,75,calvin-Calvin-comp_tpcc,0.0,0.0,0.024655033053107123,0.9516793506621265,0.9548850533289494,0.895659740599392,0.03400996340635781
0.85,41,aria-Calvin-comp_tpcc,0.0,0.0,0.15024227824194775,0.9516793506621265,0.9999093787697423,0.999785704841009,0.2509423056193473
0.70,72,calvin-Calvin-comp_tpcc,0.0,1.0,0.1321981709569433,0.9516793506621265,0.9558491302830613,0.7570591852916595,0.09360983507815736
0.80,76,calvin-Calvin-comp_tpcc,0.0,0.0,0.015385469984918632,0.9516793506621265,0.9538040526001111,0.921375773238099,0.03586417898393712
0.30,17,calvin-Calvin-comp_tpcc,0.0,0.0,0.1972477940458664,0.9516793506621265,0.9372973725789715,0.915147460821958,0.06278582811171546
0.65,83,calvin-Calvin-comp_tpcc,0.0,0.0,0.014803325730451733,0.9516793506621265,0.956195371147546,0.9244952711889499,0.020223660906017737
0.70,36,calvin-Calvin-comp_tpcc,0.0,0.0,0.05608072956140303,0.9516793506621265,0.9540557465787775,0.916464669925483,0.033586570219368395
0.35,4,aria-Calvin-comp_tpcc,0.0,0.0,0.1487668337040428,0.9516793506621265,0.9998677204415198,0.9997932056251246,0.2523530321232502
0.60,9,aria-Calvin-comp_tpcc,0.0,0.0,0.09162515050282594,0.9516793506621265,0.9998585677269665,0.9998044745208938,0.25493354343481567
0.45,51,aria-Calvin-comp_tpcc,0.0,0.0,0.11394271063647932,0.9516793506621265,0.999893482085523,0.9997643630255701,0.26109203337110753
0.75,20,aria-Calvin-comp_tpcc,0.0,0.0,0.16093651552112104,0.9516793506621265,0.9998935789660421,0.9998876853087869,0.25109864654205716
0.80,39,aria-Calvin-comp_tpcc,0.0,0.0,0.08755737635391564,0.9516793506621265,0.9999316003179393,0.9994843869200267,0.2515929284752394
0.35,42,aria-Calvin-comp_tpcc,0.0,0.0,0.017844437089115484,0.9516793506621265,0.9998358581717298,0.9998341227488047,0.2543532023256121
0.25,6,calvin-Calvin-comp_tpcc,0.0,0.0,0.1902388858281116,0.9516793506621265,0.9564574122685524,,0.1565669146502478
0.35,17,calvin-Calvin-comp_tpcc,0.0,1.0,0.2041276625215681,0.9516793506621265,0.9337971655493393,0.894796915311856,0.0891974379826074
0.45,30,aria-Calvin-comp_tpcc,0.0,0.0,0.09129452845506564,0.9516793506621265,0.9998726206151339,0.9998094031401858,0.25668417724303005
0.80,30,calvin-Calvin-comp_tpcc,0.0,0.0,0.006799671560489939,0.9516793506621265,0.9568817804326363,0.920576791923934,0.020222381402546855
0.70,98,calvin-Calvin-comp_tpcc,0.0,0.0,0.12785524270978293,0.9516793506621265,0.9156197943093077,0.962459769263653,0.02399714036565756
0.80,20,calvin-Calvin-comp_tpcc,0.0,0.0,0.01708266145350179,0.9516793506621265,0.9570332753499181,0.9057896039821888,0.04288405106383017
0.65,58,calvin-Calvin-comp_tpcc,0.0,1.0,0.03160377827456329,0.9516793506621265,0.9552105876015182,0.9176241728891636,0.051847587504608134
0.35,84,aria-Calvin-comp_tpcc,0.0,0.0,0.1167459785448049,0.9516793506621265,0.9997993572948598,0.9998295647139533,0.25114129398761365
0.65,33,calvin-Calvin-comp_tpcc,0.0,1.0,0.04462406562126919,0.9516793506621265,0.9437329520767518,0.9460941219481243,0.0624842454538177
0.90,28,calvin-Calvin-comp_tpcc,0.0,1.0,0.004053452788797929,0.9516793506621265,0.9499628052292082,0.960272737495543,0.011227181791557794
0.95,73,aria-Calvin-comp_tpcc,0.0,0.0,0.10063110984945273,0.9516793506621265,0.9998960580115711,0.9999391044033679,0.2523262073697653
0.65,29,aria-Calvin-comp_tpcc,0.0,0.0,0.04780722240017682,0.9516793506621265,0.9999174914655614,0.9998218463777807,0.25439587214186443
0.45,14,aria-Calvin-comp_tpcc,0.0,0.0,0.15603841193907064,0.9516793506621265,0.999836979056764,0.9997732498638466,0.2525141386133285
0.70,4,calvin-Calvin-comp_tpcc,0.0,0.0,0.05001590317415211,0.9516793506621265,0.9485916658604827,0.929934317859118,0.07287122332803689
0.70,15,calvin-Calvin-comp_tpcc,0.0,0.0,0.04099858764174191,0.9516793506621265,0.9474695418938001,0.9420672201868162,0.05045777704371357
0.35,91,aria-Calvin-comp_tpcc,0.0,0.0,0.04586441987502854,0.9516793506621265,0.9998690728097553,0.9997734495767692,0.2558887460824866
0.75,47,calvin-Calvin-comp_tpcc,0.0,0.0,0.0278691460540883,0.9516793506621265,0.9635434794379807,0.8852278159259478,0.0675874821694459
0.25,67,aria-Calvin-comp_tpcc,0.0,0.0,0.06921354035910504,0.9516793506621265,0.9998431279895179,0.9996830041715238,0.2611718075131917
0.75,27,aria-Calvin-comp_tpcc,0.0,0.0,0.09941316477560563,0.9516793506621265,0.9999259595775251,0.9997564036474743,0.24936980338888803
0.90,75,aria-Calvin-comp_tpcc,0.0,0.0,0.08753895194936095,0.9516793506621265,0.9998957134917393,0.9998940278466946,0.2535399789676358
0.30,50,calvin-Calvin-comp_tpcc,0.0,1.0,0.041085352610383985,0.9516793506621265,0.9837751933842548,,0.2475740068814184
0.35,75,calvin-Calvin-comp_tpcc,0.0,0.0,0.15762137018229982,0.9516793506621265,0.9691271648425723,0.8924660588184111,0.1250587891943735
0.45,67,calvin-Calvin-comp_tpcc,0.0,0.0,0.03800727715447172,0.9516793506621265,0.9074582030680522,0.912845593046763,0.14033508674876144
0.75,3,aria-Calvin-comp_tpcc,0.0,0.0,0.06291362826573793,0.9516793506621265,0.9998900529299903,0.9999119225065668,0.2514294053682874
0.85,56,calvin-Calvin-comp_tpcc,0.0,1.0,0.005316726881075928,0.9516793506621265,0.9485244021185626,0.9519060807463617,0.02283001018043307
0.25,36,aria-Calvin-comp_tpcc,0.0,0.0,0.011480558511453687,0.9516793506621265,0.9999972517158372,0.9994473734412467,0.24481002470914137
0.15,77,calvin-Calvin-comp_tpcc,0.0,0.0,0.05058038695336803,0.9516793506621265,0.8960753055139983,,0.2668879505648456
0.55,98,aria-Calvin-comp_tpcc,0.0,0.0,0.1337054235582999,0.9516793506621265,0.9999212201691803,0.9997964677602307,0.2452071556768214
0.15,6,calvin-Calvin-comp_tpcc,0.0,0.0,0.1402070015769044,0.9516793506621265,0.964063406151193,,0.13461241379641528
0.70,6,calvin-Calvin-comp_tpcc,0.0,1.0,0.002479770461750741,0.9516793506621265,0.9612739264818971,0.9043386573684277,0.04723850567720775
0.90,95,aria-Calvin-comp_tpcc,0.0,0.0,0.08478065661644157,0.9516793506621265,0.999905939726131,0.9998080422166875,0.2530289491027603
0.60,93,calvin-Calvin-comp_tpcc,0.0,0.0,0.039996083389705006,0.9516793506621265,0.9474877555559299,0.9338990556915849,0.013499611354561541
0.85,65,calvin-Calvin-comp_tpcc,0.0,0.0,0.03777424580698069,0.9516793506621265,0.9539855297569216,0.8978954289999351,0.027087949708637038
0.25,75,calvin-Calvin-comp_tpcc,0.0,0.0,0.11905051468745792,0.9516793506621265,0.9840238326369515,0.8981249154185527,0.16241555413644168
0.25,25,calvin-Calvin-comp_tpcc,0.0,0.0,0.2012999752043777,0.9516793506621265,0.9211864671238867,0.9000371059421028,0.15848123152203686
0.55,18,calvin-Calvin-comp_tpcc,0.0,1.0,0.016167087495545907,0.9516793506621265,0.9662761530038606,0.9163128686232682,0.041471574085405416
0.85,33,calvin-Calvin-comp_tpcc,0.0,1.0,0.0010896705780965577,0.9516793506621265,0.9486473078617383,0.9589281925816753,0.012547816608667661
0.25,51,calvin-Calvin-comp_tpcc,0.0,0.0,0.14714064683371303,0.9516793506621265,0.9557739418995603,0.9015918184814259,0.15599509931708772
0.40,71,aria-Calvin-comp_tpcc,0.0,0.0,0.12161870599676289,0.9516793506621265,0.9998869086188585,0.9996211057254635,0.24241891531436444
0.15,35,calvin-Calvin-comp_tpcc,1,1,,,,
0.80,1,calvin-Calvin-comp_tpcc,0.0,0.0,0.02337659157570804,0.9516793506621265,0.9536275679808411,0.9185296229448129,0.033137942910532764
0.90,30,calvin-Calvin-comp_tpcc,0.0,0.0,0.0252161799118083,0.9516793506621265,0.9592671611979844,0.8863618975609456,0.0323684584314331
0.55,69,calvin-Calvin-comp_tpcc,0.0,1.0,0.037496750758504505,0.9516793506621265,0.9702229235787451,0.8716014877239213,0.11690000500460751
0.50,22,aria-Calvin-comp_tpcc,0.0,0.0,0.14646286727577046,0.9516793506621265,0.9999401876882025,0.9998068431036992,0.24952958111335777
0.50,13,aria-Calvin-comp_tpcc,0.0,0.0,0.07990942369077864,0.9516793506621265,0.9998750058842081,0.9997807156425292,0.2553333259243157
0.50,6,aria-Calvin-comp_tpcc,0.0,0.0,0.133828721092835,0.9516793506621265,0.9999023672414274,0.9997319169946466,0.2510950515610587
0.70,56,calvin-Calvin-comp_tpcc,0.0,1.0,0.07383061694628706,0.9516793506621265,0.9468335238217254,0.9498531296294459,0.030303642052549318
0.50,80,aria-Calvin-comp_tpcc,0.0,0.0,0.1512916144068055,0.9516793506621265,0.9998943668470577,0.9997574573106915,0.2519067922922692
0.65,11,calvin-Calvin-comp_tpcc,0.0,0.0,0.17479124710220612,0.9516793506621265,0.9320513116664686,0.9171814850011235,0.030384925771614807
0.50,27,aria-Calvin-comp_tpcc,0.0,0.0,0.12056163472885201,0.9516793506621265,0.9999024191867679,0.9997216092351997,0.24486492984479324
0.60,43,aria-Calvin-comp_tpcc,0.0,0.0,0.06789087636512464,0.9516793506621265,0.9998872795001751,0.9997821384338645,0.24837002691828158
0.85,3,aria-Calvin-comp_tpcc,0.0,0.0,0.0727767016516499,0.9516793506621265,0.9998961218874912,0.9998918387562877,0.2506831864576957
0.95,63,aria-Calvin-comp_tpcc,0.0,0.0,0.09458108866326437,0.9516793506621265,0.9998954597065124,0.9999270457830457,0.25168414218204616
0.85,95,aria-Calvin-comp_tpcc,0.0,0.0,0.09276276926862198,0.9516793506621265,0.9999082510454506,0.9998167494931709,0.252958535244002
0.90,71,aria-Calvin-comp_tpcc,0.0,0.0,0.10675754540584409,0.9516793506621265,0.9999077262499286,0.9995636808165719,0.2536462176902772
0.75,38,calvin-Calvin-comp_tpcc,0.0,0.0,0.014309430328694472,0.9516793506621265,0.9606725626630751,0.8464971652746937,0.060499776291778204
0.65,16,calvin-Calvin-comp_tpcc,0.0,1.0,0.024154566575130487,0.9516793506621265,0.9570733853355525,0.9104808229906437,0.07039203796646012
0.55,40,aria-Calvin-comp_tpcc,0.0,0.0,0.05756325305416632,0.9516793506621265,0.9998187963824829,0.9998310766591212,0.2548059237479172
0.50,88,aria-Calvin-comp_tpcc,0.0,0.0,0.11854247488263203,0.9516793506621265,0.9999136563829438,0.9997527150899805,0.25762020725111323
0.65,8,aria-Calvin-comp_tpcc,0.0,0.0,0.13652994575514626,0.9516793506621265,0.9999270220729102,0.9997889213726505,0.2511471195242543
0.90,69,aria-Calvin-comp_tpcc,0.0,0.0,0.0895370043464026,0.9516793506621265,0.9999002611179143,0.9998373604362759,0.25073905929148477
0.15,46,calvin-Calvin-comp_tpcc,0.0,1.0,0.033969787841928334,0.9516793506621265,0.9586789176902373,,0.296876012765786
0.65,50,calvin-Calvin-comp_tpcc,0.0,1.0,0.010512791603368599,0.9516793506621265,0.9590116893815259,0.894466372114158,0.05444413661619596
0.85,12,aria-Calvin-comp_tpcc,0.0,0.0,0.09118806818376074,0.9516793506621265,0.9999000394743758,0.9998465900614542,0.2523632994459901
0.95,76,aria-Calvin-comp_tpcc,0.0,0.0,0.11324152147847927,0.9516793506621265,0.999897556557025,0.999901639931737,0.2526478510585344
0.75,61,calvin-Calvin-comp_tpcc,0.0,1.0,0.08614202278965738,0.9516793506621265,0.9677948637719118,0.8804512409930303,0.07708178377561525
0.15,89,aria-Calvin-comp_tpcc,1.0,2.0,0.14388866071547274,0.9516793506621265,0.9999981433738361,,0.6172806001203848
0.25,40,calvin-Calvin-comp_tpcc,0.0,1.0,0.1510235458862565,0.9516793506621265,0.8940593122115281,,0.2952186800849398
0.75,26,calvin-Calvin-comp_tpcc,0.0,1.0,0.0198044825179598,0.9516793506621265,0.9480895779403433,0.9353172306467991,0.05139821973838876
0.60,57,aria-Calvin-comp_tpcc,0.0,0.0,0.11039009412148054,0.9516793506621265,0.9999183606950443,0.9997805209844985,0.24822403915123814
0.20,32,aria-Calvin-comp_tpcc,1.0,1.0,0.23073113735590822,0.9516793506621265,0.9999889877796968,,0.228957159218249
0.35,62,aria-Calvin-comp_tpcc,0.0,0.0,0.1362359071817128,0.9516793506621265,0.9999209441926379,0.9997207165751117,0.2628241115270149
0.80,68,calvin-Calvin-comp_tpcc,0.0,0.0,0.0036262234182529163,0.9516793506621265,0.9537572628148901,0.9243682141036397,0.03609962295152347
0.60,37,aria-Calvin-comp_tpcc,0.0,0.0,0.2726801499922114,0.9516793506621265,0.9999261584797607,0.9997031655921085,0.24880743906800817
0.15,1,calvin-Calvin-comp_tpcc,1.0,2.0,0.1652547046788752,0.9516793506621265,0.9928757531051423,,0.5110518599130328
0.45,7,calvin-Calvin-comp_tpcc,0.0,0.0,0.206891246258334,0.9516793506621265,0.9784546307602429,0.8225016130232881,0.10863084345845242
0.95,66,aria-Calvin-comp_tpcc,0.0,0.0,0.09741066014205285,0.9516793506621265,0.9999109975665674,0.996166098154236,0.2521662667271546
0.70,5,calvin-Calvin-comp_tpcc,0.0,0.0,0.16007064350194433,0.9516793506621265,0.965569018427467,0.817864011331374,0.04530712106802079
0.70,64,calvin-Calvin-comp_tpcc,0.0,1.0,0.09076989979901723,0.9516793506621265,0.9406090921793606,0.8745064881129585,0.0891974379826074
0.45,82,calvin-Calvin-comp_tpcc,0.0,0.0,0.16003703877532494,0.9516793506621265,0.9566919328627709,0.8793487101376568,0.09466967933121623
0.45,30,calvin-Calvin-comp_tpcc,0.0,0.0,0.17035151858796233,0.9516793506621265,0.9654574396263713,0.8920196340373965,0.04076551522805935
0.20,23,calvin-Calvin-comp_tpcc,0.0,1.0,0.14579748085800698,0.9516793506621265,0.9994487317092405,,0.3226372892973315
0.80,51,aria-Calvin-comp_tpcc,0.0,0.0,0.11138295556222394,0.9516793506621265,0.9999095288662536,0.9998258797570412,0.25412433819150526
0.70,24,calvin-Calvin-comp_tpcc,0.0,0.0,0.035812713763267834,0.9516793506621265,0.9596327849916754,0.8877961835505634,0.0676883519670211
0.35,19,calvin-Calvin-comp_tpcc,0.0,0.0,0.18328399988608862,0.9516793506621265,0.9208406250570067,0.9167819936767269,0.07402086182144416
0.85,85,calvin-Calvin-comp_tpcc,0.0,0.0,0.030949035467287722,0.9516793506621265,0.9481694617776979,0.9509219289255437,0.02419649143875091
0.75,32,aria-Calvin-comp_tpcc,0.0,0.0,0.07723159961781173,0.9516793506621265,0.9998997212810741,0.9998472894753767,0.2520958151648275
0.70,86,calvin-Calvin-comp_tpcc,0.0,0.0,0.1629509370928915,0.9516793506621265,0.9545280448034446,0.9193072221600224,0.04280207597890906
0.75,94,aria-Calvin-comp_tpcc,0.0,0.0,0.16287919333767814,0.9516793506621265,0.9999069859903225,0.9998085341927119,0.2514052716357268
0.80,25,aria-Calvin-comp_tpcc,0.0,0.0,0.14276393557367523,0.9516793506621265,0.9999005008683018,0.9998495425339161,0.25478918393223415
0.55,57,aria-Calvin-comp_tpcc,0.0,0.0,0.09016779383295465,0.9516793506621265,0.9999172973059639,0.9997737582906997,0.2478030487056444
0.55,83,calvin-Calvin-comp_tpcc,0.0,0.0,0.1689171751199255,0.9516793506621265,0.9327071041129079,0.9139328957187793,0.06693168661575594
0.35,76,aria-Calvin-comp_tpcc,0.0,0.0,0.11545420258202549,0.9516793506621265,0.9998827898285054,0.9997929168101295,0.2526373341926679
0.70,65,aria-Calvin-comp_tpcc,0.0,0.0,0.19135301862127668,0.9516793506621265,0.9999277224973143,0.9996548641150701,0.25128666450608605
0.40,88,aria-Calvin-comp_tpcc,0.0,0.0,0.14612590446221452,0.9516793506621265,0.999906584079305,0.999763983903508,0.25728413150055596
0.90,9,calvin-Calvin-comp_tpcc,0.0,1.0,0.005155263977554503,0.9516793506621265,0.9574274205917394,0.8859570960833955,0.019338948161070776
