sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
0.55,49,herd_ycsb,0.0,0.0,0.03412708144768517,0.9795559629902447,0.9777719875435655,0.9805663448349884,0.008987366310274497
0.70,55,herd_ycsb,0.0,0.0,0.005117405360672733,0.9795559629902447,0.9800532698305479,0.9776708658477622,0.004848885061702446
0.60,33,herd_ycsb,0.0,0.0,0.01818842356237982,0.9795559629902447,0.9822888709916788,0.9743767239524107,0.01139766039265111
0.85,75,silo_ycsb,0.0,0.0,0.007614330184771548,0.9966707859675427,0.9970245726460955,0.9901549292549666,0.014348130341020587
0.40,77,herd_ycsb,0.0,1.0,0.010551384161472166,0.9795559629902447,0.9801235381732369,0.9771388677990706,0.006225394096152914
0.35,96,star_tpcc,0.6666666666666666,0.3611111111111111,0.003655550812055791,0.9891328938680841,0.998130488309384,0.8380334245125267,0.0
0.65,6,star_tpcc,0.0,0.027777777777777776,0.018270355452469866,0.9891328938680841,0.9910788644712947,0.9753761653451641,0.037192108761898844
0.85,75,tapir_ycsb,1.0,0.125,0.021538457164658492,0.9635074374070052,0.9724285935011896,0.8940772572095737,0.01476934032788646
0.95,9,tapir_ycsb,0.0,0.0,0.0012415941515019069,0.9635074374070052,0.9624654094784145,0.9751742804878754,0.020970399651776606
0.55,44,tapir_ycsb,0.0,0.0,0.01547782310663351,0.9635074374070052,0.969014393108807,0.9374351278544965,0.05598646708697075
0.70,2,aria-Aria_tpcc,0.0,0.0,0.0016242293844029865,0.9999855166700965,0.9999873687351142,0.999979732199364,0.0012865315183303583
0.60,97,tapir_ycsb,0.0,0.0,0.01494657281472861,0.9635074374070052,0.9642327541335092,0.9506180033476734,0.03607015380059664
0.50,46,cicada-Cicada_ycsb,0.0,0.0,0.00224214974026532,0.9228232541022933,0.9268714582472475,0.9112658836369458,0.015449360993478758
