sample_ratio,random,split,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
0.30,5,6,calvin-Calvin_tpcc,0.0,0.0,0.013623874433593253,0.805957535218111,0.8349758131314712,0.7847144028797957,0.16244175873970446
0.20,3,1,aria-Aria_tpcc,0.0,0.0,0.0001579191734167873,0.9960699191676947,0.9965553912612098,0.9942285383174775,0.016094739756889374
0.55,8,5,herd_ycsb,0.0,0.0,0.029440019710373133,0.9795559629902447,0.977911151853264,0.982124629826459,0.02613410112835246
0.60,9,4,calvin-Calvin_tpcc,0.0,0.0,0.02173329190116456,0.805957535218111,0.7913680464908992,0.8010387169884708,0.10764367817980858
0.20,9,7,aria-Aria_tpcc,0.0,0.0,0.0009709820838051941,0.9960699191676947,0.9962235983644593,0.9954418993377334,0.02020640890539105
0.95,0,6,aria-Aria_tpcc,0.0,0.0,0.0003045371296975796,0.9960699191676947,0.9959834693815086,0.9964283141131105,0.0025016241993680577
0.15,7,1,calvin-Calvin_tpcc,0.0,1.0,0.08967915972575433,0.805957535218111,0.9307001304542706,0.5581146840168638,0.2709528914477578
0.75,2,9,star_tpcc,0.0,0.0,0.020494225760408862,0.9891328938680841,0.9936587328675482,0.9746545935481796,0.04695061534414798
0.25,5,5,calvin-Calvin_tpcc,0.0,0.5,0.004445855456563799,0.805957535218111,0.8359647989941988,0.8391095811806364,0.14743354407109205
0.55,7,1,star_tpcc,0.6666666666666666,0.3611111111111111,0.02213357654950579,0.9891328938680841,0.9972115326308505,0.903701285005671,0.0
0.65,9,4,tapir_ycsb,0.0,1.0,0.032322697772529996,0.9635074374070052,0.9668637912764841,0.9305715310198549,0.11618280045760587
0.65,8,0,tapir_ycsb,0.0,0.0,0.034523210294452294,0.9635074374070052,0.9563801618787865,0.9407487085165864,0.10915207783312464
0.45,0,7,gam_tpcc,0.0,0.3333333333333333,0.0386933553051789,0.9571731790672277,0.9671498788525772,0.8640280285572296,0.2216827006077121
0.55,5,4,cicada-Cicada_ycsb,0.0,0.0,0.01680891063445189,0.9228232541022933,0.9274548898597877,0.9233244521027583,0.042827247030241176
0.85,9,4,gam_tpcc,0.0,0.0,0.0065219224981572,0.9571731790672277,0.9631757279095033,0.9039313086775702,0.04858827331105262
0.45,1,0,drtm_tpcc,0.3333333333333333,0.3541666666666667,0.03585364692562601,0.9404530615383303,0.961722998258748,0.9207761829805245,0.20013915905311386
0.40,7,2,janus-Janus_tpcc,1.0,0.3095238095238094,0.13585104882484095,0.955801103792088,0.973486250231007,-0.5375292761056256,0.2361529143335741
0.55,9,1,silo-Silo_tpcc,0.5,0.5555555555555554,0.09678394414372322,0.9834710484572299,0.9819542875963558,0.8902402703081491,0.18314265137972585
0.30,4,6,gam_tpcc,1.0,0.35674603174603176,0.01843776362553464,0.9571731790672277,0.9741830226463417,-8.10958451835418,0.6561782307280735
0.80,1,2,drtm_tpcc,0.0,0.010416666666666666,0.005070529002811973,0.9404530615383303,0.9454887776315697,0.9194582323918313,0.06373046816864114
0.70,9,6,star_ycsb,0.0,0.06666666666666667,0.02672419729861461,0.9641920557079284,0.9592270691617898,0.9529074314777507,0.01739998758089304
0.95,1,5,star_ycsb,0.0,0.03333333333333333,0.006424500175007952,0.9641920557079284,0.9620818880541011,0.9623889766272762,0.006232734409335188
0.85,5,0,mysql_tpcc,0.0,0.0,0.009624965375873401,0.998218669377621,0.9982451187778355,0.9983450734766607,0.009951717020111717
0.60,8,2,postgresql_tpcc,0.0,0.0,0.056239257038941615,0.998519743400367,0.9988125373784377,0.9983450064375283,0.027833517460383705
