stratified_term,sample_ratio,random,split,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
zipf,0.70,5,3,herd_ycsb_zipf,0.0,1.0,0.026219520923594364,0.9795559629902447,0.9784791466307882,0.9783164910088904,0.011648440280392303
threads,0.95,5,8,silo_ycsb_threads,0.0,0.0,0.011724887883460544,0.9966707859675427,0.9982009110260663,0.9905872271069788,0.031955345520995354
num_keys,0.45,7,7,herd_ycsb_num_keys,0.0,0.0,0.00979150834555087,0.9795559629902447,0.9808467705624285,0.9747655755259348,0.005980049730483716
WH,0.40,3,3,calvin-Calvin_tpcc_WH,0.0,0.0,0.02675572455429677,0.805957535218111,0.8257611408876349,0.7638500267314526,0.09939151260329623
dist,0.85,1,2,calvin-Calvin_tpcc_dist,0.0,0.0,0.019839183603838018,0.805957535218111,0.7984640138136425,0.80991854533847,0.043809531854891774
value_size,0.25,8,7,herd_ycsb_value_size,0.0,0.0,0.046791462582380094,0.9795559629902447,0.9843061315562366,0.9729300644240189,0.03233533413808842
cross,0.65,0,0,star_tpcc_cross,0.3333333333333333,0.3611111111111111,0.012124720767269635,0.9891328938680841,0.9941705031809793,0.9706309050523315,0.05778225381045272
Distributed,0.70,6,6,aria-Aria_tpcc_Distributed,0.0,0.0,0.0015341209516012144,0.9960699191676947,0.9963853907850757,0.9961139174986627,0.004704100880812079
ReadRatio,0.65,6,5,tapir_ycsb_ReadRatio,1.0,0.125,0.02076607182936069,0.9635074374070052,0.9775315223164429,0.907802819729159,0.10546878079571675
threads,0.90,5,6,cicada-Cicada_ycsb_threads,0.0,0.0,0.0041094622648960855,0.9228232541022933,0.9240376623877555,0.920231193466335,0.012227014676877316
partition_num,0.40,1,4,star_tpcc_partition_num,0.6666666666666666,0.43333333333333335,0.09385640823696886,0.9891328938680841,0.9792929012090827,0.6850469103407298,0.429215616776828
record_size,0.90,6,6,cicada-Cicada_ycsb_record_size,0.0,0.0,0.0056825192472341746,0.9228232541022933,0.9218134502522228,0.9174565079039935,0.016996507784415197
remote,0.45,8,4,silo-Silo_tpcc_remote,0.0,0.5666666666666667,0.08280962256946212,0.9834710484572299,0.9963233612439668,0.7738100205837782,0.20508850488660293
record_size,0.80,5,4,cicada-Cicada_ycsb_record_size,0.0,0.0,0.004848433912825523,0.9228232541022933,0.9249671755004312,0.9133618790536763,0.011885076511594126
record_size,0.85,1,0,cicada-Cicada_ycsb_record_size,0.0,0.0,0.0014890074474697979,0.9228232541022933,0.924508127923912,0.918932263697924,0.008266643168629783
replica,0.80,2,0,janus-Janus_tpcc_replica,0.0,0.041666666666666664,0.01196359709563214,0.955801103792088,0.9641093646278048,0.8095842855192038,0.2721107637078539
threads,0.20,2,4,star_ycsb_threads,0.0,0.1,0.023361400708448915,0.9641920557079284,0.9697525004667777,0.9525226778990666,0.06110365297888371
partition_num,0.35,4,0,star_ycsb_partition_num,0.0,0.03333333333333333,0.02146121565142403,0.9641920557079284,0.9689345639752476,0.9528598786089698,0.01102462761162059
servers,0.20,0,5,star_ycsb_servers,0.0,0.06666666666666667,0.0385539996169777,0.9641920557079284,0.9697641886502643,0.9369525209033498,0.030917937460633753
effective_cache_size,0.90,4,0,postgresql_tpcc_effective_cache_size,0.0,0.0,0.05669614190976169,0.998519743400367,0.998648547307052,0.9981736549145701,0.012552473042961865
chunk_size,0.35,2,5,mysql_tpcc_chunk_size,0.0,0.0,0.03625813130100375,0.998218669377621,0.9988475456762912,0.9959945513374946,0.027477148135626243
max_wal_size,0.30,8,1,postgresql_tpcc_max_wal_size,0.0,0.0,0.15779466147904286,0.998519743400367,0.9993130916147358,0.9957290535915078,0.023537516560203114
min_wal_size,0.85,0,2,postgresql_tpcc_min_wal_size,0.0,0.0,0.13377243152388596,0.998519743400367,0.9986080497519121,0.9978640500704911,0.010429589524714289
shared_buffer,0.55,0,4,postgresql_tpcc_shared_buffer,0.0,0.0,0.015616556055609854,0.998519743400367,0.9987958747615338,0.9978630406407835,0.014857165700999694
effective_cache_size,0.65,6,4,postgresql_tpcc_effective_cache_size,0.0,0.0,0.031241169783543188,0.998519743400367,0.9985837566436654,0.998037515080892,0.00927764848474777
max_wal_size,0.70,4,9,postgresql_tpcc_max_wal_size,0.0,0.0,0.03485892761922749,0.998519743400367,0.9985447254510982,0.9976859336557168,0.02339785070179551
nnodes,0.25,7,3,calvin-Calvin_tpcc_nnodes,0.0,0.0,0.022677033041868702,0.805957535218111,0.8616267704961382,0.7501355591906265,0.14828172345514712
put_percent,0.20,1,9,herd_ycsb_put_percent,0.0,1.0,0.01167679496410945,0.9795559629902447,0.9815656452687972,0.9835131704031526,0.03950949409292437
WH,0.50,4,6,calvin-Calvin_tpcc_WH,0.0,0.0,0.0034813049717025285,0.805957535218111,0.7892377833383641,0.7337218868758757,0.20753825544192278
warehouses,0.50,5,8,gam_tpcc_warehouses,0.0,0.0,0.025422851465673902,0.9571731790672277,0.9658128343568715,0.9129929325897862,0.07321648139990762
servers,0.35,4,9,gam_tpcc_servers,0.0,0.0,0.02396672413687134,0.9571731790672277,0.9873525163210716,0.4207526313026061,0.4195874695490234
threads,0.95,9,5,gam_tpcc_threads,0.6666666666666666,0.3611111111111111,0.021288979935433994,0.9571731790672277,0.9637419844859946,0.8783729148789334,0.022964719511764375
nShard,0.55,6,9,tapir_ycsb_nShard,0.0,1.0,0.029244291139812695,0.9635074374070052,0.9670182369433007,0.9592055234452445,0.23350653021410595
read_ratio,0.55,9,7,cicada-Cicada_ycsb_read_ratio,0.0,0.0,0.007475149772903006,0.9228232541022933,0.9273522564057121,0.9157090808527543,0.03644726252822573
threads,0.75,7,5,drtm_tpcc_threads,0.0,0.020833333333333332,0.014360436826462203,0.9404530615383303,0.9485376632198393,0.8970045302037858,0.16671152991187718
nrep,0.30,0,7,tapir_ycsb_nrep,1.0,1.125,0.0603475995304589,0.9635074374070052,0.9866471917098617,0.8986857487025042,0.22308279220063088
scale_factor,0.95,2,8,drtm_tpcc_scale_factor,0.0,0.010416666666666666,0.00939116038792677,0.9404530615383303,0.941590893843265,0.9183804016131981,0.07435142624519724
read_ratio,0.15,6,5,cicada-Cicada_ycsb_read_ratio,0.0,0.0,0.006172521124436198,0.9228232541022933,0.9498998424696521,0.8731016395215101,0.093809948682247
record_size,0.20,4,4,cicada-Cicada_ycsb_record_size,0.0,0.0,0.015316706259558582,0.9228232541022933,0.9288108148290841,0.905437101568306,0.030799636298704587
cross,0.95,8,0,star_ycsb_cross,0.0,0.03333333333333333,0.011831693589000908,0.9641920557079284,0.965206432151263,0.9605942778452822,0.005261561669482462
warehouses,0.30,1,7,gam_tpcc_warehouses,1.0,0.041666666666666664,0.029752202190079482,0.9571731790672277,0.986570389664601,-0.2440038912388529,0.42063022220169327
threads,0.30,8,0,janus-Janus_tpcc_threads,1.0,0.31220238095238084,0.1192983437988209,0.955801103792088,0.9736207387258874,0.8723754136537422,0.36754473426588347
rw,0.85,9,3,star_ycsb_rw,0.0,0.0,0.005236606689442397,0.9641920557079284,0.9624301328322188,0.9596129489065188,0.005396973516830309
rw,0.15,6,9,star_ycsb_rw,0.0,0.1,0.01972140417209764,0.9641920557079284,0.971139779716731,0.8014913318732809,0.029677245624759308
threads,0.80,6,6,janus-Janus_tpcc_threads,0.0,0.015476190476190475,0.00852720314406323,0.955801103792088,0.9538142008108206,0.9414566877208976,0.056332404449099704
threads,0.45,8,1,janus-Janus_tpcc_threads,0.5,0.06577380952380954,0.07587051358151092,0.955801103792088,0.9638235948348549,0.8900243311053515,0.31426619008925666
max_wal_size,0.35,8,8,postgresql_tpcc_max_wal_size,0.0,0.0,0.07835048198931072,0.998519743400367,0.998908469048137,0.9976385967321603,0.027069749103820623
shared_buffer,0.70,3,3,postgresql_tpcc_shared_buffer,1.0,0.125,0.14742553830677596,0.998519743400367,0.9985287491916566,0.9973597821136617,0.014381436454536434
shared_buffer,0.75,8,8,postgresql_tpcc_shared_buffer,0.0,0.0,0.016884289481923775,0.998519743400367,0.9986590886928364,0.9980767759412288,0.015357341004283875
effective_cache_size,0.80,4,3,postgresql_tpcc_effective_cache_size,0.0,0.0,0.05388924779264748,0.998519743400367,0.9986208404235095,0.9981502166103279,0.013238338542641226
WH,0.40,5,9,aria-Aria_tpcc_WH,0.0,0.0,0.0005468825491755647,0.9960699191676947,0.9961223067225612,0.9952922071556431,0.006808071980262294
threads,0.80,7,4,silo_ycsb_threads,0.0,0.0,0.0654275276089977,0.9966707859675427,0.9977468687840341,0.9716907284369644,0.055891026309355996
cross,0.40,0,7,gam_tpcc_cross,0.0,0.0,0.01621704045940747,0.9571731790672277,0.9825523354556066,0.492407019999055,0.19814674619431727
threads,0.85,1,6,star_tpcc_threads,0.0,0.027777777777777776,0.008531181072564004,0.9891328938680841,0.988274209614372,0.987652798937501,0.042543880865735316
ReadRatio,0.75,6,0,silo_ycsb_ReadRatio,0.0,0.0,0.035618704183599505,0.9966707859675427,0.9987628881550838,0.9218682154941942,0.1760162364774935
ReadRatio,0.95,2,3,tapir_ycsb_ReadRatio,1.0,0.125,0.011289958516854603,0.9635074374070052,0.9678965129672356,0.9238367885166531,0.09514859304502132
keys,0.95,3,6,tapir_ycsb_keys,0.0,1.0,0.003438909517610389,0.9635074374070052,0.9655580558916701,0.9519526303907148,0.0495201644318598
cross,0.40,3,9,star_tpcc_cross,1.0,0.4055555555555556,0.1027518164546536,0.9891328938680841,0.9988180190114394,0.4018683822895802,0.5724812720800724
partition_num,0.85,4,5,star_tpcc_partition_num,0.0,0.027777777777777776,0.02601793899949317,0.9891328938680841,0.989490456403581,0.9878032382510087,0.032611183413187236
keys,0.50,8,0,tapir_ycsb_keys,0.0,0.0,0.0497541122129842,0.9635074374070052,0.9702876196245355,0.9162116947862269,0.2083890529135547
req_per_query,0.80,6,5,cicada-Cicada_ycsb_req_per_query,0.0,0.0,0.000764836570830485,0.9228232541022933,0.9230741648285905,0.9116282210315092,0.02066742944122946
threads,0.95,9,9,silo-Silo_tpcc_threads,0.0,0.011111111111111112,0.011734154289048226,0.9834710484572299,0.9855674334624717,0.9640616500953284,0.03121635635677889
servers,0.95,7,0,star_ycsb_servers,0.0,0.03333333333333333,0.0024978627258829544,0.9641920557079284,0.9651857954129389,0.9529194206091505,0.008836536197845761
threads,0.55,8,6,star_ycsb_threads,0.0,0.03333333333333333,0.015612303692866064,0.9641920557079284,0.9643406823695482,0.9538631119150971,0.008724984701568671
